name	x	y	z	type	material
D10	-77.540	-8.230	-53.590	active/cap	Ag/AgCl
D11	-81.295	-11.937	-30.742	active/cap	Ag/AgCl
D12	-84.317	-18.713	-7.940	active/cap	Ag/AgCl
D13	-84.089	-26.562	14.362	active/cap	Ag/AgCl
D14	-80.405	-31.077	36.617	active/cap	Ag/AgCl
D15	-72.754	-36.029	57.578	active/cap	Ag/AgCl
D16	-58.630	-45.671	75.241	active/cap	Ag/AgCl
D17	-58.190	-68.026	64.599	active/cap	Ag/AgCl
D18	-71.284	-63.207	45.355	active/cap	Ag/AgCl
D19	-78.039	-58.377	23.266	active/cap	Ag/AgCl
D20	-81.008	-54.097	0.865	active/cap	Ag/AgCl
D21	-80.949	-51.981	-22.493	active/cap	Ag/AgCl
D22	-64.750	-69.252	-67.473	active/cap	Ag/AgCl
D23	-68.560	-75.029	-46.216	active/cap	Ag/AgCl
D24	-70.592	-79.450	-22.967	active/cap	Ag/AgCl
D25	-68.750	-82.686	-0.250	active/cap	Ag/AgCl
D26	-67.174	-80.646	24.931	active/cap	Ag/AgCl
D27	-55.657	-84.563	49.210	active/cap	Ag/AgCl
D28	-53.578	-95.894	28.507	active/cap	Ag/AgCl
D29	-52.331	-100.469	5.013	active/cap	Ag/AgCl
D30	-50.972	-100.241	-19.067	active/cap	Ag/AgCl
D31	-48.391	-97.388	-42.478	active/cap	Ag/AgCl
D32	-45.204	-91.304	-63.379	active/cap	Ag/AgCl
