name	probe_name	hemisphere	x	y	z	impedance	shank_id	size	material	location
e001	probe01	L	0	0	0	1.2	0	12	iridium-oxide	MOp
e002	probe01	L	0	0	25	1.1	0	12	iridium-oxide	MOp
e003	probe01	L	32	0	0	1.3	0	12	iridium-oxide	MOp
e004	probe01	L	32	0	25	1.4	0	12	iridium-oxide	MOp
e005	probe01	L	0	0	50	1.2	0	12	iridium-oxide	MOp
e006	probe01	L	0	0	75	1.1	0	12	iridium-oxide	MOp
e007	probe01	L	32	0	50	1.3	0	12	iridium-oxide	MOp
e008	probe01	L	32	0	75	1.2	0	12	iridium-oxide	MOp
e009	probe01	L	0	0	100	1.1	0	12	iridium-oxide	MOp
e010	probe01	L	0	0	125	1.2	0	12	iridium-oxide	MOp
e011	probe01	L	32	0	100	1.1	0	12	iridium-oxide	MOp
e012	probe01	L	32	0	125	1.3	0	12	iridium-oxide	MOp
e013	probe01	L	0	0	150	1.2	0	12	iridium-oxide	MOp
e014	probe01	L	0	0	175	1.1	0	12	iridium-oxide	MOp
e015	probe01	L	32	0	150	1.2	0	12	iridium-oxide	MOp
e016	probe01	L	32	0	175	1.1	0	12	iridium-oxide	MOp
e017	probe01	L	0	0	200	1.3	0	12	iridium-oxide	MOp
e018	probe01	L	0	0	225	1.2	0	12	iridium-oxide	MOp
e019	probe01	L	32	0	200	1.1	0	12	iridium-oxide	MOp
e020	probe01	L	32	0	225	1.2	0	12	iridium-oxide	MOp
e021	probe01	L	0	0	250	1.1	0	12	iridium-oxide	MOp
e022	probe01	L	0	0	275	1.3	0	12	iridium-oxide	MOp
e023	probe01	L	32	0	250	1.2	0	12	iridium-oxide	MOp
e024	probe01	L	32	0	275	1.1	0	12	iridium-oxide	MOp
e025	probe01	L	0	0	300	1.2	0	12	iridium-oxide	MOp
e026	probe01	L	0	0	325	1.1	0	12	iridium-oxide	MOp
e027	probe01	L	32	0	300	1.3	0	12	iridium-oxide	MOp
e028	probe01	L	32	0	325	1.2	0	12	iridium-oxide	MOp
e029	probe01	L	0	0	350	1.1	0	12	iridium-oxide	MOp
e030	probe01	L	0	0	375	1.2	0	12	iridium-oxide	MOp
e031	probe01	L	32	0	350	1.1	0	12	iridium-oxide	MOp
e032	probe01	L	32	0	375	1.3	0	12	iridium-oxide	MOp
e033	probe02	R	0	0	0	1.5	0	12	iridium-oxide	CA1
e034	probe02	R	0	0	25	1.4	0	12	iridium-oxide	CA1
e035	probe02	R	0	0	50	1.6	0	12	iridium-oxide	CA1
e036	probe02	R	0	0	75	1.3	0	12	iridium-oxide	CA1
e037	probe02	R	0	0	100	1.5	0	12	iridium-oxide	CA1
e038	probe02	R	0	0	125	1.4	0	12	iridium-oxide	CA1
e039	probe02	R	0	0	150	1.6	0	12	iridium-oxide	CA1
e040	probe02	R	0	0	175	1.3	0	12	iridium-oxide	CA1
e041	probe02	R	0	0	200	1.5	0	12	iridium-oxide	CA1
e042	probe02	R	0	0	225	1.4	0	12	iridium-oxide	CA1
e043	probe02	R	0	0	250	1.6	0	12	iridium-oxide	CA1
e044	probe02	R	0	0	275	1.3	0	12	iridium-oxide	CA1
e045	probe02	R	0	0	300	1.5	0	12	iridium-oxide	CA1
e046	probe02	R	0	0	325	1.4	0	12	iridium-oxide	CA1
e047	probe02	R	0	0	350	1.6	0	12	iridium-oxide	CA1
e048	probe02	R	0	0	375	1.3	0	12	iridium-oxide	CA1
