response_time	button_press	stim_file
1.553	3	f123.bmp
1.586	1	f045.bmp
2.139	1	f135.bmp
1.571	1	u021.bmp
0.955	3	f038.bmp
1.485	1	u052.bmp
1.386	3	f081.bmp
1.474	2	f024.bmp
1.054	1	u116.bmp
1.077	1	u119.bmp
1.707	2	f116.bmp
1.861	1	u136.bmp
1.57	1	u118.bmp
2.379	2	u023.bmp
0.97	3	f012.bmp
1.355	1	u114.bmp
5.396	2	u104.bmp
1.027	3	f133.bmp
5.954	2	u084.bmp
0.786	3	f006.bmp
1.14	1	u121.bmp
0.822	3	f010.bmp
1.47	1	u145.bmp
3.731	2	f029.bmp
1.425	1	u142.bmp
3.303	2	f122.bmp
0.703	3	f086.bmp
0.771	1	u037.bmp
0.669	3	f080.bmp
0.803	3	f054.bmp
3.018	1	u106.bmp
1.614	2	f128.bmp
0.717	3	f034.bmp
0.914	1	u007.bmp
1.638	1	u105.bmp
3.619	2	u042.bmp
3.838	3	f129.bmp
2.559	1	u015.bmp
0.981	1	u097.bmp
1.703	1	u049.bmp
0.811	1	u146.bmp
6.148	1	f041.bmp
1.579	1	u111.bmp
3.988	2	u060.bmp
1.038	3	f130.bmp
0.757	1	u148.bmp
1.608	1	u068.bmp
5.134	2	f115.bmp
4.361	2	f148.bmp
1.341	3	f146.bmp
1.07	3	f061.bmp
1.067	1	u149.bmp
2.426	2	u041.bmp
1.663	1	u057.bmp
5.083	1	f092.bmp
0.879	3	f047.bmp
0.925	1	u056.bmp
6.927	2	u086.bmp
3.622	1	f028.bmp
4.36	2	f138.bmp
5.451	2	u138.bmp
1.712	1	u022.bmp
1.147	1	u140.bmp
3.469	3	f055.bmp
2.293	3	f017.bmp
4.887	1	u010.bmp
5.98	2	f037.bmp
1.74	3	f150.bmp
0.812	1	u150.bmp
6.501	2	f091.bmp
0.662	1	u053.bmp
1.277	3	f147.bmp
1.09	1	f073.bmp
6.526	3	f112.bmp
0.662	1	u133.bmp
0.965	3	f078.bmp
0.895	3	f067.bmp
0.708	3	f062.bmp
1.937	1	u039.bmp
0.73	1	u083.bmp
0.975	3	f144.bmp
5.64	3	f102.bmp
2.03	1	u067.bmp
12.115	1	u085.bmp
2.111	1	u120.bmp
1.937	3	f114.bmp
19.897	2	f025.bmp
3.078	1	f097.bmp
0.775	3	f026.bmp
0.93	3	f064.bmp
1.453	1	u018.bmp
1.091	1	u046.bmp
1.023	1	f019.bmp
3.95	1	f108.bmp
1.298	1	u076.bmp
1.038	1	u103.bmp
2.636	1	u024.bmp
1.128	3	f083.bmp
1.044	3	f082.bmp
2.673	3	f069.bmp
1.067	3	f015.bmp
0.713	3	f090.bmp
1.029	1	u006.bmp
0.709	3	f074.bmp
0.914	1	u065.bmp
2.271	2	u109.bmp
7.777	2	f049.bmp
1.237	3	f051.bmp
0.707	3	f137.bmp
1.368	3	f079.bmp
1.226	1	u113.bmp
1.129	1	u011.bmp
0.797	1	u089.bmp
2.766	2	u092.bmp
2.22	1	u038.bmp
4.241	1	u108.bmp
5.442	3	f036.bmp
1.735	1	u033.bmp
0.633	1	u087.bmp
2.234	3	f011.bmp
0.934	1	u059.bmp
1.337	3	f033.bmp
0.707	1	u009.bmp
2.736	1	u088.bmp
1.432	1	f104.bmp
0.647	3	f096.bmp
1.134	3	f021.bmp
1.594	1	f027.bmp
1.242	3	f125.bmp
3.424	1	u016.bmp
2.451	2	u003.bmp
0.695	1	u071.bmp
1.084	1	u081.bmp
0.97	1	u047.bmp
0.979	1	u123.bmp
0.637	1	u013.bmp
0.981	1	u070.bmp
5.23	1	f039.bmp
0.972	3	f118.bmp
1.174	1	u144.bmp
3.919	2	u091.bmp
2.341	3	f043.bmp
1.093	1	u099.bmp
1.93	1	u126.bmp
0.804	1	u055.bmp
0.708	3	f050.bmp
0.889	1	u014.bmp
1.422	1	u117.bmp
0.917	1	u090.bmp
0.689	3	f131.bmp
1.094	3	f002.bmp
2.996	2	u095.bmp
4.584	3	f065.bmp
0.738	3	f013.bmp
0.653	1	u128.bmp
1.212	3	f001.bmp
1.308	1	u002.bmp
0.72	1	f087.bmp
1.156	1	u026.bmp
0.894	1	u141.bmp
2.204	1	u004.bmp
