onset	duration	onset_sample	stim_type	trigger	stim_file
24.0582	0	26464	Famous	5	meg/f141.bmp
27.2827	0	30011	Scrambled	17	meg/s118.bmp
30.5736	0	33631	Scrambled	18	meg/s118.bmp
33.7309	0	37104	Unfamiliar	13	meg/u006.bmp
37.0545	0	40760	Unfamiliar	14	meg/u006.bmp
40.1791	0	44197	Unfamiliar	13	meg/u045.bmp
43.42	0	47762	Unfamiliar	13	meg/u033.bmp
46.56	0	51216	Scrambled	17	meg/s002.bmp
49.7673	0	54744	Famous	7	meg/f141.bmp
52.9582	0	58254	Scrambled	17	meg/s026.bmp
56.0818	0	61690	Famous	5	meg/f078.bmp
59.2891	0	65218	Unfamiliar	13	meg/u062.bmp
62.48	0	68728	Unfamiliar	15	meg/u045.bmp
65.7209	0	72293	Famous	5	meg/f125.bmp
68.7109	0	75582	Unfamiliar	15	meg/u033.bmp
71.8355	0	79019	Scrambled	17	meg/s129.bmp
74.9418	0	82436	Scrambled	18	meg/s129.bmp
77.9991	0	85799	Scrambled	19	meg/s002.bmp
81.09	0	89199	Scrambled	17	meg/s108.bmp
84.0809	0	92489	Scrambled	19	meg/s026.bmp
87.2536	0	95979	Scrambled	17	meg/s130.bmp
90.4945	0	99544	Scrambled	18	meg/s130.bmp
93.7855	0	103164	Famous	7	meg/f078.bmp
96.9773	0	106675	Scrambled	17	meg/s052.bmp
100.2	0	110220	Scrambled	18	meg/s052.bmp
103.341	0	113675	Unfamiliar	15	meg/u062.bmp
106.532	0	117185	Famous	5	meg/f009.bmp
109.655	0	120621	Famous	6	meg/f009.bmp
112.863	0	124149	Famous	7	meg/f125.bmp
115.97	0	127567	Famous	5	meg/f073.bmp
119.111	0	131022	Famous	6	meg/f073.bmp
122.201	0	134421	Unfamiliar	13	meg/u113.bmp
125.358	0	137894	Scrambled	19	meg/s108.bmp
128.415	0	141257	Unfamiliar	13	meg/u067.bmp
131.405	0	144546	Unfamiliar	14	meg/u067.bmp
134.446	0	147891	Famous	5	meg/f001.bmp
137.636	0	151400	Scrambled	17	meg/s081.bmp
140.794	0	154873	Scrambled	18	meg/s081.bmp
144.035	0	158438	Famous	5	meg/f060.bmp
147.209	0	161930	Scrambled	17	meg/s012.bmp
150.466	0	165513	Scrambled	18	meg/s012.bmp
153.674	0	169041	Unfamiliar	15	meg/u113.bmp
156.881	0	172569	Unfamiliar	13	meg/u002.bmp
160.038	0	176042	Unfamiliar	14	meg/u002.bmp
163.263	0	179589	Famous	5	meg/f052.bmp
166.436	0	183080	Famous	6	meg/f052.bmp
169.627	0	186590	Famous	7	meg/f001.bmp
172.885	0	190174	Scrambled	17	meg/s145.bmp
176.209	0	193830	Unfamiliar	13	meg/u070.bmp
179.4	0	197340	Unfamiliar	14	meg/u070.bmp
182.624	0	200886	Famous	7	meg/f060.bmp
185.665	0	204231	Unfamiliar	13	meg/u129.bmp
188.988	0	207887	Unfamiliar	13	meg/u114.bmp
192.163	0	211379	Unfamiliar	14	meg/u114.bmp
195.353	0	214888	Famous	5	meg/f106.bmp
198.344	0	218178	Unfamiliar	13	meg/u093.bmp
201.517	0	221669	Unfamiliar	14	meg/u093.bmp
204.808	0	225289	Scrambled	19	meg/s145.bmp
207.899	0	228689	Famous	5	meg/f041.bmp
211.023	0	232125	Unfamiliar	13	meg/u142.bmp
214.13	0	235543	Unfamiliar	15	meg/u129.bmp
217.337	0	239071	Scrambled	17	meg/s009.bmp
220.578	0	242636	Scrambled	17	meg/s148.bmp
223.768	0	246145	Famous	7	meg/f106.bmp
226.976	0	249674	Famous	5	meg/f137.bmp
230.05	0	253055	Famous	6	meg/f137.bmp
233.341	0	256675	Unfamiliar	13	meg/u088.bmp
236.381	0	260019	Unfamiliar	14	meg/u088.bmp
