onset	duration	trial_type	easy_par	hard_par
16.016	4.500	easy_par	0.500	n/a
21.260	4.500	hard_par	n/a	0.271
26.504	4.500	easy_par	-0.500	n/a
37.010	4.500	hard_par	n/a	-0.729
42.254	4.500	easy_par	0.500	n/a
47.515	4.500	hard_par	n/a	0.271
52.759	4.500	hard_par	n/a	0.271
58.003	4.500	hard_par	n/a	-0.729
63.264	4.500	hard_par	n/a	0.271
68.508	4.500	easy_par	-0.500	n/a
73.752	4.500	easy_par	-0.500	n/a
79.013	4.500	hard_par	n/a	0.271
84.258	4.500	hard_par	n/a	0.271
89.502	4.500	hard_par	n/a	-0.729
94.763	4.500	easy_par	-0.500	n/a
100.007	4.500	hard_par	n/a	0.271
110.512	4.500	hard_par	n/a	0.271
115.757	4.500	hard_par	n/a	0.271
121.001	4.500	easy_par	0.500	n/a
126.262	4.500	hard_par	n/a	-0.729
131.506	4.500	hard_par	n/a	0.271
136.767	4.500	hard_par	n/a	0.271
142.011	4.500	hard_par	n/a	0.271
147.255	4.500	hard_par	n/a	0.271
152.516	4.500	easy_par	-0.500	n/a
157.761	4.500	hard_par	n/a	-0.729
163.005	4.500	hard_par	n/a	-0.729
168.266	4.500	hard_par	n/a	0.271
173.510	4.500	easy_par	-0.500	n/a
184.015	4.500	hard_par	n/a	-0.729
189.259	4.500	hard_par	n/a	0.271
194.504	4.500	easy_par	0.500	n/a
199.765	4.500	hard_par	n/a	0.271
205.009	4.500	easy_par	0.500	n/a
210.253	4.500	easy_par	-0.500	n/a
215.514	4.500	hard_par	n/a	0.271
220.758	4.500	easy_par	-0.500	n/a
226.002	4.500	hard_par	n/a	0.271
231.263	4.500	hard_par	n/a	0.271
236.508	4.500	hard_par	n/a	-0.729
241.752	4.500	easy_par	-0.500	n/a
247.013	4.500	easy_par	-0.500	n/a
257.501	4.500	hard_par	n/a	-0.729
262.762	4.500	hard_par	n/a	0.271
268.007	4.500	easy_par	-0.500	n/a
273.267	4.500	hard_par	n/a	-0.729
278.512	4.500	hard_par	n/a	0.271
283.756	4.500	easy_par	-0.500	n/a
289.017	4.500	easy_par	0.500	n/a
294.261	4.500	easy_par	0.500	n/a
299.505	4.500	hard_par	n/a	0.271
304.766	4.500	hard_par	n/a	-0.729
310.010	4.500	easy_par	0.500	n/a
315.255	4.500	easy_par	0.500	n/a
320.515	4.500	hard_par	n/a	0.271
331.004	4.500	easy_par	-0.500	n/a
336.265	4.500	easy_par	-0.500	n/a
341.509	4.500	hard_par	n/a	0.271
346.753	4.500	hard_par	n/a	0.271
352.014	4.500	easy_par	-0.500	n/a
357.259	4.500	easy_par	0.500	n/a
362.503	4.500	easy_par	0.500	n/a
367.764	4.500	easy_par	-0.500	n/a
373.008	4.500	hard_par	n/a	0.271
378.252	4.500	hard_par	n/a	-0.729
383.513	4.500	easy_par	0.500	n/a
388.757	4.500	easy_par	0.500	n/a
394.002	4.500	easy_par	-0.500	n/a
404.507	4.500	hard_par	n/a	-0.729
409.751	4.500	easy_par	0.500	n/a
415.012	4.500	hard_par	n/a	0.271
420.256	4.500	easy_par	-0.500	n/a
425.517	4.500	easy_par	0.500	n/a
430.761	4.500	hard_par	n/a	0.271
436.006	4.500	easy_par	-0.500	n/a
441.267	4.500	easy_par	-0.500	n/a
446.511	4.500	hard_par	n/a	0.271
451.755	4.500	hard_par	n/a	0.271
457.016	4.500	easy_par	0.500	n/a
462.260	4.500	easy_par	0.500	n/a
467.504	4.500	easy_par	0.500	n/a
478.010	4.500	hard_par	n/a	0.271
483.254	4.500	easy_par	-0.500	n/a
488.515	4.500	easy_par	0.500	n/a
493.759	4.500	easy_par	0.500	n/a
499.003	4.500	easy_par	0.500	n/a
504.264	4.500	easy_par	-0.500	n/a
509.508	4.500	easy_par	0.500	n/a
514.753	4.500	easy_par	0.500	n/a
520.014	4.500	hard_par	n/a	0.271
525.258	4.500	easy_par	0.500	n/a
530.502	4.500	hard_par	n/a	0.271
535.763	4.500	hard_par	n/a	0.271
541.007	4.500	easy_par	-0.500	n/a
551.512	4.500	easy_par	-0.500	n/a
556.757	4.500	hard_par	n/a	0.271
