name	type	units	description	sampling_frequency	signal_electrode	reference	target_muscle	low_cutoff	high_cutoff	group
1	EMG	V	Monopolar surface EMG	10240	sEMG1	R1	Right tibialis anterior	500	20	grid1
2	EMG	V	Monopolar surface EMG	10240	sEMG2	R1	Right tibialis anterior	500	20	grid1
3	EMG	V	Monopolar surface EMG	10240	sEMG3	R1	Right tibialis anterior	500	20	grid1
4	EMG	V	Monopolar surface EMG	10240	sEMG4	R1	Right tibialis anterior	500	20	grid1
5	EMG	V	Monopolar surface EMG	10240	sEMG5	R1	Right tibialis anterior	500	20	grid1
6	EMG	V	Monopolar surface EMG	10240	sEMG6	R1	Right tibialis anterior	500	20	grid1
7	EMG	V	Monopolar surface EMG	10240	sEMG7	R1	Right tibialis anterior	500	20	grid1
8	EMG	V	Monopolar surface EMG	10240	sEMG8	R1	Right tibialis anterior	500	20	grid1
9	EMG	V	Monopolar surface EMG	10240	sEMG9	R1	Right tibialis anterior	500	20	grid1
10	EMG	V	Monopolar surface EMG	10240	sEMG10	R1	Right tibialis anterior	500	20	grid1
11	EMG	V	Monopolar surface EMG	10240	sEMG11	R1	Right tibialis anterior	500	20	grid1
12	EMG	V	Monopolar surface EMG	10240	sEMG12	R1	Right tibialis anterior	500	20	grid1
13	EMG	V	Monopolar surface EMG	10240	sEMG13	R1	Right tibialis anterior	500	20	grid1
14	EMG	V	Monopolar surface EMG	10240	sEMG14	R1	Right tibialis anterior	500	20	grid1
15	EMG	V	Monopolar surface EMG	10240	sEMG15	R1	Right tibialis anterior	500	20	grid1
16	EMG	V	Monopolar surface EMG	10240	sEMG16	R1	Right tibialis anterior	500	20	grid1
17	EMG	V	Monopolar surface EMG	10240	sEMG17	R1	Right tibialis anterior	500	20	grid1
18	EMG	V	Monopolar surface EMG	10240	sEMG18	R1	Right tibialis anterior	500	20	grid1
19	EMG	V	Monopolar surface EMG	10240	sEMG19	R1	Right tibialis anterior	500	20	grid1
20	EMG	V	Monopolar surface EMG	10240	sEMG20	R1	Right tibialis anterior	500	20	grid1
21	EMG	V	Monopolar surface EMG	10240	sEMG21	R1	Right tibialis anterior	500	20	grid1
