onset	duration	trial_type	0	1	2	3
325.12	2.0	Spanish-Spanish-Concrete-Repeat	hule	SSCr_18	5984	4
331.12	2.0	Spanish-English-Concrete-Repeat	cell	SECr_17	3984	15
335.12	2.0	English-English-Abstract-Novel	bequest	EEAn_18	3984	26
339.12	2.0	English-Spanish-Concrete-Repeat	calle	ESCr_16	2984	53
342.12	2.0	Spanish-English-Abstract-Repeat	consolation	SEAr_17	3984	51
346.12	2.0	Spanish-Spanish-Abstract-Novel	suceso	SSAn_18	1984	5
348.12	2.0	English-Spanish-Concrete-Novel	head	ESCn_17	2984	7
351.12	2.0	Spanish-Spanish-Abstract-Repeat	suceso	SSAr_18	3984	5
355.12	2.0	English-Spanish-Concrete-Repeat	cabeza	ESCr_17	2984	7
358.12	2.0	Spanish-English-Abstract-Novel	cobardía	SEAn_18	2984	28
361.12	2.0	English-English-Abstract-Repeat	bequest	EEAr_18	7984	26
369.12	2.0	English-English-Concrete-Repeat	cat	EECr_18	4984	129
374.12	2.0	English-Spanish-Concrete-Novel	cave	ESCn_18	11984	18
386.12	2.0	Spanish-English-Abstract-Repeat	cowardice	SEAr_18	2984	28
389.12	2.0	Spanish-English-Concrete-Novel	algodón	SECn_18	2984	7
392.12	2.0	English-Spanish-Concrete-Repeat	cueva	ESCr_18	3984	18
396.12	2.0	Spanish-English-Concrete-Repeat	cotton	SECr_18	3984	7
