onset	duration	trial_type	0	1	2	3
0.120	2.000	English-English-Concrete-Novel	tool	EECn_37	4984	8
5.120	2.000	Spanish-English-Concrete-Novel	l�piz	SECn_37	2984	112
8.120	2.000	English-English-Concrete-Repeat	tool	EECr_37	6984	8
15.120	2.000	Spanish-Spanish-Concrete-Novel	biblioteca	SSCn_37	2984	11
18.120	2.000	English-English-Abstract-Novel	insight	EEAn_37	3984	36
22.120	2.000	English-Spanish-Abstract-Novel	mischief	ESAn_37	1984	78
24.120	2.000	Spanish-English-Abstract-Novel	amenaza	SEAn_37	1984	47
26.120	2.000	Spanish-Spanish-Concrete-Repeat	biblioteca	SSCr_37	2984	11
29.120	2.000	English-English-Concrete-Novel	spoon	EECn_38	5984	6
35.120	2.000	English-English-Concrete-Repeat	spoon	EECr_38	7984	6
43.120	2.000	English-Spanish-Concrete-Novel	army	ESCn_37	3984	64
47.120	2.000	Spanish-Spanish-Concrete-Novel	oveja	SSCn_38	6984	10
54.120	2.000	English-English-Abstract-Repeat	insight	EEAr_37	2984	36
57.120	2.000	Spanish-Spanish-Concrete-Repeat	oveja	SSCr_38	4984	10
62.120	2.000	English-English-Abstract-Novel	charity	EEAn_38	8984	47
71.120	2.000	Spanish-English-Abstract-Repeat	threat	SEAr_37	4984	47
76.120	2.000	English-English-Concrete-Novel	corridor	EECn_39	3984	54
80.120	2.000	Spanish-English-Abstract-Novel	tocayo	SEAn_38	1984	2
82.120	2.000	Spanish-English-Abstract-Repeat	namesake	SEAr_38	3984	2
86.120	2.000	Spanish-Spanish-Abstract-Novel	mezcla	SSAn_37	2984	3
89.120	2.000	Spanish-Spanish-Abstract-Repeat	mezcla	SSAr_37	8984	3
98.120	2.000	Spanish-English-Abstract-Novel	longitud	SEAn_39	1984	29
100.120	2.000	English-Spanish-Abstract-Repeat	travesura	ESAr_37	6984	78
107.120	2.000	English-Spanish-Concrete-Repeat	ej�rcito	ESCr_37	1984	64
109.120	2.000	English-English-Abstract-Repeat	charity	EEAr_38	2984	47
112.120	2.000	English-Spanish-Concrete-Novel	sugar	ESCn_38	1984	10
114.120	2.000	English-Spanish-Abstract-Novel	suffrage	ESAn_38	2984	23
117.120	2.000	Spanish-English-Concrete-Repeat	pencil	SECr_37	2984	112
120.120	2.000	Spanish-Spanish-Abstract-Novel	celos	SSAn_38	1984	49
122.120	2.000	English-Spanish-Concrete-Repeat	azucar	ESCr_38	2984	10
125.120	2.000	Spanish-Spanish-Concrete-Novel	frasco	SSCn_39	1984	9
127.120	2.000	Spanish-English-Abstract-Repeat	length	SEAr_39	2984	29
130.120	2.000	English-English-Concrete-Repeat	corridor	EECr_39	3984	54
134.120	2.000	Spanish-Spanish-Concrete-Repeat	frasco	SSCr_39	2984	9
137.120	2.000	English-Spanish-Abstract-Repeat	sufragio	ESAr_38	1984	23
139.120	2.000	English-Spanish-Concrete-Novel	grandmother	ESCn_39	3984	18
143.120	2.000	English-Spanish-Abstract-Novel	peace	ESAn_39	2984	38
146.120	2.000	English-English-Abstract-Novel	sale	EEAn_39	1984	19
148.120	2.000	Spanish-English-Concrete-Novel	aguja	SECn_38	1984	2
150.120	2.000	Spanish-English-Concrete-Repeat	needle	SECr_38	6984	2
157.120	2.000	English-Spanish-Concrete-Repeat	abuela	ESCr_39	3984	18
161.120	2.000	Spanish-English-Abstract-Novel	cortejo	SEAn_40	3984	38
165.120	2.000	English-English-Abstract-Repeat	sale	EEAr_39	3984	19
169.120	2.000	Spanish-Spanish-Abstract-Repeat	celos	SSAr_38	5984	49
175.120	2.000	English-Spanish-Concrete-Novel	star	ESCn_40	2984	8
178.120	2.000	Spanish-Spanish-Abstract-Novel	equilibrio	SSAn_39	2984	53
