onset	duration	trial_type	response_time	sample	value
127.6132812500	n/a	stimulus	n/a	32669	128
134.0507812500	n/a	response	n/a	34317	8
186.5195312500	n/a	stimulus	n/a	47749	128
192.0351562500	n/a	response	n/a	49161	4
278.5507812500	n/a	stimulus	n/a	71309	128
283.6796875000	n/a	response	n/a	72622	4
400.4882812500	n/a	stimulus	n/a	102525	128
405.1132812500	n/a	response	n/a	103709	2
407.2617187500	n/a	response	n/a	104259	2
462.4960937500	n/a	stimulus	n/a	118399	128
466.1875000000	n/a	response	n/a	119344	2
468.3515625000	n/a	response	n/a	119898	2
615.5781250000	n/a	stimulus	n/a	157588	128
620.6484375000	n/a	response	n/a	158886	2
622.8906250000	n/a	response	n/a	159460	2
781.1601562500	n/a	stimulus	n/a	199977	128
784.4765625000	n/a	response	n/a	200826	4
787.2734375000	n/a	response	n/a	201542	2
886.8203125000	n/a	stimulus	n/a	227026	128
890.1835937500	n/a	response	n/a	227887	4
892.3789062500	n/a	response	n/a	228449	2
987.7968750000	n/a	stimulus	n/a	252876	128
990.4335937500	n/a	response	n/a	253551	4
993.2304687500	n/a	response	n/a	254267	2
996.9804687500	n/a	response	n/a	255227	2
1027.9804687500	n/a	stimulus	n/a	263163	128
1030.8320312500	n/a	response	n/a	263893	4
1106.5976562500	n/a	stimulus	n/a	283289	128
1110.1601562500	n/a	response	n/a	284201	2
1112.6953125000	n/a	response	n/a	284850	2
1269.8984375000	n/a	stimulus	n/a	325094	128
1274.5468750000	n/a	response	n/a	326284	4
1276.7734375000	n/a	response	n/a	326854	2
1398.1757812500	n/a	stimulus	n/a	357933	128
1400.9648437500	n/a	response	n/a	358647	2
1403.1171875000	n/a	response	n/a	359198	2
1549.4023437500	n/a	stimulus	n/a	396647	128
1555.0078125000	n/a	response	n/a	398082	4
1684.3906250000	n/a	stimulus	n/a	431204	128
1689.8007812500	n/a	response	n/a	432589	8
1795.5625000000	n/a	stimulus	n/a	459664	128
1799.0781250000	n/a	response	n/a	460564	2
1801.2500000000	n/a	response	n/a	461120	2
1854.5195312500	n/a	stimulus	n/a	474757	128
1857.1523437500	n/a	response	n/a	475431	2
1859.3359375000	n/a	response	n/a	475990	2
1986.5468750000	n/a	stimulus	n/a	508556	128
1991.9179687500	n/a	response	n/a	509931	4
2075.8710937500	n/a	stimulus	n/a	531423	128
2081.0234375000	n/a	response	n/a	532742	2
2139.2656250000	n/a	stimulus	n/a	547652	128
2144.8437500000	n/a	response	n/a	549080	4
2147.8984375000	n/a	response	n/a	549862	2
2295.8984375000	n/a	stimulus	n/a	587750	128
2300.8867187500	n/a	response	n/a	589027	8
2439.4453125000	n/a	stimulus	n/a	624498	128
2444.3554687500	n/a	response	n/a	625755	2
2581.2187500000	n/a	stimulus	n/a	660792	128
2588.7031250000	n/a	response	n/a	662708	2
2672.2617187500	n/a	stimulus	n/a	684099	128
2680.2265625000	n/a	response	n/a	686138	4
