subject_id,session_id,acq_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,provenance,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
01,mri,epi,0.8075947812580537,1.556254475486995,0.7235206818122071,46.724334716796875,1.8843982222222222,1.9516733333333331,1.8147666666666666,1.8867546666666668,0.21309225129203804,0.5107744050688626,0.27613334363909936,1.0257617235183716,0.5138228118419649,"{'md5sum': '125cfbb6272f399abf797aa9f3f9d0a7', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': False, 'small_air_mask': True}}",0.0,0.0032151365555553053,10.840497588554754,4.1307899036464155,6.153945052709778,64,64,33,1.2790145967912385,9.821094200396676,7.446233084066267,11.238590455010888,12.39787575017945,16.637985919667596,16.626875794860087,20.844765714733214,3.0,3.0,3.75,14.537825182153387,32.97247314453125,90.722900390625,84.24258422851562,25166.0,0.0,170.9681396484375,50.269683837890625,0.6356338158662478,459.13848876953125,832.424560546875,623.974853515625,7730.0,270.7587860107422,1634.713049316405,487.8243713378906,0.26436990633382074,82.63430786132812,842.7601318359375,837.3760986328125,14116.0,711.8993225097656,991.1964416503906,85.25999450683594,0.5762673785429202,88.35269165039062,1056.4970703125,1049.099853515625,6366.0,916.2436676025391,1220.1776733398438,93.34066009521484,0.11338189244270325,0.41081276535987854,0.30754590034484863,0.4184301839448285
01,mri,mprage,0.35288556338935373,3.6255493337997144,0.5865772031378944,2444.874755859375,5.123816480871064,5.10141,5.59434,4.675699442613191,0.23787441944742607,0.37878070407805625,0.3833448764745177,0.7889703512191772,0.3564139932394026,"{'md5sum': '192cc49589bfff2d1fcbcd33ac0a998f', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': True, 'small_air_mask': False}}",0.00045136552254542415,0.006955106339208038,25.36125131461938,15.290895534344324,18.72852465403433,256,256,192,3.7192362832190273,13.006634688597329,14.832260833243366,27.770911527913736,35.25634040001702,68.61604938400664,65.06896785441273,91.33451377921455,1.0,1.0,1.0000001192092896,421.69349314042097,7.172967910766602,15.07789421081543,13.3809175491333,2938202.0,4.938420701026916,30.943168354034412,8.62403392791748,0.22794826710012162,101.11344909667969,399.3724365234375,386.01519775390625,37985.0,252.13193359374998,592.9602172851556,103.78746795654297,0.5166191665353574,53.86151885986328,750.8314819335938,751.2645263671875,13549.0,655.9014526367188,845.1465820312499,57.75796890258789,0.6006698671124417,33.915340423583984,999.8674926757812,1000.0048217773438,238105.0,940.5104125976563,1058.3605712890626,36.00899887084961,0.2144079953432083,0.4757065176963806,0.5469085574150085,0.6030374771393
02,mri,epi,0.9063748204515962,1.3290572531400933,0.7119138971031282,65.08961486816406,1.9038076239689532,2.0100631735878647,1.8500366666666668,1.8513230316523275,0.1980858015742627,0.5231897289345652,0.2787244694911722,1.1755590438842773,0.6671037554740905,"{'md5sum': 'cdba484964403e5f86e8f8bf289dad9e', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': False, 'small_air_mask': True}}",0.0,0.002122660084272715,11.118227996838865,3.905404190142978,5.4626521501074,64,64,33,1.4671048690508968,9.467002801229633,6.941214263634511,9.889535120623007,14.246593679543393,14.74821748539187,15.737412855199972,18.217427400664658,3.000000238418579,3.0,3.9000000953674316,49.08727292455046,38.211936950683594,95.77802276611328,88.72274017333984,29845.0,28.232303619384766,178.66171569824218,58.15262985229492,10.541186565625216,584.1846923828125,993.3863525390625,830.9566650390625,7275.0,352.1818359375,1838.5450195312499,566.3532104492188,0.6799295176513196,84.86956787109375,869.40869140625,860.2147216796875,14845.0,735.06591796875,1033.91708984375,90.86146545410156,0.7642979860135002,98.53314208984375,1063.2310791015625,1062.562255859375,6348.0,888.8746276855468,1242.1455444335938,107.43463134765625,0.10315512120723724,0.3852126896381378,0.27592477202415466,0.38048469564525145
02,mri,mprage,0.3115247650953407,4.289826388731722,0.6096099775164335,2765.767333984375,4.899553139280104,4.883509417840312,5.32621,4.48894,0.22324498859708233,0.4040843017090357,0.372670709693882,0.7366365790367126,0.27022994756698604,"{'md5sum': '00536e32640d8778e9b07151027c51fe', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': True, 'small_air_mask': False}}",0.0006877098444363158,0.005638556427405373,23.943852790768158,13.322927584372026,17.395009587307158,256,256,192,4.021235327822888,13.163069453212128,15.83754013470625,30.32831562308373,34.78822347072213,77.70445188478331,73.30526487154279,107.42311925912291,1.0000001192092896,1.0,1.0,4.25333738523008,6.098716735839844,13.344463348388672,11.917040824890137,2458960.0,4.626105618476868,26.833814525604225,7.215138912200928,1.0813940218767186,61.257720947265625,345.94793701171875,323.8463439941406,51616.0,250.5366554260254,512.5016326904297,80.53326416015625,0.05527759413831701,54.756561279296875,722.8848266601562,723.35693359375,26558.0,631.2782135009766,811.5908386230468,54.95248031616211,0.6008813067615377,31.427837371826172,1000.6768188476562,1000.0103759765625,248650.0,948.3169891357422,1055.2870361328123,32.97276306152344,0.24606908857822418,0.4995220899581909,0.5570383071899414,0.6814711496561533
03,mri,epi,0.9699889136737029,1.2087455572482673,0.7012932770916289,41.004093170166016,1.858886480780875,1.9855666666666665,1.7575133333333335,1.8335794423426253,0.21943948186983853,0.538844244352157,0.24171627377800442,1.1518378257751465,0.6298421084880825,"{'md5sum': '5cba6f4c2da505f5201d7bd45ad8f74b', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': False, 'small_air_mask': True}}",0.0,0.002088289445323536,10.84190415821501,4.326284423998802,7.2928135247040515,64,64,33,1.2934136583745244,10.196258453614773,7.198077743934228,10.104561119813384,10.901516705189882,14.49203098990228,14.360472541839847,17.68786993042738,3.0,3.0,3.9000000953674316,628.7914340566623,41.18253707885742,104.28010559082031,92.43896484375,32611.0,29.18620777130127,206.70689392089844,86.80241394042969,0.9173386402600179,502.29150390625,898.8018188476562,685.2803955078125,7342.0,290.0925659179687,1764.3612731933595,529.7869873046875,0.384747695806555,86.75466918945312,917.789794921875,910.9837646484375,14434.0,783.2748291015625,1076.048419189453,89.34181213378906,0.4380712511333402,108.10997009277344,1112.8153076171875,1111.87744140625,5231.0,941.4517517089844,1294.7484130859375,110.02666473388672,0.11054611206054688,0.41716209053993225,0.2794329822063446,0.4258443816423143
03,mri,mprage,0.327907017468705,4.05626925395846,0.6486356574172598,1835.6287841796875,5.101602474111331,5.12041,5.405757422333993,4.77864,0.23094095558939864,0.38604147463424276,0.38301756977635854,0.8420884609222412,0.3720625638961791,"{'md5sum': '808cd35058d79ed2c3ba5b83fc0dd7a9', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': True, 'small_air_mask': False}}",1.789895443589125e-05,0.005888572046644578,25.650090367631957,14.777945802945803,18.395265296507862,256,256,192,3.8456642022771743,13.636215976146902,15.270038516217534,28.328235370228526,41.04382224928063,71.16652046988757,69.6163971345698,96.63884868454114,1.0,1.0000004768371582,1.0,7.030211225036494,6.779288291931152,15.718613624572754,14.38240909576416,1333389.0,5.810018730163575,30.1137008666992,7.758861541748047,-0.5794467465270592,120.6844711303711,433.11322021484375,424.717529296875,37772.0,264.40794830322267,620.01591796875,110.43915557861328,0.24180188026473326,53.30852508544922,736.7522583007812,736.42431640625,14452.0,649.6386260986328,826.2977722167968,54.00316619873047,0.6158037759130801,33.1229133605957,999.252685546875,1000.009521484375,227858.0,940.1547546386719,1055.4710632324218,35.30072784423828,0.2249438315629959,0.49485817551612854,0.5700363516807556,0.6094582731928629
04,mri,epi,1.0146949282037874,1.224022227562222,0.6606041610149093,117.95010375976562,1.8751926348090275,1.9913533333333333,1.8229733333333333,1.8112512377604157,0.17033407904449843,0.45825198640823184,0.37141393454726973,0.8604457974433899,0.4908560395240782,"{'md5sum': '824cbfe3d6c8a78b9b63ccdc8fcae9f8', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': False, 'small_air_mask': True}}",0.0,0.003572500821657075,13.467651797402075,4.514216890335416,5.234781599682016,64,64,33,1.1859393954019057,10.00830163929608,7.803284303431423,12.21561187559628,17.857054399478056,23.62552707166076,23.086831618721103,27.777913385024494,3.0,3.0,3.9000000953674316,12.536037133107124,23.64504623413086,64.01952362060547,60.66435241699219,33767.0,24.00520000457764,114.1963340759277,31.59127426147461,14.852226775122073,325.4238586425781,844.1817626953125,644.4931030273438,5596.0,332.6224594116211,1716.2205505371094,543.3966674804688,1.2647596823361411,75.41517639160156,861.3518676757812,852.6876220703125,11640.0,738.9151092529297,1016.5505157470702,85.19437408447266,0.6422530491712344,76.6541748046875,1008.2913818359375,1002.5546875,9283.0,885.350146484375,1155.1603393554688,82.06716918945312,0.11798305809497833,0.3837135136127472,0.3498872220516205,0.38625625445195094
04,mri,mprage,0.30010156284781797,4.438613443090823,0.5892877250070702,2830.2763671875,5.002349582323283,5.078339394614768,5.432839352355081,4.49587,0.21640466055988436,0.40738156631571937,0.3762137731243963,0.8599674701690674,0.3223469316959381,"{'md5sum': '34187a2ca1194d87ebaa5cb174c734c3', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': True, 'small_air_mask': False}}",0.0007580596570365961,0.007154659521874704,26.283271910642085,14.12396714928075,18.299613266143208,256,256,192,3.8739827717583735,15.003397273342596,15.940443714621736,28.943951098764245,45.95052700735362,83.37405034799465,81.03992063805042,113.79518455880296,1.0000001192092896,1.0000001192092896,1.0,4.104179351732513,5.757169246673584,12.822542190551758,11.38498306274414,2130601.0,4.426656246185303,26.171016693115234,7.0170512199401855,-0.8002653751820525,129.0318603515625,414.3136901855469,403.8013610839844,37019.0,270.20576171875,585.0232788085937,104.23275756835938,0.13355035229752632,48.44401168823242,733.1383056640625,732.6696166992188,23509.0,653.81767578125,813.739013671875,48.832542419433594,0.8863891910296307,31.78306007385254,999.4637451171875,1000.002685546875,224636.0,941.9104156494141,1054.438720703125,34.5495491027832,0.23674340546131134,0.5132638216018677,0.5656741857528687,0.6255948709819108
05,mri,epi,0.8308888923475083,1.5242297686621096,0.639024831470341,178.2843475341797,1.8906977283242936,1.9438733333333333,1.8668065183062141,1.8614133333333334,0.16872892912993734,0.46054582515153053,0.3707252457185321,0.7067734599113464,0.3390239715576172,"{'md5sum': 'c5c3466b92d929054057f37237b04d51', 'mriqc_pred': 1, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': False, 'small_air_mask': True}}",0.0,0.0038722397677951933,14.65988705972435,4.610880359816082,5.307994665163081,64,64,33,1.5507466810284396,11.729626992647889,8.851909034343537,13.275353429354283,20.817143224858338,26.128178358211823,26.073053165150032,31.273837912379932,3.0,3.000000238418579,3.75,103.49148546186795,20.970304489135742,56.67123031616211,52.17950439453125,36090.0,22.603601932525635,104.91565513610826,30.133018493652344,3.081888920124344,350.6942138671875,824.9727783203125,666.3373413085938,5550.0,357.4802017211914,1561.9465576171874,429.64935302734375,1.1642794840526598,64.42505645751953,841.4920654296875,836.338623046875,11157.0,734.4837158203125,967.9953369140624,71.29818725585938,0.23854871372820918,72.42879486083984,1005.170654296875,1001.04638671875,8603.0,888.2942626953125,1135.9065795898437,75.4020004272461,0.10798509418964386,0.37497279047966003,0.342922568321228,0.46392630857340356
05,mri,mprage,0.3190078656411166,4.156239805010716,0.5797703700494777,2570.418212890625,4.953073392165755,4.799030286044496,5.489569345592338,4.570620544860428,0.2198695950977829,0.40288671107275476,0.3772436938294623,0.8280616402626038,0.30883952379226676,"{'md5sum': '351ed24de026faf6934bf3c952453d60', 'mriqc_pred': 0, 'settings': {'testing': False}, 'software': 'mriqc', 'version': '0.9.6', 'warnings': {'large_rot_frame': True, 'small_air_mask': False}}",0.0007702676680146351,0.005282988292189993,27.13501482712549,15.058627347939906,19.486650682198,256,256,192,3.7620693487124908,13.386490586768348,15.108961696297891,28.178325153412835,40.205118146189406,77.23313018266222,74.53493603106925,106.16655976435612,0.9999999403953552,1.0000001192092896,0.9999998807907104,90.133231580449,6.170844554901123,14.457122802734375,12.54801082611084,2285993.0,5.251803398132325,29.410825347900378,9.328666687011719,-0.03170956887092968,107.32527923583984,395.9546203613281,378.6990661621094,28827.0,261.13440856933596,574.2323852539062,100.66069030761719,0.05109107865137963,54.30609893798828,727.746826171875,727.472412109375,24381.0,638.8626708984375,816.654052734375,54.34265899658203,0.7809402296003349,32.6328125,999.0563354492188,1000.00146484375,226085.0,939.2784545898437,1055.4036132812498,35.488243103027344,0.2352783977985382,0.5166271328926086,0.5845263600349426,0.6750726406073254
