subject_id,session_id,task_id,run_id,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,provenance,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr
01,mri,facerecognition,01,0.0005918571428571429,0.006216220904761904,0,25.222233238612443,1.0763718128708128,1.0064385276076555,0.6227202605396033,479.85589599609375,0.06777589537573939,0,0.0,2.318115777777778,2.27383,2.7349333333333337,1.945584,0.0228442,-0.00327743380330503,0.04816794395446777,"{'md5sum': 'e14a585569348c464813edb2a90e7acb', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.45885366330048,2.0,3.0,3.0,3.75,13.406911469734943,12.700957298278809,72.68685150146484,33.157142639160156,63641.0,23.752382278442383,293.423828125,94.38347625732422,2.712798920875903,130.42312622070312,773.4971923828125,774.376220703125,38310.0,499.1807281494141,1049.7174499511718,173.66932678222656,57.091190338134766
01,mri,facerecognition,02,0.0014203333333333333,0.009049426523809525,0,28.346554952296653,1.1029790877033496,1.008549910669857,0.6237343604811098,475.0706481933594,0.10595130532018093,19,9.047619047619047,2.3329773333333335,2.2865733333333336,2.7496733333333334,1.9626853333333334,0.0357005,-0.004105638712644577,0.051328226923942566,"{'md5sum': 'cb42bc6822a21280a57a66bf4dbff1df', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.492302347538469,2.0,3.0,3.0,3.75,12.935963528544956,12.683309555053711,74.10809326171875,33.2928581237793,63512.0,23.71904945373535,300.447393798828,96.92375183105469,2.561551989610665,131.6409454345703,776.0230102539062,777.1286010742188,38363.0,498.37193603515624,1051.4209716796877,172.98890686035156,48.4427490234375
01,mri,facerecognition,03,0.0030167619047619053,0.009372062952380952,0,28.697115401004773,1.1389405055023925,1.0391927450717702,0.6246226113056096,467.7075500488281,0.11808221034405277,20,9.523809523809524,2.322163333333333,2.2757166666666664,2.7422,1.9485733333333333,0.0300269,-0.004117082338780165,0.05033641308546066,"{'md5sum': '3dc6f448bab2fed3ea343b8fc8becbeb', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.487361841393668,2.0,3.0,3.0,3.75,12.631983383999183,13.329303741455078,75.60404205322266,33.77143096923828,63698.0,23.76666831970215,305.5654907226561,98.9596176147461,2.614982530801787,132.1845245361328,781.3816528320312,781.5286254882812,38241.0,503.914306640625,1057.109619140625,174.15988159179688,48.56293487548828
01,mri,facerecognition,04,0.0011163333333333335,0.009740954666666668,0,29.449578645789476,1.1060986365550243,0.9975278090430626,0.6254889973214826,464.52899169921875,0.11440213127900037,28,13.333333333333334,2.3356673333333333,2.2902,2.753716666666667,1.9630853333333333,0.0333795,-0.004637409932911396,0.05127991363406181,"{'md5sum': '5b78dd8e96078bbaff008d996c4afaa9', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.471546210789623,2.0,3.0,3.0,3.75,13.168193608029888,13.49521255493164,76.60521697998047,33.99285888671875,63648.0,23.900001525878906,310.16811523437497,100.6917953491211,2.570811777931186,133.34950256347656,785.2200927734375,785.7428588867188,38297.0,503.9628845214844,1063.1410400390625,175.71832275390625,47.956275939941406
01,mri,facerecognition,05,0.005022380952380953,0.011817584857142857,0,26.873129886076544,1.1051998070813391,1.0665029522488036,0.62586862435867,452.4156188964844,0.11712741353423135,25,11.904761904761905,2.3715484444444446,2.3225666666666664,2.7861666666666665,2.005912,0.0117805,-0.0037127076648175716,0.0520428828895092,"{'md5sum': '175310323596bdee35ef5bb9ab5bb75c', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.419595141050151,2.0,3.0,3.0,3.75,12.477612022169607,14.667177200317383,76.92736053466797,34.578575134277344,63558.0,22.85238265991211,309.2078674316403,100.18795013427734,2.5081339137080576,135.4534149169922,786.89990234375,788.9952392578125,38517.0,497.73145751953126,1068.9238281249998,178.51974487304688,42.0274772644043
01,mri,facerecognition,06,0.0022544285714285717,0.01549327619047619,0,28.53473812062202,1.0473324064593295,0.9770374581339711,0.6239640814910274,482.5113220214844,0.15074872296162806,39,18.571428571428573,2.332744,2.2849366666666664,2.73621,1.9770853333333334,0.0118546,0.002660128753632307,0.05755908414721489,"{'md5sum': 'c692c130b282f8a1e78e4a04b884ef31', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.550686120180442,2.0,3.0,3.0,3.75,13.0793630423377,13.639942169189453,74.0452651977539,33.652381896972656,64202.0,23.324048709869384,295.46548461914057,96.1307144165039,2.5968896704347735,131.94100952148438,785.6172485351562,784.6286010742188,38164.0,516.1309814453125,1061.0972229003905,172.41758728027344,38.24458312988281
01,mri,facerecognition,07,0.004271190476190477,0.012739704428571428,0,26.60314382894739,1.0839846923444973,1.0284719456937794,0.6238213138460088,481.78912353515625,0.12211434037075544,27,12.857142857142858,2.3057297777777777,2.25927,2.701916666666667,1.9560026666666666,0.0120786,0.003974616061896086,0.05832725390791893,"{'md5sum': '124789b9a4effe08527a620dede2355d', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.639647022566692,2.0,3.0,3.0,3.75,11.74062543951568,13.442258834838867,73.97386932373047,33.595237731933594,64335.0,23.623809814453125,295.1938232421873,95.15145874023438,2.3889636966435512,132.99649047851562,788.2578735351562,786.3143310546875,38038.0,523.5947906494141,1059.8507507324218,169.47496032714844,40.65748977661133
01,mri,facerecognition,08,0.00610747619047619,0.010883371333333334,0,28.569193543397127,1.1076848306220104,1.0792151791866031,0.6236603348950902,481.3424377441406,0.19660792251276288,62,29.523809523809526,2.296597111111111,2.2500233333333335,2.6901200000000003,1.949648,0.0138217,0.004400799050927162,0.05922801047563553,"{'md5sum': 'f1e45a6bc90a1c49656f975dc7d1a0a0', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.579986881811058,2.0,3.0,3.0,3.75,10.323869900881107,13.922344207763672,73.83745574951172,33.614288330078125,64560.0,23.119049072265625,296.46381835937484,94.68392944335938,2.464686384365752,134.0202178955078,787.230224609375,786.7142944335938,38015.0,517.1981079101563,1058.7595825195312,171.76991271972656,42.81953048706055
01,mri,facerecognition,09,0.003741,0.011877466476190472,0,29.21373868344495,1.095464298708134,1.0300245867942581,0.6251827213775036,463.4432373046875,0.2066365404065294,70,33.333333333333336,2.3410879999999996,2.29868,2.746453333333333,1.9781306666666665,0.0159917,0.0001804200728656724,0.053543079644441605,"{'md5sum': '216f91a51eeef6bc45a2fe24635dafa3', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.462846266563249,2.0,3.0,3.0,3.75,11.852986511580976,12.863340377807617,73.92257690429688,33.29047775268555,63870.0,23.673571872711182,294.1507385253906,94.74047088623047,2.6556040762414463,130.3278350830078,764.4307250976562,766.4000244140625,38217.0,493.5000183105469,1034.0523681640625,171.7267303466797,41.02298355102539
02,mri,facerecognition,01,0.0009042380952380952,0.007110567095238096,0,22.70221534086124,1.0243838285645932,0.9726764802392343,0.6105705653253137,672.9593505859375,0.06155578902944227,6,2.857142857142857,2.342068640766771,2.296829817464366,2.72513,2.0042461048359477,0.0155756,-0.013903562910854816,0.05790068209171295,"{'md5sum': '78df218c60f3a88bd9812714aa09d1cc', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",210,64,64,33,4.126992415599853,2.0,3.000000238418579,3.0,3.9000000953674316,82.43667125291779,7.7165937423706055,50.531951904296875,28.27142906188965,61264.0,21.990476608276367,159.80977554321282,67.23998260498047,1.7605003224588502,149.88409423828125,788.3082885742188,777.550048828125,41636.0,511.8309783935547,1116.5892944335938,188.40371704101562,53.773048400878906
