onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.176	2.000	classification-probabilistic	1	1	10	L	1.239	1
5.901	2.000	classification-deterministic	3	2	10	L	1.730	1
13.177	2.000	classification-deterministic	5	2	10	L	0.782	1
18.413	2.000	classification-deterministic	7	2	11	R	1.712	1
25.588	2.000	classification-probabilistic	9	1	3	L	0.768	1
32.599	2.000	classification-probabilistic	11	1	11	R	1.155	1
35.722	2.000	classification-probabilistic	13	1	10	L	0.946	1
40.998	2.000	classification-deterministic	15	2	10	R	1.533	0
44.086	2.000	classification-deterministic	17	2	2	R	0.908	1
48.481	2.000	classification-probabilistic	19	1	3	L	0.788	1
51.688	2.000	classification-probabilistic	21	1	14	R	1.054	1
56.588	2.000	classification-probabilistic	23	1	2	R	0.659	1
60.109	2.000	classification-probabilistic	25	1	10	L	0.811	1
65.502	2.000	classification-probabilistic	27	1	10	L	0.675	1
71.206	2.000	classification-deterministic	29	2	13	L	1.496	1
75.983	2.000	classification-deterministic	31	2	2	L	0.615	0
80.678	2.000	classification-deterministic	33	2	5	L	1.253	0
84.494	2.000	classification-probabilistic	35	1	10	L	0.733	1
91.204	2.000	classification-deterministic	37	2	1	L	0.828	1
97.319	2.000	classification-deterministic	39	2	13	L	1.211	1
101.111	2.000	classification-deterministic	41	2	10	R	1.334	0
105.811	2.000	classification-probabilistic	43	1	3	L	0.821	1
113.202	2.000	classification-deterministic	45	2	2	R	0.704	1
116.419	2.000	classification-probabilistic	47	1	4	L	1.102	1
119.694	2.000	classification-probabilistic	49	1	4	L	0.797	1
124.517	2.000	classification-probabilistic	51	1	5	R	1.382	1
131.816	2.000	classification-deterministic	53	2	1	L	1.093	1
139.399	2.000	classification-probabilistic	55	1	6	L	1.814	1
142.915	2.000	classification-probabilistic	57	1	14	R	2.101	1
146.309	2.000	classification-probabilistic	59	1	3	L	1.113	1
150.319	2.000	classification-probabilistic	61	1	11	R	1.550	1
156.483	2.000	classification-deterministic	63	2	3	R	0.821	1
159.992	2.000	classification-probabilistic	65	1	7	L	1.782	1
163.084	2.000	classification-deterministic	67	2	3	R	0.948	1
167.481	2.000	classification-deterministic	69	2	11	R	1.304	1
170.310	2.000	classification-deterministic	71	2	3	R	0.772	1
174.300	2.000	classification-deterministic	73	2	13	L	1.300	1
180.317	2.000	classification-probabilistic	75	1	1	R	1.130	1
185.510	2.000	classification-probabilistic	77	1	6	L	1.887	1
190.515	2.000	classification-deterministic	79	2	9	L	1.428	0
195.082	2.000	classification-deterministic	81	2	13	L	1.080	1
199.085	2.000	classification-deterministic	83	2	3	R	0.667	1
202.114	2.000	classification-deterministic	85	2	7	L	0.904	1
208.778	2.000	classification-probabilistic	87	1	8	R	0.908	1
213.392	2.000	classification-probabilistic	89	1	8	R	0.826	1
219.900	2.000	classification-deterministic	91	2	6	L	1.157	1
223.111	2.000	classification-deterministic	93	2	5	L	1.236	0
226.724	2.000	classification-deterministic	95	2	7	L	1.054	1
229.911	2.000	classification-deterministic	97	2	11	R	1.184	1
235.776	2.000	classification-probabilistic	99	1	5	R	0.897	1
240.776	2.000	classification-probabilistic	101	1	5	R	0.809	1
244.187	2.000	classification-deterministic	103	2	12	L	1.188	0
248.077	2.000	classification-probabilistic	105	1	11	R	1.410	1
252.315	2.000	classification-probabilistic	107	1	4	L	0.703	1
257.981	2.000	classification-probabilistic	109	1	3	L	1.351	1
261.692	2.000	classification-probabilistic	111	1	11	R	1.273	1
265.724	2.000	classification-deterministic	113	2	8	R	0.958	1
272.316	2.000	classification-deterministic	115	2	1	L	0.894	1
275.611	2.000	classification-deterministic	117	2	6	L	1.093	1
281.798	2.000	classification-probabilistic	119	1	13	R	0.993	0
289.123	2.000	classification-probabilistic	121	1	6	L	1.665	1
293.497	2.000	classification-probabilistic	123	1	10	L	0.973	1
299.203	2.000	classification-deterministic	125	2	2	R	0.893	1
304.319	2.000	classification-deterministic	127	2	4	L	0.746	1
307.577	2.000	classification-deterministic	129	2	13	L	1.505	1
310.813	2.000	classification-deterministic	131	2	3	R	1.841	1
316.077	2.000	classification-probabilistic	133	1	11	R	1.271	1
322.320	2.000	classification-probabilistic	135	1	11	R	0.993	1
325.300	2.000	classification-probabilistic	137	1	14	R	1.685	1
328.493	2.000	classification-probabilistic	139	1	10	L	1.991	1
332.423	2.000	classification-deterministic	141	2	1	-	0.000	-1
336.611	2.000	classification-deterministic	143	2	7	L	0.936	1
339.810	2.000	classification-deterministic	145	2	3	R	1.074	1
344.015	2.000	classification-deterministic	147	2	5	L	1.046	0
349.202	2.000	classification-deterministic	149	2	2	R	0.737	1
352.719	2.000	classification-probabilistic	151	1	10	L	0.724	1
358.804	2.000	classification-probabilistic	153	1	11	R	1.117	1
362.382	2.000	classification-probabilistic	155	1	10	-	0.000	-1
366.725	2.000	classification-probabilistic	157	1	5	R	0.889	1
372.818	2.000	classification-deterministic	159	2	12	L	1.162	0
377.000	2.000	classification-deterministic	161	2	6	L	0.725	1
379.976	2.000	classification-deterministic	163	2	2	R	0.773	1
