name	x	y	z	size	type
TG01	342.0	484.0	n/a	4	surface
TG02	418.0	468.0	n/a	4	surface
TG03	499.0	452.0	n/a	4	surface
TG04	575.0	424.0	n/a	4	surface
TG05	655.0	399.0	n/a	4	surface
TG06	735.0	372.0	n/a	4	surface
TG07	813.0	344.0	n/a	4	surface
TG08	892.0	320.0	n/a	4	surface
TG09	369.0	549.0	n/a	4	surface
TG10	454.0	534.0	n/a	4	surface
TG11	527.0	525.0	n/a	4	surface
TG12	603.0	500.0	n/a	4	surface
TG13	681.0	473.0	n/a	4	surface
TG14	759.0	450.0	n/a	4	surface
TG15	840.0	423.0	n/a	4	surface
TG16	918.0	396.0	n/a	4	surface
TG17	413.0	675.0	n/a	4	surface
TG18	483.0	637.0	n/a	4	surface
TG19	555.0	602.0	n/a	4	surface
TG20	634.0	577.0	n/a	4	surface
TG21	711.0	552.0	n/a	4	surface
TG22	785.0	528.0	n/a	4	surface
TG23	865.0	505.0	n/a	4	surface
TG24	943.0	483.0	n/a	4	surface
TG25	444.0	726.0	n/a	4	surface
TG26	508.0	702.0	n/a	4	surface
TG27	583.0	673.0	n/a	4	surface
TG28	658.0	651.0	n/a	4	surface
TG29	733.0	626.0	n/a	4	surface
TG30	812.0	605.0	n/a	4	surface
TG31	887.0	578.0	n/a	4	surface
TG32	966.0	558.0	n/a	4	surface
TG33	467.0	767.0	n/a	4	surface
TG34	535.0	762.0	n/a	4	surface
TG35	608.0	738.0	n/a	4	surface
TG36	684.0	720.0	n/a	4	surface
TG37	759.0	701.0	n/a	4	surface
TG38	836.0	680.0	n/a	4	surface
TG39	910.0	654.0	n/a	4	surface
TG40	989.0	633.0	n/a	4	surface
TG41	515.0	809.0	n/a	4	surface
TG42	575.0	817.0	n/a	4	surface
TG43	638.0	813.0	n/a	4	surface
TG44	714.0	791.0	n/a	4	surface
TG45	787.0	774.0	n/a	4	surface
TG46	862.0	755.0	n/a	4	surface
TG47	938.0	731.0	n/a	4	surface
TG48	1013.0	702.0	n/a	4	surface
