description	name	low_cutoff	high_cutoff	samplingrate	status	type
sensor gradiometer	MEG 1942	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 1941	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2013	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2012	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2011	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2023	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2022	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2021	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2032	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2033	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2031	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2042	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2043	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2041	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2113	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2112	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2111	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2122	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2123	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2121	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2133	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2132	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2131	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2143	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2142	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2141	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2212	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2213	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2211	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2223	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2222	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2221	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2233	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2232	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2231	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2242	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2243	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2241	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2312	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2313	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2311	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2323	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2322	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2321	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2332	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2333	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2331	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2343	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2342	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2341	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2412	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2413	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2411	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2423	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2422	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2421	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2433	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2432	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2431	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2442	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2443	0.1	172.18	600.61499	bad	MEG
magnetometer	MEG 2441	0.1	172.18	600.61499	good	MEG
