onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
372.108045300236	0	8	foot step	2	2	n/a	n/a	n/a	1	n/a
372.818045300199	0	8	foot step	4	4	n/a	n/a	n/a	1	n/a
373.488045300124	0	8	foot step	3	3	n/a	n/a	n/a	1	n/a
374.258045300143	0	8	foot step	2	2	n/a	n/a	n/a	1	n/a
374.958045300096	0	8	foot step	1	1	n/a	n/a	n/a	1	n/a
375.688045300078	0	8	foot step	2	2	n/a	n/a	n/a	1	n/a
376.020000000019	5	8	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
389.260000000009	23	9	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
412.267046499997	8.34765800018795	9	stimulus	n/a	n/a	QCGOGOOG	3	3	1	n/a
413.267046499997	0	9	foot step	4	4	n/a	n/a	n/a	1	n/a
413.857046500081	0	9	foot step	3	3	n/a	n/a	n/a	1	n/a
414.567046500044	0	9	foot step	4	4	n/a	n/a	n/a	1	n/a
415.297046500025	0	9	foot step	1	1	n/a	n/a	n/a	1	n/a
415.917046499904	0	9	foot step	4	4	n/a	n/a	n/a	1	n/a
416.577046500053	0	9	foot step	1	1	n/a	n/a	n/a	1	n/a
417.22704649996	0	9	foot step	2	2	n/a	n/a	n/a	1	n/a
417.947046499932	0	9	foot step	4	4	n/a	n/a	n/a	1	n/a
418.557046500035	0	9	foot step	3	3	n/a	n/a	n/a	1	n/a
419.337046500063	0	9	foot step	2	2	n/a	n/a	n/a	1	n/a
420.057046500035	0	9	foot step	1	1	n/a	n/a	n/a	1	n/a
420.620000000112	5	9	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
420.737046499969	0	9	foot step	2	2	n/a	n/a	n/a	1	n/a
439.459999999963	23.02	10	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
462.49114490021	10.4015035999473	10	stimulus	n/a	n/a	QQCOGGOQ	2	2	1	n/a
463.521144900238	0	10	foot step	4	4	n/a	n/a	n/a	1	n/a
464.221144900192	0	10	foot step	3	3	n/a	n/a	n/a	1	n/a
464.891144900117	0	10	foot step	4	4	n/a	n/a	n/a	1	n/a
465.481144900201	0	10	foot step	1	1	n/a	n/a	n/a	1	n/a
466.401144900126	0	10	foot step	4	4	n/a	n/a	n/a	1	n/a
467.061144900275	0	10	foot step	1	1	n/a	n/a	n/a	1	n/a
467.721144900192	0	10	foot step	2	2	n/a	n/a	n/a	1	n/a
468.411144900136	0	10	foot step	4	4	n/a	n/a	n/a	1	n/a
469.121144900098	0	10	foot step	3	3	n/a	n/a	n/a	1	n/a
469.861144900322	0	10	foot step	2	2	n/a	n/a	n/a	1	n/a
470.461144900182	0	10	foot step	1	1	n/a	n/a	n/a	1	n/a
471.261144900229	0	10	foot step	2	2	n/a	n/a	n/a	1	n/a
472.899999999907	5	10	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
481.100000000093	22.02	11	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
503.126158200204	9.76904129981995	11	stimulus	n/a	n/a	CQCCOQOC	0	0	1	n/a
504.136158200214	0	11	foot step	4	4	n/a	n/a	n/a	1	n/a
504.776158200111	0	11	foot step	3	3	n/a	n/a	n/a	1	n/a
505.476158200298	0	11	foot step	4	4	n/a	n/a	n/a	1	n/a
506.136158200214	0	11	foot step	1	1	n/a	n/a	n/a	1	n/a
506.786158200121	0	11	foot step	4	4	n/a	n/a	n/a	1	n/a
507.476158200298	0	11	foot step	1	1	n/a	n/a	n/a	1	n/a
508.136158200214	0	11	foot step	2	2	n/a	n/a	n/a	1	n/a
508.816158200148	0	11	foot step	4	4	n/a	n/a	n/a	1	n/a
509.516158200102	0	11	foot step	3	3	n/a	n/a	n/a	1	n/a
510.406158200232	0	11	foot step	2	2	n/a	n/a	n/a	1	n/a
511.076158200158	0	11	foot step	1	1	n/a	n/a	n/a	1	n/a
512.899999999907	5	11	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
512.926158200251	0	11	foot step	2	2	n/a	n/a	n/a	1	n/a
