onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
126.773	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	 1.3386	UT	UT	UT	UT
132.773	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	 1.3386	UT	UT	UT	UT
136.815	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.74732	LC-MISS	 1.0093	UT	UT
138.815	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.74732	LC-MISS	 1.0093	UT	UT
140.855	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.89663	LC-HIT	 1.4937	0	0.44632
146.855	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.89663	LC-HIT	 1.4937	0	0.44632
150.897	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	 1.6178	LC-MISS	 1.5093	UT	UT
152.897	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	 1.6178	LC-MISS	 1.5093	UT	UT
154.936	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.69494	UT	UT	UT	UT
160.936	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.69494	UT	UT	UT	UT
162.977	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.93435	UT	UT	UT	UT
168.977	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.93435	UT	UT	UT	UT
171.019	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.73693	UT	UT	UT	UT
173.019	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.73693	UT	UT	UT	UT
