onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
4.0005	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.73141	UT	UT	UT	UT
10.0005	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.73141	UT	UT	UT	UT
12.0446	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	NR	NR	HC-MISS	0.94126	UT	UT
16.0446	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	NR	NR	HC-MISS	0.94126	UT	UT
18.0869	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	 0.5015	UT	UT	UT	UT
24.0869	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	 0.5015	UT	UT	UT	UT
28.1424	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.79229	LC-MISS	 1.6163	UT	UT
32.1424	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.79229	LC-MISS	 1.6163	UT	UT
34.1839	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.61016	UT	UT	UT	UT
36.1839	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.61016	UT	UT	UT	UT
38.2217	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.67788	LC-MISS	 2.9437	UT	UT
40.2217	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.67788	LC-MISS	 2.9437	UT	UT
42.25899999999999	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.78323	HC-MISS	 1.2965	UT	UT
44.25899999999999	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.78323	HC-MISS	 1.2965	UT	UT
46.2963	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.88236	HC-HIT	 3.2653	1	1.3073
48.2963	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.88236	HC-HIT	 3.2653	1	1.3073
50.3338	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	0.50201	UT	UT	UT	UT
56.3338	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	0.50201	UT	UT	UT	UT
58.3753	1.0	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	 1.2997	UT	UT	UT	UT
60.3753	0.5	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	 1.2997	UT	UT	UT	UT
62.4129	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	 0.8854	LC-HIT	 2.4363	1	0.52159
64.4129	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	 0.8854	LC-HIT	 2.4363	1	0.52159
66.45	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.89132	UT	UT	UT	UT
72.45	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.89132	UT	UT	UT	UT
76.4932	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.80962	HC-HIT	 1.6961	0	1.1908
80.4932	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.80962	HC-HIT	 1.6961	0	1.1908
86.5343	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.91192	HC-HIT	 2.2412	0	1.1108
88.5343	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.91192	HC-HIT	 2.2412	0	1.1108
90.5763	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	 0.7219	LC-HIT	 2.9925	1	0.39051
94.5763	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	 0.7219	LC-HIT	 2.9925	1	0.39051
96.6155	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.60868	LC-MISS	 1.6597	UT	UT
100.6155	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.60868	LC-MISS	 1.6597	UT	UT
102.6545	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.71939	UT	UT	UT	UT
108.6545	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.71939	UT	UT	UT	UT
110.6973	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	 1.0635	LC-MISS	 1.6504	UT	UT
114.6973	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	 1.0635	LC-MISS	 1.6504	UT	UT
118.7361	1.0	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	0.80034	UT	UT	UT	UT
120.7361	0.5	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	0.80034	UT	UT	UT	UT
122.7766	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.84027	LC-HIT	 1.3727	0	0.31255
126.7766	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.84027	LC-HIT	 1.3727	0	0.31255
130.8159	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	 0.9363	LC-HIT	  1.406	1	0.45534
132.8159	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	 0.9363	LC-HIT	  1.406	1	0.45534
136.8558	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.84442	LC-MISS	 1.2861	UT	UT
142.8558	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.84442	LC-MISS	 1.2861	UT	UT
144.8988	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	NR	NR	UT	UT	UT	UT
148.8988	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	NR	NR	UT	UT	UT	UT
150.939	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.76536	LC-HIT	 2.2655	0	0.39172
154.939	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.76536	LC-HIT	 2.2655	0	0.39172
156.9787	1.0	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit	OBJ	NV	NR	NR	LC-HIT	 2.1789	1	0.30866
160.9787	0.5	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue	OBJ	NV	NR	NR	LC-HIT	 2.1789	1	0.30866
163.0211	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.50181	LC-MISS	 2.1896	UT	UT
169.0211	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.50181	LC-MISS	 2.1896	UT	UT
173.0767	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.82442	HC-MISS	 3.6494	UT	UT
179.0767	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.82442	HC-MISS	 3.6494	UT	UT
181.1202	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.80178	UT	UT	UT	UT
183.1202	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.80178	UT	UT	UT	UT
185.1573	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.75791	UT	UT	UT	UT
187.1573	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.75791	UT	UT	UT	UT
189.195	1.0	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit	OBJ	NV	1	0.89331	LC-HIT	 1.7303	1	0.36909
193.195	0.5	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue	OBJ	NV	1	0.89331	LC-HIT	 1.7303	1	0.36909
197.2346	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.88174	UT	UT	UT	UT
203.2346	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.88174	UT	UT	UT	UT
205.2787	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	0	 1.2523	LC-MISS	 1.3442	UT	UT
207.2787	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	0	 1.2523	LC-MISS	 1.3442	UT	UT
209.3159	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.81537	LC-MISS	 1.6147	UT	UT
211.3159	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.81537	LC-MISS	 1.6147	UT	UT
213.3536	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.82822	LC-HIT	 2.1267	1	0.41921
219.3536	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.82822	LC-HIT	 2.1267	1	0.41921
221.395	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	 1.0783	UT	UT	UT	UT
