onset	duration	trial_type	0	1	2	3
0.12	2.0	Spanish-English-Concrete-Novel	cincel	SECn_31	2984	3
3.12	2.0	Spanish-English-Concrete-Repeat	chisel	SECr_31	2984	3
6.12	2.0	English-English-Abstract-Novel	thought	EEAn_31	2984	17
9.12	2.0	Spanish-English-Abstract-Novel	reanudación	SEAn_31	2984	17
12.12	2.0	Spanish-Spanish-Concrete-Novel	olla	SSCn_31	1984	4
14.12	2.0	English-Spanish-Concrete-Novel	apple	ESCn_31	1984	32
16.12	2.0	Spanish-Spanish-Concrete-Repeat	olla	SSCr_31	6984	4
23.12	2.0	English-English-Abstract-Repeat	thought	EEAr_31	2984	17
26.12	2.0	Spanish-English-Abstract-Repeat	resumption	SEAr_31	3984	17
30.12	2.0	English-English-Abstract-Novel	scorn	EEAn_32	1984	26
32.12	2.0	English-Spanish-Abstract-Novel	wisdom	ESAn_31	2984	27
35.12	2.0	Spanish-English-Abstract-Novel	empresa	SEAn_32	5984	19
41.12	2.0	Spanish-English-Concrete-Novel	barco	SECn_32	1984	36
43.12	2.0	English-English-Concrete-Novel	bone	EECn_31	2984	49
46.12	2.0	English-Spanish-Concrete-Repeat	manzana	ESCr_31	7984	32
54.12	2.0	Spanish-English-Abstract-Repeat	enterprise	SEAr_32	1984	19
56.12	2.0	English-English-Abstract-Repeat	scorn	EEAr_32	2984	26
59.12	2.0	English-Spanish-Abstract-Repeat	sabiduría	ESAr_31	2984	27
62.12	2.0	Spanish-Spanish-Concrete-Novel	pulsera	SSCn_32	3984	6
66.12	2.0	English-Spanish-Abstract-Novel	amendment	ESAn_32	1984	8
68.12	2.0	Spanish-Spanish-Concrete-Repeat	pulsera	SSCr_32	1984	6
70.12	2.0	Spanish-English-Abstract-Novel	tiempo	SEAn_33	3984	77
74.12	2.0	English-Spanish-Abstract-Repeat	enmienda	ESAr_32	2984	8
77.12	2.0	Spanish-English-Concrete-Repeat	boat	SECr_32	2984	36
80.12	2.0	English-English-Abstract-Novel	joke	EEAn_33	1984	9
82.12	2.0	English-Spanish-Concrete-Novel	badge	ESCn_32	3984	39
86.12	2.0	Spanish-Spanish-Abstract-Novel	ley	SSAn_31	2984	17
89.12	2.0	English-English-Abstract-Repeat	joke	EEAr_33	2984	9
92.12	2.0	English-English-Concrete-Repeat	bone	EECr_31	4984	49
97.12	2.0	English-English-Abstract-Novel	danger	EEAn_34	5984	38
103.12	2.0	Spanish-Spanish-Abstract-Repeat	ley	SSAr_31	1984	17
105.12	2.0	English-Spanish-Abstract-Novel	career	ESAn_33	3984	4
109.12	2.0	English-Spanish-Abstract-Repeat	carrera	ESAr_33	5984	4
115.12	2.0	Spanish-Spanish-Abstract-Novel	salud	SSAn_32	3984	22
119.12	2.0	English-English-Concrete-Novel	essay	EECn_32	1984	12
121.12	2.0	English-Spanish-Concrete-Repeat	divisa	ESCr_32	3984	39
125.12	2.0	Spanish-Spanish-Concrete-Novel	azucar	SSCn_33	2984	15
128.12	2.0	English-Spanish-Concrete-Novel	steak	ESCn_33	2984	34
131.12	2.0	English-English-Concrete-Repeat	essay	EECr_32	3984	12
135.12	2.0	English-English-Abstract-Repeat	danger	EEAr_34	1984	38
137.12	2.0	Spanish-Spanish-Abstract-Repeat	salud	SSAr_32	2984	22
140.12	2.0	Spanish-Spanish-Concrete-Repeat	azucar	SSCr_33	6984	15
147.12	2.0	Spanish-English-Abstract-Repeat	time	SEAr_33	3984	77
151.12	2.0	Spanish-Spanish-Abstract-Novel	milagro	SSAn_33	4984	71
156.12	2.0	Spanish-English-Concrete-Novel	carne	SECn_33	5984	26
162.12	2.0	English-Spanish-Concrete-Repeat	bistec	ESCr_33	1984	34
164.12	2.0	Spanish-English-Abstract-Novel	docena	SEAn_34	2984	3
167.12	2.0	Spanish-English-Abstract-Repeat	dozen	SEAr_34	2984	3
170.12	2.0	English-Spanish-Concrete-Novel	claw	ESCn_34	4984	34
175.12	2.0	Spanish-Spanish-Concrete-Novel	espuma	SSCn_34	6984	15
182.12	2.0	Spanish-English-Concrete-Repeat	meat	SECr_33	2984	26
185.12	2.0	English-English-Concrete-Novel	cell	EECn_33	4984	34
190.12	2.0	Spanish-Spanish-Concrete-Repeat	espuma	SSCr_34	7984	15
198.12	2.0	Spanish-Spanish-Concrete-Novel	jalea	SSCn_35	2984	27
201.12	2.0	Spanish-English-Abstract-Novel	muerte	SEAn_35	2984	29
204.12	2.0	English-Spanish-Concrete-Repeat	garra	ESCr_34	6984	34
211.12	2.0	English-Spanish-Concrete-Novel	stripe	ESCn_35	7984	51
219.12	2.0	English-English-Concrete-Repeat	cell	EECr_33	2984	34
222.12	2.0	Spanish-Spanish-Abstract-Repeat	milagro	SSAr_33	2984	71
225.12	2.0	Spanish-Spanish-Concrete-Repeat	jalea	SSCr_35	4984	27
230.12	2.0	Spanish-English-Abstract-Repeat	death	SEAr_35	6984	29
237.12	2.0	Spanish-Spanish-Abstract-Novel	deleite	SSAn_34	3984	78
241.12	2.0	English-Spanish-Abstract-Novel	end	ESAn_34	7984	16
249.12	2.0	Spanish-English-Abstract-Novel	ganancia	SEAn_36	3984	72
