electrode_id	probe_id	x	y	z	impedance	material	location	hemisphere	connector_aligned_id	impedance_unit	insulation
1	Prob-8596-001139	3.6	0.8	1.5	73	iridium oxide	M1	right	93	kOhm	Parylene-c
2	Prob-8596-001139	3.6	0.4	1.5	92	iridium oxide	M1	right	92	kOhm	Parylene-c
3	Prob-8596-001139	3.6	1.2	1.5	68	iridium oxide	M1	right	94	kOhm	Parylene-c
4	Prob-8596-001139	3.6	1.6	1.5	67	iridium oxide	M1	right	95	kOhm	Parylene-c
5	Prob-8596-001139	2.8	1.6	1.5	48	iridium oxide	M1	right	75	kOhm	Parylene-c
6	Prob-8596-001139	3.6	2.0	1.5	57	iridium oxide	M1	right	96	kOhm	Parylene-c
7	Prob-8596-001139	3.2	1.6	1.5	51	iridium oxide	M1	right	85	kOhm	Parylene-c
8	Prob-8596-001139	3.6	2.4	1.5	61	iridium oxide	M1	right	97	kOhm	Parylene-c
9	Prob-8596-001139	3.2	2.0	1.5	72	iridium oxide	M1	right	86	kOhm	Parylene-c
10	Prob-8596-001139	3.6	2.8	1.5	57	iridium oxide	M1	right	98	kOhm	Parylene-c
11	Prob-8596-001139	3.2	2.4	1.5	46	iridium oxide	M1	right	87	kOhm	Parylene-c
12	Prob-8596-001139	3.2	2.8	1.5	41	iridium oxide	M1	right	88	kOhm	Parylene-c
13	Prob-8596-001139	2.8	2.4	1.5	69	iridium oxide	M1	right	77	kOhm	Parylene-c
14	Prob-8596-001139	3.6	3.2	1.5	44	iridium oxide	M1	right	99	kOhm	Parylene-c
15	Prob-8596-001139	2.4	2.0	1.5	51	iridium oxide	M1	right	66	kOhm	Parylene-c
16	Prob-8596-001139	3.2	3.2	1.5	46	iridium oxide	M1	right	89	kOhm	Parylene-c
17	Prob-8596-001139	2.8	2.0	1.5	61	iridium oxide	M1	right	76	kOhm	Parylene-c
18	Prob-8596-001139	3.2	3.6	1.5	47	iridium oxide	M1	right	90	kOhm	Parylene-c
19	Prob-8596-001139	2.4	2.4	1.5	47	iridium oxide	M1	right	67	kOhm	Parylene-c
20	Prob-8596-001139	2.8	3.2	1.5	44	iridium oxide	M1	right	79	kOhm	Parylene-c
21	Prob-8596-001139	2.0	2.8	1.5	42	iridium oxide	M1	right	58	kOhm	Parylene-c
22	Prob-8596-001139	2.8	3.6	1.5	43	iridium oxide	M1	right	80	kOhm	Parylene-c
23	Prob-8596-001139	2.8	2.8	1.5	41	iridium oxide	M1	right	78	kOhm	Parylene-c
24	Prob-8596-001139	2.4	3.6	1.5	48	iridium oxide	M1	right	70	kOhm	Parylene-c
25	Prob-8596-001139	2.4	2.8	1.5	48	iridium oxide	M1	right	68	kOhm	Parylene-c
26	Prob-8596-001139	2.0	3.6	1.5	45	iridium oxide	M1	right	60	kOhm	Parylene-c
27	Prob-8596-001139	2.4	3.2	1.5	46	iridium oxide	M1	right	69	kOhm	Parylene-c
28	Prob-8596-001139	1.6	3.6	1.5	44	iridium oxide	M1	right	50	kOhm	Parylene-c
