onset	duration	trial_type	response_time
1.3141333333333334	3.5164666666666666	SGHF	3.6255333333333334
7.131433333333333	3.371	SGHF	9.2604
12.8032	2.4493333333333333	PGHF	
19.2123	3.5135333333333333	SGLF	21.524766666666667
25.0267	3.4449	SGLF	27.207
30.772633333333334	3.5614333333333333	PGHF	33.099366666666666
36.7325	2.6149333333333334	PGLF	
42.0626	3.4060666666666666	SGHF	44.802
47.76943333333333	3.1717666666666667	PGLF	50.04496666666667
53.81643333333333	3.4549	SGLF	56.096
59.58316666666666	3.1491333333333333	SGLF	61.35263333333333
65.38316666666666	2.887	SGLF	67.87183333333333
71.3092	2.9169666666666666	PGLF	73.28816666666666
77.0135	2.9090333333333333	SGHF	79.69933333333333
82.7299	2.8436666666666667	PGLF	85.6696
88.65156666666666	2.903833333333333	SGHF	91.4287
94.5501	2.9079	PGLF	97.2478
100.3204	2.9059	SGHF	103.00216666666667
106.07923333333333	2.9069333333333334	PGLF	108.71546666666667
111.8532	2.9069	SGHF	114.5219
117.6253	2.9059	PGLF	120.3547
123.3853	2.9079	SGHF	126.1558
129.1558	2.9059	PGLF	131.9567
135.0393	2.9059	SGHF	137.9567
140.7993	2.9069	PGLF	143.6089
146.7793	2.9069	SGHF	149.6108
152.67709999999998	2.9069	SGLF	155.27746666666666
158.62179999999998	2.9079	PGLF	161.4156
164.42639999999998	2.9069	SGLF	167.34343333333334
170.1359	2.9059	PGHF	172.9367
175.9084	2.9069	SGLF	178.6385
181.71393333333333	2.9079	PGLF	184.40893333333334
187.4925	2.9069	SGLF	190.3556
193.3853	2.9079	PGHF	196.225
199.1558	2.9059	SGLF	201.9567
204.9325	2.9079	PGHF	207.76786666666667
210.74926666666667	2.9059	SGLF	213.6528
216.5125	2.9079	SGHF	219.48376666666666
222.28341666666666	2.9069	SGLF	225.1415
228.01639999999998	2.9079	PGHF	230.81736666666667
233.7468	2.9059	PGLF	236.643
239.5289	2.9079	SGLF	242.3486
245.3306	2.9069	SGHF	248.2638
251.3486	2.9079	PGLF	254.1543
257.0488	2.9059	SGLF	259.9556
263.0336	2.9079	PGLF	265.8895
268.86386666666665	2.9059	SGHF	271.714
274.6591333333333	2.9069	PGLF	277.4925
280.606	2.9059	PGHF	283.4557
286.3868	2.9079	PGHF	289.1173
292.0535	2.9069	SGLF	294.9242
297.8785	2.9079	PGHF	300.7553
303.6591	2.9059	SGLF	306.525
309.4395	2.9079	PGLF	312.3126
315.2289	2.9069	SGLF	318.1063
321.0423	2.9079	PGLF	323.8687
326.8504	2.9059	SGLF	329.7556
332.6591	2.9079	PGHF	335.5573
338.4888	2.9059	PGLF	341.3866
344.2925	2.9079	SGHF	347.1994
350.1189	2.9059	PGLF	352.946
355.9015	2.9079	PGHF	358.8066
361.7139	2.9059	PGHF	364.5711
367.5028	2.9079	SGLF	370.3659
373.2834	2.9059	PGHF	376.1999
379.0888	2.9079	SGLF	381.8895
384.8206	2.9059	PGHF	387.6534
390.606	2.9079	SGLF	393.4395
396.3853	2.9059	PGHF	399.2556
402.163	2.9079	SGLF	405.0347
407.95	2.9059	SGHF	410.8206
413.7543	2.9079	PGLF	416.5873
419.5288	2.9059	PGHF	422.3486
425.3306	2.9079	SGLF	428.163
431.1449	2.9059	SGHF	433.9793
436.9325	2.9079	PGLF	439.7556
442.7299	2.9059	PGHF	445.5573
448.4888	2.9079	SGLF	451.3556
454.2925	2.9059	SGHF	457.1994
460.0888	2.9079	PGHF	462.9173
465.8951	2.9059	SGLF	468.7556
471.6591	2.9079	PGHF	474.4837
477.4325	2.9059	PGHF	480.2638
483.2535	2.9079	SGLF	486.0888
489.0462	2.9059	SGHF	491.8787
494.8173	2.9079	PGHF	497.6506
500.606	2.9059	SGLF	503.4395
506.3556	2.9079	PGLF	509.1895
512.1449	2.9059	SGHF	514.9793
517.9325	2.9079	PGLF	520.7556
523.6888	2.9059	SGHF	526.5573
529.4395	2.9079	SGLF	532.3126
535.2289	2.9069	PGLF	538.1063
541.0423	2.9079	PGHF	543.8687
546.8504	2.9059	SGLF	549.7556
552.6591	2.9079	PGHF	555.5573
558.4888	2.9059	SGLF	561.3556
564.2925	2.9079	SGHF	567.1994
570.0888	2.9059	PGHF	572.9173
575.8951	2.9079	SGLF	578.6385
581.7139	2.9059	SGHF	584.543
587.5028	2.9079	PGLF	590.3556
593.2834	2.9059	PGHF	596.1999
599.0888	2.9079	SGLF	601.9567
604.8638666666667	2.9059	SGHF	607.7556
610.6591	2.9079	PGLF	613.5573
616.44	2.9059	PGHF	619.2556
622.2155	2.9079	SGLF	625.0347
627.9325	2.9059	SGHF	630.7556
633.7299	2.9079	PGLF	636.5873
639.5288	2.9059	PGHF	642.3486
645.3306	2.9079	SGLF	648.163
651.0888	2.9059	SGHF	653.9567
656.8504	2.9079	PGLF	659.6506
662.6395	2.9059	PGHF	665.4395
668.4551	2.9079	SGLF	671.2638
674.2449	2.9059	SGHF	677.0638
680.0535	2.9079	PGLF	682.8895
685.8755	2.9059	PGHF	688.7556
691.6591	2.9079	SGLF	694.4837
697.4325	2.9059	SGHF	700.2638
703.2535	2.9079	PGLF	706.0888
709.0423	2.9059	PGHF	711.8787
714.8638666666667	2.9079	SGLF	717.6506
720.6253	2.9059	PGHF	723.4395
726.44	2.9079	SGLF	729.2638
732.2289	2.9059	SGHF	735.0347
738.0163999999999	2.9079	PGLF	740.8206
743.7543	2.9059	SGHF	746.5873
749.5289	2.9079	PGLF	752.3486
755.2289	2.9059	PGHF	758.0347
761.0163999999999	2.9079	SGLF	763.8494
766.8375	2.9059	SGHF	769.6506
772.6253	2.9079	PGHF	775.4395
778.411	2.9059	PGHF	781.246
784.1504	2.9079	SGLF	786.994
789.9205	2.9059	SGHF	792.7556
795.7048	2.9079	PGHF	798.5312
801.4888	2.9059	PGHF	804.3126
807.2289	2.9079	SGLF	810.0347
813.0163999999999	2.9059	SGHF	815.8206
818.7543	2.9079	PGLF	821.5873
824.5289	2.9059	PGHF	827.3486
830.3182	2.9079	PGHF	833.1556
836.0888	2.9059	SGLF	838.9325
841.8504	2.9079	SGHF	844.6837
847.6591	2.9059	PGHF	850.4837
853.4325	2.9079	PGHF	856.2638
859.2289	2.9059	SGLF	862.0347
865.0163999999999	2.9079	SGHF	867.8494
870.7543	2.9059	PGLF	873.5873
876.543	2.9079	PGHF	879.376
882.3182	2.9059	PGHF	885.1556
888.1063	2.9079	SGLF	890.9325
893.8895	2.9059	SGHF	896.714
899.6591	2.9079	PGHF	902.4837
905.4325	2.9059	PGHF	908.2638
911.2289	2.9079	SGLF	914.0347
917.0163999999999	2.9059	SGHF	919.8494
922.7543	2.9079	PGLF	925.5873
928.5289	2.9059	PGHF	931.3556
934.3182	2.9079	SGLF	937.1994
940.0888	2.9059	PGHF	942.9173
945.8755	2.9079	SGLF	948.7048
951.6591	2.9059	PGHF	954.4837
957.4325	2.9079	SGLF	960.2638
963.2289	2.9059	PGHF	966.0347
969.0163999999999	2.9079	SGLF	971.8494
974.7543	2.9059	SGHF	977.5873
980.543	2.9079	PGLF	983.376
986.3306	2.9059	PGHF	989.1556
992.0888	2.9079	SGLF	994.9242
997.8755	2.9059	SGHF	1000.7556
1003.6591	2.9079	PGLF	1006.506
1009.4325	2.9059	SGHF	1012.2556
