name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan22_s1	22	LFP	uV	1000	ref1	27	22.0	1	../../../sourcedata/i140703-001.ns2	1	22	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	80.0	3.6	2.8	5000
chan23_s1	23	LFP	uV	1000	ref1	28	23.0	1	../../../sourcedata/i140703-001.ns2	1	23	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	True	78.0	2.8	2.8	5000
chan24_s1	24	LFP	uV	1000	ref1	29	24.0	1	../../../sourcedata/i140703-001.ns2	1	24	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	70.0	3.6	2.4	5000
chan25_s1	25	LFP	uV	1000	ref1	30	25.0	1	../../../sourcedata/i140703-001.ns2	1	25	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	68.0	2.8	2.4	5000
chan26_s1	26	LFP	uV	1000	ref1	31	26.0	1	../../../sourcedata/i140703-001.ns2	1	26	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	60.0	3.6	2.0	5000
chan27_s1	27	LFP	uV	1000	ref1	32	27.0	1	../../../sourcedata/i140703-001.ns2	1	27	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	69.0	3.2	2.4	5000
chan28_s1	28	LFP	uV	1000	ref1	33	28.0	1	../../../sourcedata/i140703-001.ns2	1	28	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	50.0	3.6	1.6	5000
chan29_s1	29	LFP	uV	1000	ref1	34	29.0	1	../../../sourcedata/i140703-001.ns2	1	29	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	59.0	3.2	2.0	5000
chan30_s1	30	LFP	uV	1000	ref1	35	30.0	1	../../../sourcedata/i140703-001.ns2	1	30	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	40.0	3.6	1.2	5000
chan31_s1	31	LFP	uV	1000	ref1	36	31.0	1	../../../sourcedata/i140703-001.ns2	1	31	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	49.0	3.2	1.6	5000
chan32_s1	32	LFP	uV	1000	ref1	37	32.0	1	../../../sourcedata/i140703-001.ns2	1	32	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	30.0	3.6	0.8	5000
