name	type	description	samplingrate	highpass	lowpass	notch	size	status
52	iEEG	surface	3051.76	0.5	300	none	2.3	bad
53	iEEG	surface	3051.76	0.5	300	none	2.3	good
54	iEEG	surface	3051.76	0.5	300	none	2.3	good
55	iEEG	surface	3051.76	0.5	300	none	2.3	good
56	iEEG	surface	3051.76	0.5	300	none	2.3	good
57	iEEG	surface	3051.76	0.5	300	none	2.3	good
58	iEEG	surface	3051.76	0.5	300	none	2.3	good
59	iEEG	surface	3051.76	0.5	300	none	2.3	good
60	iEEG	surface	3051.76	0.5	300	none	2.3	good
61	iEEG	surface	3051.76	0.5	300	none	2.3	good
62	iEEG	surface	3051.76	0.5	300	none	2.3	good
63	iEEG	surface	3051.76	0.5	300	none	2.3	good
64	iEEG	surface	3051.76	0.5	300	none	2.3	good
65	iEEG	surface	3051.76	0.5	300	none	2.3	good
66	iEEG	surface	3051.76	0.5	300	none	2.3	good
67	iEEG	surface	3051.76	0.5	300	none	2.3	good
68	iEEG	surface	3051.76	0.5	300	none	2.3	good
69	iEEG	surface	3051.76	0.5	300	none	2.3	good
70	iEEG	surface	3051.76	0.5	300	none	2.3	good
71	iEEG	surface	3051.76	0.5	300	none	2.3	good
72	iEEG	surface	3051.76	0.5	300	none	2.3	good
73	iEEG	surface	3051.76	0.5	300	none	2.3	good
74	iEEG	surface	3051.76	0.5	300	none	2.3	good
75	iEEG	surface	3051.76	0.5	300	none	2.3	good
76	iEEG	surface	3051.76	0.5	300	none	2.3	good
77	iEEG	surface	3051.76	0.5	300	none	2.3	bad
78	iEEG	surface	3051.76	0.5	300	none	2.3	good
79	iEEG	surface	3051.76	0.5	300	none	2.3	good
80	iEEG	surface	3051.76	0.5	300	none	2.3	good
81	iEEG	surface	3051.76	0.5	300	none	2.3	bad
82	iEEG	surface	3051.76	0.5	300	none	2.3	good
83	iEEG	surface	3051.76	0.5	300	none	2.3	good
84	iEEG	surface	3051.76	0.5	300	none	2.3	good
85	iEEG	surface	3051.76	0.5	300	none	2.3	good
86	iEEG	surface	3051.76	0.5	300	none	2.3	good
87	iEEG	surface	3051.76	0.5	300	none	2.3	good
88	iEEG	surface	3051.76	0.5	300	none	2.3	good
89	iEEG	surface	3051.76	0.5	300	none	2.3	good
90	iEEG	surface	3051.76	0.5	300	none	2.3	good
91	iEEG	surface	3051.76	0.5	300	none	2.3	good
92	iEEG	surface	3051.76	0.5	300	none	2.3	good
93	iEEG	surface	3051.76	0.5	300	none	2.3	good
94	iEEG	surface	3051.76	0.5	300	none	2.3	good
95	iEEG	surface	3051.76	0.5	300	none	2.3	bad
96	iEEG	surface	3051.76	0.5	300	none	2.3	good
97	iEEG	surface	3051.76	0.5	300	none	2.3	good
98	iEEG	surface	3051.76	0.5	300	none	2.3	good
99	iEEG	surface	3051.76	0.5	300	none	2.3	good
100	iEEG	surface	3051.76	0.5	300	none	2.3	good
101	iEEG	surface	3051.76	0.5	300	none	2.3	good
102	iEEG	surface	3051.76	0.5	300	none	2.3	good
103	iEEG	surface	3051.76	0.5	300	none	2.3	good
104	iEEG	surface	3051.76	0.5	300	none	2.3	good
105	iEEG	surface	3051.76	0.5	300	none	2.3	good
106	iEEG	surface	3051.76	0.5	300	none	2.3	good
107	iEEG	surface	3051.76	0.5	300	none	2.3	good
108	iEEG	surface	3051.76	0.5	300	none	2.3	good
109	iEEG	surface	3051.76	0.5	300	none	2.3	good
110	iEEG	surface	3051.76	0.5	300	none	2.3	good
111	iEEG	surface	3051.76	0.5	300	none	2.3	good
112	iEEG	surface	3051.76	0.5	300	none	2.3	good
113	iEEG	surface	3051.76	0.5	300	none	2.3	good
114	iEEG	surface	3051.76	0.5	300	none	2.3	good
115	iEEG	surface	3051.76	0.5	300	none	2.3	good
116	iEEG	surface	3051.76	0.5	300	none	2.3	bad
117	iEEG	surface	3051.76	0.5	300	none	2.3	good
118	iEEG	surface	3051.76	0.5	300	none	2.3	bad
