name	type	description	samplingrate	highpass	lowpass	notch	size	status
1	iEEG	surface	3051.76	0.5	300	none	2.3	good
2	iEEG	surface	3051.76	0.5	300	none	2.3	good
3	iEEG	surface	3051.76	0.5	300	none	2.3	good
4	iEEG	surface	3051.76	0.5	300	none	2.3	good
5	iEEG	surface	3051.76	0.5	300	none	2.3	good
6	iEEG	surface	3051.76	0.5	300	none	2.3	good
7	iEEG	surface	3051.76	0.5	300	none	2.3	good
8	iEEG	surface	3051.76	0.5	300	none	2.3	good
9	iEEG	surface	3051.76	0.5	300	none	2.3	good
10	iEEG	surface	3051.76	0.5	300	none	2.3	good
11	iEEG	surface	3051.76	0.5	300	none	2.3	good
12	iEEG	surface	3051.76	0.5	300	none	2.3	good
13	iEEG	surface	3051.76	0.5	300	none	2.3	good
14	iEEG	surface	3051.76	0.5	300	none	2.3	good
15	iEEG	surface	3051.76	0.5	300	none	2.3	good
16	iEEG	surface	3051.76	0.5	300	none	2.3	good
17	iEEG	surface	3051.76	0.5	300	none	2.3	good
18	iEEG	surface	3051.76	0.5	300	none	2.3	good
19	iEEG	surface	3051.76	0.5	300	none	2.3	good
20	iEEG	surface	3051.76	0.5	300	none	2.3	good
21	iEEG	surface	3051.76	0.5	300	none	2.3	good
22	iEEG	surface	3051.76	0.5	300	none	2.3	good
23	iEEG	surface	3051.76	0.5	300	none	2.3	good
24	iEEG	surface	3051.76	0.5	300	none	2.3	good
25	iEEG	surface	3051.76	0.5	300	none	2.3	good
26	iEEG	surface	3051.76	0.5	300	none	2.3	good
27	iEEG	surface	3051.76	0.5	300	none	2.3	good
28	iEEG	surface	3051.76	0.5	300	none	2.3	good
29	iEEG	surface	3051.76	0.5	300	none	2.3	good
30	iEEG	surface	3051.76	0.5	300	none	2.3	good
31	iEEG	surface	3051.76	0.5	300	none	2.3	good
32	iEEG	surface	3051.76	0.5	300	none	2.3	good
33	iEEG	surface	3051.76	0.5	300	none	2.3	good
34	iEEG	surface	3051.76	0.5	300	none	2.3	good
35	iEEG	surface	3051.76	0.5	300	none	2.3	good
36	iEEG	surface	3051.76	0.5	300	none	2.3	good
37	iEEG	surface	3051.76	0.5	300	none	2.3	good
38	iEEG	surface	3051.76	0.5	300	none	2.3	good
39	iEEG	surface	3051.76	0.5	300	none	2.3	good
40	iEEG	surface	3051.76	0.5	300	none	2.3	good
41	iEEG	surface	3051.76	0.5	300	none	2.3	good
42	iEEG	surface	3051.76	0.5	300	none	2.3	good
43	iEEG	surface	3051.76	0.5	300	none	2.3	good
44	iEEG	surface	3051.76	0.5	300	none	2.3	good
45	iEEG	surface	3051.76	0.5	300	none	2.3	good
46	iEEG	surface	3051.76	0.5	300	none	2.3	good
47	iEEG	surface	3051.76	0.5	300	none	2.3	good
48	iEEG	surface	3051.76	0.5	300	none	2.3	good
49	iEEG	surface	3051.76	0.5	300	none	2.3	good
50	iEEG	surface	3051.76	0.5	300	none	2.3	good
51	iEEG	surface	3051.76	0.5	300	none	2.3	good
