onset	duration	trial_type	stim_file
87.15627	0.5	2	stimuli/stim_51.png
87.6586	0.5	8	stimuli/stim_211.png
88.1606	0.5	6	stimuli/stim_170.png
88.66293	0.5	8	stimuli/stim_211.png
89.16494	0.5	1	stimuli/stim_13.png
89.66727	0.5	8	stimuli/stim_211.png
90.16928	0.5	5	stimuli/stim_133.png
90.67162	0.5	8	stimuli/stim_211.png
91.17394	0.5	7	stimuli/stim_210.png
91.67595	0.5	8	stimuli/stim_211.png
92.17828	0.5	4	stimuli/stim_113.png
92.68029	0.5	8	stimuli/stim_211.png
93.18262	0.5	6	stimuli/stim_166.png
93.68463	0.5	8	stimuli/stim_211.png
94.18696	0.5	5	stimuli/stim_149.png
94.68929	0.5	8	stimuli/stim_211.png
95.1913	0.5	6	stimuli/stim_175.png
95.69363	0.5	8	stimuli/stim_211.png
96.19564	0.5	3	stimuli/stim_63.png
96.69797	0.5	8	stimuli/stim_211.png
97.2003	0.5	6	stimuli/stim_158.png
97.70231	0.5	8	stimuli/stim_211.png
98.20464	0.5	4	stimuli/stim_116.png
98.70665	0.5	8	stimuli/stim_211.png
99.20898	0.5	4	stimuli/stim_106.png
99.71098	0.5	8	stimuli/stim_211.png
100.2133	0.5	1	stimuli/stim_17.png
100.7157	0.5	8	stimuli/stim_211.png
101.2177	0.5	5	stimuli/stim_143.png
101.72	0.5	8	stimuli/stim_211.png
102.222	0.5	4	stimuli/stim_110.png
102.7243	0.5	8	stimuli/stim_211.png
103.2263	0.5	2	stimuli/stim_56.png
103.7287	0.5	8	stimuli/stim_211.png
104.231	0.5	3	stimuli/stim_84.png
104.733	0.5	8	stimuli/stim_211.png
105.2353	0.5	2	stimuli/stim_34.png
105.7373	0.5	8	stimuli/stim_211.png
106.2397	0.5	3	stimuli/stim_62.png
106.7417	0.5	8	stimuli/stim_211.png
107.244	0.5	5	stimuli/stim_127.png
107.7464	0.5	8	stimuli/stim_211.png
108.2484	0.5	6	stimuli/stim_173.png
108.7507	0.5	8	stimuli/stim_211.png
109.2527	0.5	2	stimuli/stim_60.png
109.755	0.5	8	stimuli/stim_211.png
110.2574	0.5	2	stimuli/stim_38.png
110.7594	0.5	8	stimuli/stim_211.png
111.2617	0.5	1	stimuli/stim_14.png
111.7637	0.5	8	stimuli/stim_211.png
112.266	0.5	7	stimuli/stim_193.png
112.768	0.5	8	stimuli/stim_211.png
113.2704	0.5	5	stimuli/stim_139.png
113.7727	0.5	8	stimuli/stim_211.png
114.2747	0.5	7	stimuli/stim_198.png
114.777	0.5	8	stimuli/stim_211.png
115.2791	0.5	7	stimuli/stim_192.png
115.7814	0.5	8	stimuli/stim_211.png
116.2834	0.5	4	stimuli/stim_99.png
116.7857	0.5	8	stimuli/stim_211.png
117.2881	0.5	7	stimuli/stim_187.png
117.7901	0.5	8	stimuli/stim_211.png
118.2924	0.5	1	stimuli/stim_29.png
118.7944	0.5	8	stimuli/stim_211.png
119.2967	0.5	1	stimuli/stim_20.png
119.7991	0.5	8	stimuli/stim_211.png
120.3011	0.5	2	stimuli/stim_57.png
120.8034	0.5	8	stimuli/stim_211.png
121.3054	0.5	4	stimuli/stim_117.png
121.8077	0.5	8	stimuli/stim_211.png
122.3097	0.5	4	stimuli/stim_95.png
122.8121	0.5	8	stimuli/stim_211.png
123.3144	0.5	4	stimuli/stim_111.png
123.8164	0.5	8	stimuli/stim_211.png
124.3188	0.5	6	stimuli/stim_172.png
124.8208	0.5	8	stimuli/stim_211.png
125.3231	0.5	1	stimuli/stim_2.png
125.8251	0.5	8	stimuli/stim_211.png
126.3274	0.5	2	stimuli/stim_42.png
126.8298	0.5	8	stimuli/stim_211.png
127.3318	0.5	4	stimuli/stim_109.png
127.8341	0.5	8	stimuli/stim_211.png
128.3361	0.5	1	stimuli/stim_7.png
128.8384	0.5	8	stimuli/stim_211.png
129.3404	0.5	4	stimuli/stim_100.png
129.8428	0.5	8	stimuli/stim_211.png
130.3451	0.5	4	stimuli/stim_115.png
130.8471	0.5	8	stimuli/stim_211.png
131.3495	0.5	2	stimuli/stim_59.png
131.8515	0.5	8	stimuli/stim_211.png
132.3538	0.5	2	stimuli/stim_48.png
132.8561	0.5	8	stimuli/stim_211.png
133.3581	0.5	2	stimuli/stim_31.png
133.8605	0.5	8	stimuli/stim_211.png
134.3625	0.5	7	stimuli/stim_190.png
134.8648	0.5	8	stimuli/stim_211.png
135.3668	0.5	1	stimuli/stim_6.png
135.8691	0.5	8	stimuli/stim_211.png
136.3715	0.5	1	stimuli/stim_10.png
136.8735	0.5	8	stimuli/stim_211.png
137.3758	0.5	1	stimuli/stim_24.png
137.8778	0.5	8	stimuli/stim_211.png
138.3801	0.5	4	stimuli/stim_103.png
138.8822	0.5	8	stimuli/stim_211.png
139.3845	0.5	3	stimuli/stim_85.png
139.8868	0.5	8	stimuli/stim_211.png
140.3888	0.5	5	stimuli/stim_130.png
140.8912	0.5	8	stimuli/stim_211.png
141.3932	0.5	3	stimuli/stim_70.png
141.8955	0.5	8	stimuli/stim_211.png
142.3978	0.5	3	stimuli/stim_78.png
142.8998	0.5	8	stimuli/stim_211.png
143.4022	0.5	7	stimuli/stim_191.png
143.9042	0.5	8	stimuli/stim_211.png
144.4065	0.5	6	stimuli/stim_160.png
144.9085	0.5	8	stimuli/stim_211.png
145.4108	0.5	6	stimuli/stim_157.png
145.9132	0.5	8	stimuli/stim_211.png
146.4152	0.5	1	stimuli/stim_22.png
146.9175	0.5	8	stimuli/stim_211.png
147.4195	0.5	7	stimuli/stim_196.png
147.9219	0.5	8	stimuli/stim_211.png
148.4239	0.5	6	stimuli/stim_153.png
148.9262	0.5	8	stimuli/stim_211.png
149.4285	0.5	6	stimuli/stim_154.png
149.9305	0.5	8	stimuli/stim_211.png
150.4329	0.5	5	stimuli/stim_126.png
150.9349	0.5	8	stimuli/stim_211.png
151.4372	0.5	3	stimuli/stim_90.png
151.9392	0.5	8	stimuli/stim_211.png
152.4415	0.5	4	stimuli/stim_102.png
152.9439	0.5	8	stimuli/stim_211.png
153.4459	0.5	3	stimuli/stim_86.png
153.9482	0.5	8	stimuli/stim_211.png
154.4502	0.5	3	stimuli/stim_67.png
154.9525	0.5	8	stimuli/stim_211.png
155.4549	0.5	3	stimuli/stim_71.png
155.9569	0.5	8	stimuli/stim_211.png
156.4592	0.5	5	stimuli/stim_147.png
156.9612	0.5	8	stimuli/stim_211.png
157.4636	0.5	4	stimuli/stim_97.png
157.9656	0.5	8	stimuli/stim_211.png
158.4679	0.5	7	stimuli/stim_207.png
158.9702	0.5	8	stimuli/stim_211.png
159.4722	0.5	5	stimuli/stim_142.png
159.9746	0.5	8	stimuli/stim_211.png
160.4766	0.5	5	stimuli/stim_125.png
160.9789	0.5	8	stimuli/stim_211.png
161.4809	0.5	5	stimuli/stim_150.png
161.9832	0.5	8	stimuli/stim_211.png
162.4856	0.5	4	stimuli/stim_107.png
162.9876	0.5	8	stimuli/stim_211.png
163.4899	0.5	2	stimuli/stim_44.png
163.9919	0.5	8	stimuli/stim_211.png
164.4943	0.5	6	stimuli/stim_168.png
164.9963	0.5	8	stimuli/stim_211.png
165.4986	0.5	2	stimuli/stim_45.png
166.0009	0.5	8	stimuli/stim_211.png
166.5029	0.5	1	stimuli/stim_15.png
167.0053	0.5	8	stimuli/stim_211.png
167.5073	0.5	7	stimuli/stim_184.png
168.0096	0.5	8	stimuli/stim_211.png
168.5119	0.5	7	stimuli/stim_202.png
169.0139	0.5	8	stimuli/stim_211.png
169.5163	0.5	5	stimuli/stim_138.png
170.0183	0.5	8	stimuli/stim_211.png
170.5206	0.5	3	stimuli/stim_76.png
171.0226	0.5	8	stimuli/stim_211.png
171.525	0.5	5	stimuli/stim_140.png
172.0273	0.5	8	stimuli/stim_211.png
172.5293	0.5	6	stimuli/stim_180.png
173.0316	0.5	8	stimuli/stim_211.png
173.5336	0.5	1	stimuli/stim_25.png
174.036	0.5	8	stimuli/stim_211.png
174.538	0.5	5	stimuli/stim_132.png
175.0403	0.5	8	stimuli/stim_211.png
175.5426	0.5	2	stimuli/stim_52.png
176.0446	0.5	8	stimuli/stim_211.png
176.547	0.5	6	stimuli/stim_164.png
177.049	0.5	8	stimuli/stim_211.png
177.5513	0.5	7	stimuli/stim_199.png
178.0536	0.5	8	stimuli/stim_211.png
178.5556	0.5	5	stimuli/stim_141.png
179.058	0.5	8	stimuli/stim_211.png
179.56	0.5	7	stimuli/stim_203.png
180.0623	0.5	8	stimuli/stim_211.png
180.5643	0.5	4	stimuli/stim_91.png
181.0667	0.5	8	stimuli/stim_211.png
181.569	0.5	4	stimuli/stim_120.png
182.071	0.5	8	stimuli/stim_211.png
182.5733	0.5	7	stimuli/stim_186.png
183.0753	0.5	8	stimuli/stim_211.png
183.5777	0.5	3	stimuli/stim_61.png
184.0797	0.5	8	stimuli/stim_211.png
184.582	0.5	7	stimuli/stim_205.png
185.0844	0.5	8	stimuli/stim_211.png
185.5863	0.5	2	stimuli/stim_33.png
186.0887	0.5	8	stimuli/stim_211.png
186.5907	0.5	1	stimuli/stim_1.png
187.093	0.5	8	stimuli/stim_211.png
187.595	0.5	3	stimuli/stim_88.png
188.0974	0.5	8	stimuli/stim_211.png
188.5997	0.5	1	stimuli/stim_9.png
189.1017	0.5	8	stimuli/stim_211.png
189.604	0.5	1	stimuli/stim_26.png
190.106	0.5	8	stimuli/stim_211.png
190.6084	0.5	5	stimuli/stim_148.png
191.1107	0.5	8	stimuli/stim_211.png
191.6127	0.5	2	stimuli/stim_46.png
192.115	0.5	8	stimuli/stim_211.png
192.6171	0.5	3	stimuli/stim_87.png
193.1194	0.5	8	stimuli/stim_211.png
193.6214	0.5	7	stimuli/stim_201.png
194.1237	0.5	8	stimuli/stim_211.png
194.6261	0.5	6	stimuli/stim_176.png
195.1281	0.5	8	stimuli/stim_211.png
195.6304	0.5	1	stimuli/stim_16.png
196.1324	0.5	8	stimuli/stim_211.png
196.6347	0.5	6	stimuli/stim_162.png
197.1367	0.5	8	stimuli/stim_211.png
197.6391	0.5	7	stimuli/stim_194.png
198.1414	0.5	8	stimuli/stim_211.png
198.6434	0.5	2	stimuli/stim_49.png
199.1457	0.5	8	stimuli/stim_211.png
199.6478	0.5	3	stimuli/stim_69.png
200.1501	0.5	8	stimuli/stim_211.png
200.6524	0.5	4	stimuli/stim_92.png
201.1544	0.5	8	stimuli/stim_211.png
201.6568	0.5	4	stimuli/stim_101.png
202.1588	0.5	8	stimuli/stim_211.png
202.6611	0.5	1	stimuli/stim_19.png
203.1631	0.5	8	stimuli/stim_211.png
203.6654	0.5	7	stimuli/stim_206.png
204.1678	0.5	8	stimuli/stim_211.png
204.6698	0.5	3	stimuli/stim_74.png
205.1721	0.5	8	stimuli/stim_211.png
205.6741	0.5	5	stimuli/stim_124.png
206.1764	0.5	8	stimuli/stim_211.png
206.6784	0.5	6	stimuli/stim_178.png
207.1808	0.5	8	stimuli/stim_211.png
207.6831	0.5	2	stimuli/stim_40.png
208.1851	0.5	8	stimuli/stim_211.png
208.6874	0.5	4	stimuli/stim_94.png
209.1895	0.5	8	stimuli/stim_211.png
209.6918	0.5	3	stimuli/stim_89.png
210.1938	0.5	8	stimuli/stim_211.png
210.6961	0.5	5	stimuli/stim_122.png
211.1985	0.5	8	stimuli/stim_211.png
211.7005	0.5	2	stimuli/stim_35.png
212.2028	0.5	8	stimuli/stim_211.png
212.7048	0.5	6	stimuli/stim_179.png
213.2071	0.5	8	stimuli/stim_211.png
213.7095	0.5	4	stimuli/stim_98.png
214.2115	0.5	8	stimuli/stim_211.png
214.7138	0.5	7	stimuli/stim_200.png
215.2158	0.5	8	stimuli/stim_211.png
215.7181	0.5	3	stimuli/stim_68.png
216.2202	0.5	8	stimuli/stim_211.png
216.7225	0.5	1	stimuli/stim_18.png
217.2248	0.5	8	stimuli/stim_211.png
217.7268	0.5	4	stimuli/stim_105.png
218.2292	0.5	8	stimuli/stim_211.png
218.7312	0.5	1	stimuli/stim_4.png
219.2335	0.5	8	stimuli/stim_211.png
219.7355	0.5	3	stimuli/stim_73.png
220.2378	0.5	8	stimuli/stim_211.png
220.7402	0.5	4	stimuli/stim_96.png
221.2422	0.5	8	stimuli/stim_211.png
221.7445	0.5	6	stimuli/stim_167.png
222.2465	0.5	8	stimuli/stim_211.png
222.7488	0.5	2	stimuli/stim_54.png
223.2512	0.5	8	stimuli/stim_211.png
223.7532	0.5	6	stimuli/stim_156.png
224.2555	0.5	8	stimuli/stim_211.png
224.7575	0.5	4	stimuli/stim_118.png
225.2599	0.5	8	stimuli/stim_211.png
225.7619	0.5	1	stimuli/stim_11.png
226.2642	0.5	8	stimuli/stim_211.png
226.7665	0.5	5	stimuli/stim_134.png
227.2685	0.5	8	stimuli/stim_211.png
227.7709	0.5	7	stimuli/stim_183.png
228.2729	0.5	8	stimuli/stim_211.png
