onset	duration	trial_type	stim_file	stim_file_index
68.07285	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	128
68.57518	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
69.07719	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	66
69.57952	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
70.08153	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	79
70.58386	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
71.08587	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	209
71.5882	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
72.09053	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	39
72.59254	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
73.09487	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	12
73.59688	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
74.09921	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	152
74.60154	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
75.10355	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	75
75.60588	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
76.10789	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	28
76.61022	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
77.11222	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	83
77.61456	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
78.11689	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	3
78.6189	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
79.12123	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	72
79.62324	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
80.12556	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	108
