name	type	units	sampling_frequency	tracked_point	component
rSho_POS_x	POS	m	199.874529485571	rSho	x
rSho_POS_y	POS	m	199.874529485571	rSho	y
rSho_POS_z	POS	m	199.874529485571	rSho	z
rUa_POS_x	POS	m	199.874529485571	rUa	x
rUa_POS_y	POS	m	199.874529485571	rUa	y
rUa_POS_z	POS	m	199.874529485571	rUa	z
rElbl_POS_x	POS	m	199.874529485571	rElbl	x
rElbl_POS_y	POS	m	199.874529485571	rElbl	y
rElbl_POS_z	POS	m	199.874529485571	rElbl	z
rFrm_POS_x	POS	m	199.874529485571	rFrm	x
rFrm_POS_y	POS	m	199.874529485571	rFrm	y
rFrm_POS_z	POS	m	199.874529485571	rFrm	z
rWrr_POS_x	POS	m	199.874529485571	rWrr	x
rWrr_POS_y	POS	m	199.874529485571	rWrr	y
rWrr_POS_z	POS	m	199.874529485571	rWrr	z
rWru_POS_x	POS	m	199.874529485571	rWru	x
rWru_POS_y	POS	m	199.874529485571	rWru	y
rWru_POS_z	POS	m	199.874529485571	rWru	z
rHand_POS_x	POS	m	199.874529485571	rHand	x
rHand_POS_y	POS	m	199.874529485571	rHand	y
rHand_POS_z	POS	m	199.874529485571	rHand	z
lfHd_POS_x	POS	m	199.874529485571	lfHd	x
lfHd_POS_y	POS	m	199.874529485571	lfHd	y
lfHd_POS_z	POS	m	199.874529485571	lfHd	z
rfHd_POS_x	POS	m	199.874529485571	rfHd	x
rfHd_POS_y	POS	m	199.874529485571	rfHd	y
rfHd_POS_z	POS	m	199.874529485571	rfHd	z
lbHd_POS_x	POS	m	199.874529485571	lbHd	x
lbHd_POS_y	POS	m	199.874529485571	lbHd	y
lbHd_POS_z	POS	m	199.874529485571	lbHd	z
rbHd_POS_x	POS	m	199.874529485571	rbHd	x
rbHd_POS_y	POS	m	199.874529485571	rbHd	y
rbHd_POS_z	POS	m	199.874529485571	rbHd	z
obst1_POS_x	POS	m	199.874529485571	obst1	x
obst1_POS_y	POS	m	199.874529485571	obst1	y
obst1_POS_z	POS	m	199.874529485571	obst1	z
obst2_POS_x	POS	m	199.874529485571	obst2	x
obst2_POS_y	POS	m	199.874529485571	obst2	y
obst2_POS_z	POS	m	199.874529485571	obst2	z
start1_POS_x	POS	m	199.874529485571	start1	x
start1_POS_y	POS	m	199.874529485571	start1	y
start1_POS_z	POS	m	199.874529485571	start1	z
start2_POS_x	POS	m	199.874529485571	start2	x
start2_POS_y	POS	m	199.874529485571	start2	y
start2_POS_z	POS	m	199.874529485571	start2	z
end1_POS_x	POS	m	199.874529485571	end1	x
end1_POS_y	POS	m	199.874529485571	end1	y
end1_POS_z	POS	m	199.874529485571	end1	z
end2_POS_x	POS	m	199.874529485571	end2	x
end2_POS_y	POS	m	199.874529485571	end2	y
end2_POS_z	POS	m	199.874529485571	end2	z
