onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	.848	.510	FAMOUS	5	4	.860	func/f086.bmp
3.057	.983	.436	FAMOUS	6	7	.634	func/f086.bmp
6.414	.940	.497	UNFAMILIAR	13	4	.730	func/u086.bmp
9.705	.964	.576	UNFAMILIAR	14	7	.842	func/u086.bmp
12.895	.835	.465	UNFAMILIAR	13	7	.825	func/u092.bmp
16.085	.939	.589	UNFAMILIAR	14	7	.931	func/u092.bmp
19.326	.894	.515	UNFAMILIAR	13	4	.967	func/u087.bmp
22.399	.870	.409	UNFAMILIAR	14	7	.903	func/u087.bmp
25.59	.813	.544	FAMOUS	5	7	.968	func/f090.bmp
28.697	.824	.522	FAMOUS	6	7	.502	func/f090.bmp
31.269	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
51.814	.854	.486	SCRAMBLED	17	7	.722	func/s097.bmp
55.038	.830	.596	SCRAMBLED	18	7	.541	func/s097.bmp
58.229	.818	.588	FAMOUS	5	7	.652	func/f089.bmp
61.335	.925	.524	UNFAMILIAR	13	4	.763	func/u096.bmp
64.442	.907	.403	SCRAMBLED	17	7	.781	func/s085.bmp
67.666	.804	.544	FAMOUS	5	4	.700	func/f087.bmp
70.84	.912	.587	FAMOUS	6	4	.638	func/f087.bmp
73.997	.877	.476	UNFAMILIAR	13	4	.672	func/u082.bmp
77.137	.813	.487	UNFAMILIAR	13	4	.702	func/u091.bmp
80.211	.933	.496	UNFAMILIAR	14	4	.655	func/u091.bmp
83.351	.807	.446	FAMOUS	7	7	.710	func/f089.bmp
86.408	.888	.484	UNFAMILIAR	13	4	.864	func/u095.bmp
89.531	.911	.452	UNFAMILIAR	15	4	.801	func/u096.bmp
92.722	.838	.489	FAMOUS	5	7	.742	func/f093.bmp
95.912	.884	.569	SCRAMBLED	19	7	.661	func/s085.bmp
98.985	.832	.419	UNFAMILIAR	13	4	.706	func/u090.bmp
102.009	.966	.418	FAMOUS	5	7	.661	func/f091.bmp
105.266	.964	.524	UNFAMILIAR	15	4	.720	func/u082.bmp
108.557	.808	.539	SCRAMBLED	17	7	.782	func/s096.bmp
111.112	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
131.591	.819	.447	FAMOUS	5	7	.887	func/f088.bmp
134.749	.974	.585	FAMOUS	6	7	.614	func/f088.bmp
137.972	.810	.478	UNFAMILIAR	15	4	.714	func/u095.bmp
141.145	.801	.600	UNFAMILIAR	13	4	.637	func/u089.bmp
144.152	.915	.446	FAMOUS	7	7	.547	func/f093.bmp
147.292	.885	.455	FAMOUS	5	7	.612	func/f097.bmp
150.516	.902	.581	UNFAMILIAR	15	4	.626	func/u090.bmp
153.674	.830	.475	SCRAMBLED	17	7	.689	func/s090.bmp
156.813	.939	.539	FAMOUS	7	4	.644	func/f091.bmp
160.104	.972	.580	UNFAMILIAR	13	7	.523	func/u097.bmp
163.428	.801	.582	SCRAMBLED	19	4	.835	func/s096.bmp
166.401	.942	.409	FAMOUS	5	4	.782	func/f095.bmp
169.625	.856	.508	UNFAMILIAR	13	7	.724	func/u085.bmp
172.782	.918	.521	UNFAMILIAR	14	4	.670	func/u085.bmp
175.989	.885	.521	UNFAMILIAR	15	4	.708	func/u089.bmp
179.129	.889	.479	SCRAMBLED	17	7	.667	func/s084.bmp
182.27	.868	.470	FAMOUS	7	7	.839	func/f097.bmp
185.343	.972	.435	SCRAMBLED	17	4	.707	func/s086.bmp
188.684	.967	.598	SCRAMBLED	19	7	.571	func/s090.bmp
191.39	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
211.852	.929	.422	SCRAMBLED	17	7	.732	func/s095.bmp
215.025	.831	.481	SCRAMBLED	18	7	.625	func/s095.bmp
218.149	.824	.522	UNFAMILIAR	15	7	.667	func/u097.bmp
221.222	.899	.479	SCRAMBLED	17	7	.526	func/s092.bmp
224.296	.839	.405	SCRAMBLED	18	7	.567	func/s092.bmp
227.47	.809	.563	FAMOUS	7	4	.813	func/f095.bmp
230.693	.977	.598	UNFAMILIAR	13	7	.654	func/u083.bmp
233.85	.898	.406	UNFAMILIAR	14	7	.612	func/u083.bmp
237.108	.961	.598	FAMOUS	5	4	.711	func/f084.bmp
240.281	.881	.449	FAMOUS	6	7	.606	func/f084.bmp
243.488	.832	.565	SCRAMBLED	19	7	.652	func/s084.bmp
246.595	.948	.504	SCRAMBLED	17	7	.590	func/s088.bmp
249.77	.889	.468	SCRAMBLED	18	7	.607	func/s088.bmp
252.993	.838	.556	SCRAMBLED	19	7	.559	func/s086.bmp
256.034	.950	.433	SCRAMBLED	17	7	.618	func/s089.bmp
259.156	.972	.404	SCRAMBLED	18	7	.612	func/s089.bmp
262.313	.808	.406	FAMOUS	5	4	.738	func/f085.bmp
265.42	.928	.524	FAMOUS	6	4	.523	func/f085.bmp
268.694	.852	.574	FAMOUS	5	7	.630	func/f082.bmp
271.283	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
291.862	.901	.538	FAMOUS	5	7	.742	func/f092.bmp
295.052	.935	.531	SCRAMBLED	17	7	.686	func/s091.bmp
298.343	.876	.588	SCRAMBLED	18	7	.619	func/s091.bmp
301.433	.866	.439	SCRAMBLED	17	4	.902	func/s087.bmp
304.574	.876	.503	UNFAMILIAR	13	7	.800	func/u094.bmp
307.697	.946	.479	UNFAMILIAR	14	7	.671	func/u094.bmp
310.854	.965	.436	SCRAMBLED	17	4	.981	func/s093.bmp
314.044	1.000	.454	FAMOUS	7	7	.820	func/f082.bmp
317.252	.971	.437	UNFAMILIAR	13	7	.823	func/u088.bmp
320.409	.922	.411	FAMOUS	7	7	.798	func/f092.bmp
323.566	.825	.461	SCRAMBLED	17	7	.851	func/s082.bmp
326.739	.824	.568	FAMOUS	5	4	.780	func/f094.bmp
329.763	.956	.431	FAMOUS	6	4	.672	func/f094.bmp
332.936	.888	.438	SCRAMBLED	19	7	.788	func/s087.bmp
336.026	.910	.430	SCRAMBLED	17	4	.865	func/s083.bmp
339.3	.855	.591	SCRAMBLED	18	7	.670	func/s083.bmp
342.39	.941	.454	UNFAMILIAR	13	4	.732	func/u084.bmp
345.547	.858	.436	UNFAMILIAR	14	4	.641	func/u084.bmp
348.721	.826	.536	SCRAMBLED	19	7	.735	func/s093.bmp
351.294	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
371.822	.910	.489	UNFAMILIAR	13	4	.765	func/u093.bmp
374.929	.804	.418	UNFAMILIAR	14	4	.626	func/u093.bmp
377.936	.889	.432	UNFAMILIAR	15	7	.752	func/u088.bmp
381.026	.924	.429	FAMOUS	5	7	.795	func/f083.bmp
384.166	.998	.440	FAMOUS	6	7	.639	func/f083.bmp
387.524	.900	.599	SCRAMBLED	19	7	.627	func/s082.bmp
390.764	.848	.563	SCRAMBLED	17	4	.786	func/s094.bmp
393.921	.857	.549	FAMOUS	5	7	.638	func/f096.bmp
396.56	.012	0	n/a	999	0	0	func/Circle.bmp
