name	type	description	sampling_frequency	high_cutoff	low_cutoff	notch	software_filters	status
MEG0113	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0112	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0111	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0122	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0123	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0121	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0132	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0133	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0131	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0143	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0142	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0141	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0213	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0212	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0211	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0222	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0223	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0221	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0232	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0233	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0231	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0243	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0242	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0241	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0313	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0312	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0311	MEGMAG	magnetometer	1100	350	0	0	SSS	good
MEG0322	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0323	MEGGRAD	magnetometer gradiometer	1100	350	0	0	SSS	good
MEG0321	MEGMAG	magnetometer	1100	350	0	0	SSS	good
