onset	duration	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
25.01436364	n/a	show_face_initial	famous_face	first_show	1	n/a	5	f108.bmp
25.85981818	n/a	right_press	n/a	n/a	1	n/a	4096	n/a
25.95163636	n/a	show_circle	n/a	n/a	1	n/a	0	circle.bmp
27.65163636	n/a	show_cross	n/a	n/a	2	n/a	1	cross.bmp
28.25527273	n/a	show_face	scrambled_face	first_show	2	n/a	17	s141.bmp
28.91709091	n/a	left_press	n/a	n/a	2	n/a	256	n/a
29.27254545	n/a	show_circle	n/a	n/a	2	n/a	0	circle.bmp
30.97254545	n/a	show_cross	n/a	n/a	3	n/a	1	cross.bmp
31.44527273	n/a	show_face	scrambled_face	immediate_repeat	3	1	18	s141.bmp
32.12345455	n/a	left_press	n/a	n/a	3	n/a	256	n/a
32.38163636	n/a	show_circle	n/a	n/a	3	n/a	0	circle.bmp
34.081636363600005	n/a	show_cross	n/a	n/a	4	n/a	1	cross.bmp
34.569818181799995	n/a	show_face	unfamiliar_face	first_show	4	n/a	13	u132.bmp
35.39436364	n/a	right_press	n/a	n/a	4	n/a	4096	n/a
35.41890909	n/a	show_circle	n/a	n/a	4	n/a	0	circle.bmp
37.11890909	n/a	show_cross	n/a	n/a	5	n/a	1	cross.bmp
37.74345455	n/a	show_face	unfamiliar_face	immediate_repeat	5	1	14	u132.bmp
38.19709091	n/a	right_press	n/a	n/a	5	n/a	4096	n/a
38.57254545	n/a	show_circle	n/a	n/a	5	n/a	0	circle.bmp
40.27254545	n/a	show_cross	n/a	n/a	6	n/a	1	cross.bmp
40.78345455	n/a	show_face	scrambled_face	first_show	6	n/a	17	s033.bmp
41.61890909	n/a	right_press	n/a	n/a	6	n/a	4096	n/a
41.758909090900005	n/a	show_circle	n/a	n/a	6	n/a	0	circle.bmp
43.45890909	n/a	show_cross	n/a	n/a	7	n/a	1	cross.bmp
44.07436364	n/a	show_face	scrambled_face	immediate_repeat	7	1	18	s033.bmp
44.56709091	n/a	right_press	n/a	n/a	7	n/a	4096	n/a
45.01618182	n/a	show_circle	n/a	n/a	7	n/a	0	circle.bmp
46.71618182	n/a	show_cross	n/a	n/a	8	n/a	1	cross.bmp
47.24890909	n/a	show_face	scrambled_face	first_show	8	n/a	17	s062.bmp
47.82345455	n/a	left_press	n/a	n/a	8	n/a	256	n/a
48.24709091	n/a	show_circle	n/a	n/a	8	n/a	0	circle.bmp
49.94709091	n/a	show_cross	n/a	n/a	9	n/a	1	cross.bmp
50.438909090900005	n/a	show_face	famous_face	first_show	9	n/a	5	f102.bmp
51.13254545	n/a	right_press	n/a	n/a	9	n/a	4096	n/a
51.27981818	n/a	show_circle	n/a	n/a	9	n/a	0	circle.bmp
52.979818181800006	n/a	show_cross	n/a	n/a	10	n/a	1	cross.bmp
53.52981818	n/a	show_face	famous_face	immediate_repeat	10	1	6	f102.bmp
54.02345455	n/a	right_press	n/a	n/a	10	n/a	4096	n/a
54.39981818	n/a	show_circle	n/a	n/a	10	n/a	0	circle.bmp
56.09981818	n/a	show_cross	n/a	n/a	11	n/a	1	cross.bmp
56.60345455	n/a	show_face	famous_face	delayed_repeat	11	10	7	f108.bmp
57.24345455	n/a	right_press	n/a	n/a	11	n/a	4096	n/a
57.444363636400006	n/a	show_circle	n/a	n/a	11	n/a	0	circle.bmp
59.14436364	n/a	show_cross	n/a	n/a	12	n/a	1	cross.bmp
59.77890909	n/a	show_face	unfamiliar_face	first_show	12	n/a	13	u106.bmp
60.40345455	n/a	right_press	n/a	n/a	12	n/a	4096	n/a
60.76072727	n/a	show_circle	n/a	n/a	12	n/a	0	circle.bmp
62.460727272700005	n/a	show_cross	n/a	n/a	13	n/a	1	cross.bmp
63.11890909	n/a	show_face	scrambled_face	first_show	13	n/a	17	s017.bmp
63.96981818	n/a	left_press	n/a	n/a	13	n/a	256	n/a
64.07254545	n/a	show_circle	n/a	n/a	13	n/a	0	circle.bmp
65.77254545	n/a	show_cross	n/a	n/a	14	n/a	1	cross.bmp
66.35890909	n/a	show_face	unfamiliar_face	first_show	14	n/a	13	u024.bmp
67.218	n/a	left_press	n/a	n/a	14	n/a	256	n/a
67.22618181819999	n/a	show_circle	n/a	n/a	14	n/a	0	circle.bmp
68.92618181819999	n/a	show_cross	n/a	n/a	15	n/a	1	cross.bmp
69.56709091	n/a	show_face	famous_face	first_show	15	n/a	5	f051.bmp
70.17254545	n/a	right_press	n/a	n/a	15	n/a	4096	n/a
70.56163636	n/a	show_circle	n/a	n/a	15	n/a	0	circle.bmp
72.26163636359999	n/a	show_cross	n/a	n/a	16	n/a	1	cross.bmp
72.908	n/a	show_face	scrambled_face	delayed_repeat	16	8	19	s062.bmp
73.72254545	n/a	left_press	n/a	n/a	16	n/a	256	n/a
73.82163636359999	n/a	show_circle	n/a	n/a	16	n/a	0	circle.bmp
75.52163636	n/a	show_cross	n/a	n/a	17	n/a	1	cross.bmp
76.06527273	n/a	show_face	scrambled_face	first_show	17	n/a	17	s025.bmp
76.85163636	n/a	left_press	n/a	n/a	17	n/a	256	n/a
77.038	n/a	show_circle	n/a	n/a	17	n/a	0	circle.bmp
78.738	n/a	show_cross	n/a	n/a	18	n/a	1	cross.bmp
79.25618181819999	n/a	show_face	unfamiliar_face	first_show	18	n/a	13	u097.bmp
79.87527273	n/a	right_press	n/a	n/a	18	n/a	4096	n/a
80.168	n/a	show_circle	n/a	n/a	18	n/a	0	circle.bmp
81.868	n/a	show_cross	n/a	n/a	19	n/a	1	cross.bmp
82.51345455	n/a	show_face	unfamiliar_face	delayed_repeat	19	7	15	u106.bmp
83.24345455	n/a	right_press	n/a	n/a	19	n/a	4096	n/a
83.48527273	n/a	show_circle	n/a	n/a	19	n/a	0	circle.bmp
85.18527272729999	n/a	show_cross	n/a	n/a	20	n/a	1	cross.bmp
85.78709091	n/a	show_face	famous_face	first_show	20	n/a	5	f147.bmp
86.51163636	n/a	right_press	n/a	n/a	20	n/a	4096	n/a
86.74527272729999	n/a	show_circle	n/a	n/a	20	n/a	0	circle.bmp
88.44527273	n/a	show_cross	n/a	n/a	21	n/a	1	cross.bmp
89.04527273	n/a	show_face	scrambled_face	delayed_repeat	21	8	19	s017.bmp
89.62436363639999	n/a	left_press	n/a	n/a	21	n/a	256	n/a
89.96436364	n/a	show_circle	n/a	n/a	21	n/a	0	circle.bmp
91.66436364	n/a	show_cross	n/a	n/a	22	n/a	1	cross.bmp
92.18527273	n/a	show_face	scrambled_face	first_show	22	n/a	17	s080.bmp
92.96254545	n/a	left_press	n/a	n/a	22	n/a	256	n/a
93.11709091	n/a	show_circle	n/a	n/a	22	n/a	0	circle.bmp
94.81709091	n/a	show_cross	n/a	n/a	23	n/a	1	cross.bmp
95.32618182	n/a	show_face	scrambled_face	immediate_repeat	23	1	18	s080.bmp
95.94890909	n/a	left_press	n/a	n/a	23	n/a	256	n/a
96.20618182	n/a	show_circle	n/a	n/a	23	n/a	0	circle.bmp
97.90618182	n/a	show_cross	n/a	n/a	24	n/a	1	cross.bmp
98.41618182	n/a	show_face	unfamiliar_face	delayed_repeat	24	10	15	u024.bmp
99.19527273	n/a	left_press	n/a	n/a	24	n/a	256	n/a
99.27436364	n/a	show_circle	n/a	n/a	24	n/a	0	circle.bmp
100.9743636	n/a	show_cross	n/a	n/a	25	n/a	1	cross.bmp
101.5570909	n/a	show_face	unfamiliar_face	first_show	25	n/a	13	u098.bmp
102.1661818	n/a	right_press	n/a	n/a	25	n/a	4096	n/a
102.5016364	n/a	show_circle	n/a	n/a	25	n/a	0	circle.bmp
104.2016364	n/a	show_cross	n/a	n/a	26	n/a	1	cross.bmp
104.8316364	n/a	show_face	unfamiliar_face	immediate_repeat	26	1	14	u098.bmp
105.398	n/a	right_press	n/a	n/a	26	n/a	4096	n/a
105.808	n/a	show_circle	n/a	n/a	26	n/a	0	circle.bmp
107.508	n/a	show_cross	n/a	n/a	27	n/a	1	cross.bmp
107.9889091	n/a	show_face	famous_face	delayed_repeat	27	12	7	f051.bmp
108.6689091	n/a	right_press	n/a	n/a	27	n/a	4096	n/a
108.9852727	n/a	show_circle	n/a	n/a	27	n/a	0	circle.bmp
110.6852727	n/a	show_cross	n/a	n/a	28	n/a	1	cross.bmp
111.3298182	n/a	show_face	unfamiliar_face	first_show	28	n/a	13	u100.bmp
111.9307273	n/a	left_press	n/a	n/a	28	n/a	256	n/a
112.2098182	n/a	show_circle	n/a	n/a	28	n/a	0	circle.bmp
113.9098182	n/a	show_cross	n/a	n/a	29	n/a	1	cross.bmp
114.4870909	n/a	show_face	scrambled_face	delayed_repeat	29	12	19	s025.bmp
115.1225455	n/a	left_press	n/a	n/a	29	n/a	256	n/a
115.3643636	n/a	show_circle	n/a	n/a	29	n/a	0	circle.bmp
117.0643636	n/a	show_cross	n/a	n/a	30	n/a	1	cross.bmp
117.6107273	n/a	show_face	famous_face	first_show	30	n/a	5	f099.bmp
118.3225455	n/a	right_press	n/a	n/a	30	n/a	4096	n/a
118.4961818	n/a	show_circle	n/a	n/a	30	n/a	0	circle.bmp
120.1961818	n/a	show_cross	n/a	n/a	31	n/a	1	cross.bmp
120.7016364	n/a	show_face	famous_face	immediate_repeat	31	1	6	f099.bmp
121.2916364	n/a	right_press	n/a	n/a	31	n/a	4096	n/a
121.5316364	n/a	show_circle	n/a	n/a	31	n/a	0	circle.bmp
123.2316364	n/a	show_cross	n/a	n/a	32	n/a	1	cross.bmp
123.708	n/a	show_face	unfamiliar_face	delayed_repeat	32	14	15	u097.bmp
124.3725455	n/a	right_press	n/a	n/a	32	n/a	4096	n/a
124.708	n/a	show_circle	n/a	n/a	32	n/a	0	circle.bmp
126.408	n/a	show_cross	n/a	n/a	33	n/a	1	cross.bmp
127.0161818	n/a	show_face	scrambled_face	first_show	33	n/a	17	s071.bmp
127.7516364	n/a	right_press	n/a	n/a	33	n/a	4096	n/a
127.8416364	n/a	show_circle	n/a	n/a	33	n/a	0	circle.bmp
129.54163636360002	n/a	show_cross	n/a	n/a	34	n/a	1	cross.bmp
130.1734545	n/a	show_face	scrambled_face	immediate_repeat	34	1	18	s071.bmp
131.0525455	n/a	right_press	n/a	n/a	34	n/a	4096	n/a
131.1007273	n/a	show_circle	n/a	n/a	34	n/a	0	circle.bmp
132.80072727270002	n/a	show_cross	n/a	n/a	35	n/a	1	cross.bmp
133.4307273	n/a	show_face	famous_face	delayed_repeat	35	15	7	f147.bmp
134.0570909	n/a	right_press	n/a	n/a	35	n/a	4096	n/a
134.3970909	n/a	show_circle	n/a	n/a	35	n/a	0	circle.bmp
136.0970909	n/a	show_cross	n/a	n/a	36	n/a	1	cross.bmp
136.7216364	n/a	show_face	unfamiliar_face	first_show	36	n/a	13	u091.bmp
137.4443636	n/a	right_press	n/a	n/a	36	n/a	4096	n/a
137.6298182	n/a	show_circle	n/a	n/a	36	n/a	0	circle.bmp
139.3298182	n/a	show_cross	n/a	n/a	37	n/a	1	cross.bmp
139.8452727	n/a	show_face	unfamiliar_face	immediate_repeat	37	1	14	u091.bmp
140.3534545	n/a	right_press	n/a	n/a	37	n/a	4096	n/a
140.7798182	n/a	show_circle	n/a	n/a	37	n/a	0	circle.bmp
142.4798182	n/a	show_cross	n/a	n/a	38	n/a	1	cross.bmp
143.0861818	n/a	show_face	scrambled_face	first_show	38	n/a	17	s106.bmp
143.7398182	n/a	left_press	n/a	n/a	38	n/a	256	n/a
144.0098182	n/a	show_circle	n/a	n/a	38	n/a	0	circle.bmp
145.70981818180002	n/a	show_cross	n/a	n/a	39	n/a	1	cross.bmp
146.3107273	n/a	show_face	scrambled_face	immediate_repeat	39	1	18	s106.bmp
146.8798182	n/a	left_press	n/a	n/a	39	n/a	256	n/a
147.2116364	n/a	show_circle	n/a	n/a	39	n/a	0	circle.bmp
148.9116364	n/a	show_cross	n/a	n/a	40	n/a	1	cross.bmp
149.4170909	n/a	show_face	famous_face	first_show	40	n/a	5	f034.bmp
150.0307273	n/a	right_press	n/a	n/a	40	n/a	4096	n/a
150.338	n/a	show_circle	n/a	n/a	40	n/a	0	circle.bmp
152.038	n/a	show_cross	n/a	n/a	41	n/a	1	cross.bmp
152.6416364	n/a	show_face	unfamiliar_face	delayed_repeat	41	13	15	u100.bmp
153.3152727	n/a	left_press	n/a	n/a	41	n/a	256	n/a
153.6043636	n/a	show_circle	n/a	n/a	41	n/a	0	circle.bmp
155.30436363639998	n/a	show_cross	n/a	n/a	42	n/a	1	cross.bmp
155.8152727	n/a	show_face	scrambled_face	first_show	42	n/a	17	s006.bmp
156.6525455	n/a	show_circle	n/a	n/a	42	n/a	0	circle.bmp
156.8070909	n/a	right_press	n/a	n/a	42	n/a	4096	n/a
158.35254545450002	n/a	show_cross	n/a	n/a	43	n/a	1	cross.bmp
158.9561818	n/a	show_face	scrambled_face	immediate_repeat	43	1	18	s006.bmp
159.7261818	n/a	right_press	n/a	n/a	43	n/a	4096	n/a
159.7970909	n/a	show_circle	n/a	n/a	43	n/a	0	circle.bmp
161.4970909	n/a	show_cross	n/a	n/a	44	n/a	1	cross.bmp
162.1298182	n/a	show_face	unfamiliar_face	first_show	44	n/a	13	u083.bmp
162.7570909	n/a	right_press	n/a	n/a	44	n/a	4096	n/a
163.1070909	n/a	show_circle	n/a	n/a	44	n/a	0	circle.bmp
164.8070909	n/a	show_cross	n/a	n/a	45	n/a	1	cross.bmp
165.338	n/a	show_face	scrambled_face	first_show	45	n/a	17	s015.bmp
165.9843636	n/a	left_press	n/a	n/a	45	n/a	256	n/a
166.3016364	n/a	show_circle	n/a	n/a	45	n/a	0	circle.bmp
168.0016364	n/a	show_cross	n/a	n/a	46	n/a	1	cross.bmp
168.6289091	n/a	show_face	scrambled_face	first_show	46	n/a	17	s142.bmp
169.3461818	n/a	right_press	n/a	n/a	46	n/a	4096	n/a
169.5016364	n/a	show_circle	n/a	n/a	46	n/a	0	circle.bmp
171.20163636360002	n/a	show_cross	n/a	n/a	47	n/a	1	cross.bmp
171.85254545450002	n/a	show_face	scrambled_face	immediate_repeat	47	1	18	s142.bmp
172.3698182	n/a	right_press	n/a	n/a	47	n/a	4096	n/a
172.8543636	n/a	show_circle	n/a	n/a	47	n/a	0	circle.bmp
174.55436363639998	n/a	show_cross	n/a	n/a	48	n/a	1	cross.bmp
175.1270909	n/a	show_face	famous_face	first_show	48	n/a	5	f075.bmp
175.7525455	n/a	right_press	n/a	n/a	48	n/a	4096	n/a
176.0925455	n/a	show_circle	n/a	n/a	48	n/a	0	circle.bmp
177.79254545450002	n/a	show_cross	n/a	n/a	49	n/a	1	cross.bmp
178.2670909	n/a	show_face	famous_face	delayed_repeat	49	9	7	f034.bmp
179.0834545	n/a	right_press	n/a	n/a	49	n/a	4096	n/a
179.1725455	n/a	show_circle	n/a	n/a	49	n/a	0	circle.bmp
180.8725455	n/a	show_cross	n/a	n/a	50	n/a	1	cross.bmp
181.4916364	n/a	show_face	unfamiliar_face	first_show	50	n/a	13	u103.bmp
182.2689091	n/a	right_press	n/a	n/a	50	n/a	4096	n/a
182.358	n/a	show_circle	n/a	n/a	50	n/a	0	circle.bmp
