name	type	units
MEG2032	MISC	n/a
MEG2033	MISC	n/a
MEG2031	MISC	n/a
MEG2042	MISC	n/a
MEG2043	MISC	n/a
MEG2041	MISC	n/a
MEG2113	MISC	n/a
MEG2112	MISC	n/a
MEG2111	MISC	n/a
MEG2122	MISC	n/a
MEG2123	MISC	n/a
MEG2121	MISC	n/a
MEG2133	MISC	n/a
MEG2132	MISC	n/a
MEG2131	MISC	n/a
MEG2143	MISC	n/a
MEG2142	MISC	n/a
MEG2141	MISC	n/a
MEG2212	MISC	n/a
MEG2213	MISC	n/a
MEG2211	MISC	n/a
MEG2223	MISC	n/a
MEG2222	MISC	n/a
MEG2221	MISC	n/a
MEG2233	MISC	n/a
MEG2232	MISC	n/a
MEG2231	MISC	n/a
MEG2242	MISC	n/a
MEG2243	MISC	n/a
MEG2241	MISC	n/a
MEG2312	MISC	n/a
MEG2313	MISC	n/a
MEG2311	MISC	n/a
MEG2323	MISC	n/a
MEG2322	MISC	n/a
MEG2321	MISC	n/a
MEG2332	MISC	n/a
MEG2333	MISC	n/a
MEG2331	MISC	n/a
MEG2343	MISC	n/a
MEG2342	MISC	n/a
MEG2341	MISC	n/a
MEG2412	MISC	n/a
MEG2413	MISC	n/a
MEG2411	MISC	n/a
MEG2423	MISC	n/a
MEG2422	MISC	n/a
MEG2421	MISC	n/a
MEG2433	MISC	n/a
MEG2432	MISC	n/a
MEG2431	MISC	n/a
MEG2442	MISC	n/a
MEG2443	MISC	n/a
MEG2441	MISC	n/a
MEG2512	MISC	n/a
MEG2513	MISC	n/a
MEG2511	MISC	n/a
MEG2522	MISC	n/a
MEG2523	MISC	n/a
MEG2521	MISC	n/a
MEG2533	MISC	n/a
MEG2532	MISC	n/a
MEG2531	MISC	n/a
MEG2543	MISC	n/a
MEG2542	MISC	n/a
MEG2541	MISC	n/a
MEG2612	MISC	n/a
MEG2613	MISC	n/a
MEG2611	MISC	n/a
MEG2623	MISC	n/a
MEG2622	MISC	n/a
MEG2621	MISC	n/a
MEG2633	MISC	n/a
MEG2632	MISC	n/a
MEG2631	MISC	n/a
MEG2642	MISC	n/a
MEG2643	MISC	n/a
MEG2641	MISC	n/a
EEG001	EEG	microV
EEG002	EEG	microV
EEG003	EEG	microV
EEG004	EEG	microV
EEG005	EEG	microV
EEG006	EEG	microV
EEG007	EEG	microV
EEG008	EEG	microV
EEG009	EEG	microV
EEG010	EEG	microV
EEG011	EEG	microV
EEG012	EEG	microV
EEG013	EEG	microV
EEG014	EEG	microV
EEG015	EEG	microV
EEG016	EEG	microV
EEG017	EEG	microV
EEG018	EEG	microV
EEG019	EEG	microV
EEG020	EEG	microV
EEG021	EEG	microV
EEG022	EEG	microV
EEG023	EEG	microV
EEG024	EEG	microV
EEG025	EEG	microV
EEG026	EEG	microV
EEG027	EEG	microV
EEG028	EEG	microV
EEG029	EEG	microV
EEG030	EEG	microV
EEG031	EEG	microV
EEG032	EEG	microV
EEG033	EEG	microV
EEG034	EEG	microV
EEG035	EEG	microV
EEG036	EEG	microV
EEG037	EEG	microV
EEG038	EEG	microV
EEG039	EEG	microV
EEG040	EEG	microV
EEG041	EEG	microV
EEG042	EEG	microV
EEG043	EEG	microV
EEG044	EEG	microV
EEG045	EEG	microV
EEG046	EEG	microV
EEG047	EEG	microV
EEG048	EEG	microV
EEG049	EEG	microV
EEG050	EEG	microV
EEG051	EEG	microV
EEG052	EEG	microV
EEG053	EEG	microV
EEG054	EEG	microV
EEG055	EEG	microV
EEG056	EEG	microV
EEG057	EEG	microV
EEG058	EEG	microV
EEG059	EEG	microV
EEG060	EEG	microV
EEG061	HEOG	n/a
EEG062	VEOG	n/a
EEG063	MISC	n/a
EEG064	MISC	n/a
EEG065	EEG	microV
EEG066	EEG	microV
EEG067	EEG	microV
EEG068	EEG	microV
EEG069	EEG	microV
EEG070	EEG	microV
EEG071	EEG	microV
EEG072	EEG	microV
EEG073	EEG	microV
EEG074	EEG	microV
STI101	n/a	n/a
