onset	duration	trial_type	ConditionCode	CorrectAnswerCode	KeyPressed	ResponseTime	StoryCode
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
-2.000	2.000	n/a	0.000	0.000	0.000	0.000	0.000
