onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.02	6.0	country	7	2	918	0	country_001.wav	country	8	1	0.01999999999998181	2711.0196
14.0	6.0	ambient	7	2	925	7	ambient_000.wav	ambient	6	0	0.004099999999652937	2725.0194
26.0	6.0	rocknroll	7	2	931	13	rocknroll_002.wav	rocknroll	6	0	0.003600000000005821	2737.0196
38.0	6.0	ambient	7	2	937	19	ambient_002.wav	ambient	6	0	0.002600000000256841	2749.0202
50.0	6.0	ambient	7	2	943	25	ambient_004.wav	ambient	4	0	0.003600000000005821	2761.0194
60.0	6.0	country	7	2	948	30	country_000.wav	country	4	0	0.0025000000000545697	2771.0198
70.0	6.0	symphonic	7	2	953	35	symphonic_004.wav	symphonic	4	0	0.0035000000002582965	2781.0195
80.01	6.0	ambient	7	2	958	40	ambient_001.wav	ambient	8	1	0.008100000000013097	2791.0198
94.01	6.0	symphonic	7	2	965	47	symphonic_002.wav	symphonic	8	1	0.012699999999767895	2805.0198
108.0	6.0	rocknroll	7	2	972	54	rocknroll_000.wav	rocknroll	6	0	0.002599999999802094	2819.0194
120.0	6.0	country	7	2	978	60	country_002.wav	country	6	0	0.0034999999998035487	2831.0194
132.0	6.0	rocknroll	7	2	984	66	rocknroll_004.wav	rocknroll	6	0	0.002399999999852298	2843.0198
144.0	6.0	symphonic	7	2	990	72	symphonic_003.wav	symphonic	6	0	0.003999999999905413	2855.0194
156.0	6.0	metal	7	2	996	78	metal_003.wav	metal	6	0	0.0034999999998035487	2867.0196
168.0	6.0	symphonic	7	2	1002	84	symphonic_000.wav	symphonic	6	0	0.0025000000000545697	2879.02
180.0	6.0	symphonic	7	2	1008	90	symphonic_001.wav	symphonic	6	0	0.002599999999802094	2891.0203
192.0	6.0	country	7	2	1014	96	country_004.wav	country	6	0	0.002599999999802094	2903.0203
204.0	6.0	metal	7	2	1020	102	metal_001.wav	metal	4	0	0.002600000000256841	2915.0197
214.01	6.0	rocknroll	7	2	1025	107	rocknroll_001.wav	rocknroll	8	1	0.014200000000073487	2925.0196
228.0	6.0	rocknroll	7	2	1032	114	rocknroll_003.wav	rocknroll	4	0	0.004100000000107684	2939.0195
238.0	6.0	metal	7	2	1037	119	metal_002.wav	metal	6	0	0.0025000000000545697	2949.0196
250.0	6.0	metal	7	2	1043	125	metal_000.wav	metal	6	0	0.003600000000005821	2961.0196
262.0	6.0	ambient	7	2	1049	131	ambient_003.wav	ambient	6	0	0.002600000000256841	2973.0197
274.01	6.0	metal	7	2	1055	137	metal_004.wav	metal	8	1	0.012400000000070577	2985.0199
288.0	6.0	country	7	2	1062	144	country_003.wav	country	6	0	0.002300000000104774	2999.0199
