response_time	button_press	stim_file
0.945	3	meg/f062.bmp
0.669	1	meg/f070.bmp
0.58	1	meg/u053.bmp
0.607	1	meg/u071.bmp
0.696	1	meg/u125.bmp
0.79	1	meg/u045.bmp
1.679	3	meg/f067.bmp
0.684	3	meg/f109.bmp
0.611	1	meg/f031.bmp
0.58	1	meg/u090.bmp
0.567	1	meg/u014.bmp
0.635	2	meg/f147.bmp
0.604	1	meg/u076.bmp
0.933	1	meg/u035.bmp
1.697	2	meg/u030.bmp
0.797	3	meg/f133.bmp
0.919	2	meg/u105.bmp
0.675	1	meg/f014.bmp
0.545	1	meg/u127.bmp
0.67	3	meg/f120.bmp
0.62	1	meg/u068.bmp
0.669	1	meg/u081.bmp
0.628	1	meg/u077.bmp
1.085	3	meg/u041.bmp
0.658	3	meg/f061.bmp
0.57	1	meg/u094.bmp
1.085	3	meg/f004.bmp
0.595	1	meg/u009.bmp
0.573	1	meg/f121.bmp
0.8	1	meg/u018.bmp
1.218	3	meg/f072.bmp
0.593	1	meg/u054.bmp
0.827	1	meg/f092.bmp
1.659	3	meg/f050.bmp
0.881	3	meg/f106.bmp
2.855	1	meg/u144.bmp
0.986	1	meg/u078.bmp
0.827	1	meg/u132.bmp
1.06	1	meg/u111.bmp
0.674	1	meg/u004.bmp
0.713	1	meg/u011.bmp
1.486	1	meg/f114.bmp
0.858	3	meg/f073.bmp
0.849	1	meg/u093.bmp
1.073	1	meg/f054.bmp
0.711	1	meg/u028.bmp
0.876	1	meg/u046.bmp
1.09	2	meg/u092.bmp
0.671	1	meg/u023.bmp
0.702	1	meg/u032.bmp
0.74	3	meg/f044.bmp
0.896	3	meg/f023.bmp
0.645	3	meg/f132.bmp
0.942	1	meg/u149.bmp
0.657	1	meg/f124.bmp
0.879	3	meg/f013.bmp
0.806	1	meg/u055.bmp
0.647	1	meg/u113.bmp
0.663	1	meg/f118.bmp
0.646	1	meg/u050.bmp
0.75	1	meg/u070.bmp
1.354	3	meg/f053.bmp
0.916	1	meg/u101.bmp
0.625	1	meg/u089.bmp
0.618	1	meg/u024.bmp
0.635	1	meg/u033.bmp
1.948	1	meg/u107.bmp
0.589	1	meg/u003.bmp
1.031	3	meg/f075.bmp
0.83	1	meg/u120.bmp
0.743	3	meg/f009.bmp
0.627	1	meg/u031.bmp
0.628	1	meg/f138.bmp
0.668	1	meg/u079.bmp
0.564	1	meg/u037.bmp
0.623	1	meg/u025.bmp
0.512	1	meg/f119.bmp
1.454	3	meg/f071.bmp
0.572	1	meg/u142.bmp
0.614	1	meg/u128.bmp
4.32	1	meg/u016.bmp
1.02	2	meg/f069.bmp
1.14	2	meg/f136.bmp
0.687	3	meg/f088.bmp
0.885	3	meg/f034.bmp
0.747	3	meg/f003.bmp
0.791	1	meg/u148.bmp
0.961	1	meg/f125.bmp
0.572	1	meg/u145.bmp
0.583	1	meg/f058.bmp
2.098	3	meg/f101.bmp
0.573	1	meg/u091.bmp
0.768	1	meg/u086.bmp
0.659	1	meg/u080.bmp
0.625	1	meg/f010.bmp
0.906	1	meg/u040.bmp
0.591	1	meg/u139.bmp
0.865	1	meg/u043.bmp
0.912	3	meg/f087.bmp
