onset	duration	event_sample	trial_type	event_value	stim_file
23.6427	0	26007	Famous	5	f059.bmp
26.9336	0	29627	Famous	5	f082.bmp
29.9745	0	32972	Famous	5	f106.bmp
33.2318	0	36555	Famous	6	f106.bmp
36.4055	0	40046	Unfamiliar	13	u110.bmp
39.4627	0	43409	Unfamiliar	13	u131.bmp
42.7873	0	47066	Unfamiliar	14	u131.bmp
46.1118	0	50723	Famous	5	f101.bmp
49.2691	0	54196	Famous	6	f101.bmp
52.4591	0	57705	Famous	7	f059.bmp
55.5836	0	61142	Scrambled	17	s013.bmp
58.8573	0	64743	Famous	7	f082.bmp
62.0145	0	68216	Famous	5	f116.bmp
65.09	0	71599	Famous	6	f116.bmp
68.1627	0	74979	Scrambled	17	s116.bmp
71.2864	0	78415	Unfamiliar	15	u110.bmp
74.4773	0	81925	Unfamiliar	13	u148.bmp
77.5009	0	85251	Unfamiliar	14	u148.bmp
80.7245	0	88797	Scrambled	17	s065.bmp
83.8318	0	92215	Famous	5	f023.bmp
86.8718	0	95559	Scrambled	19	s013.bmp
90.0964	0	99106	Scrambled	17	s004.bmp
93.3036	0	102634	Scrambled	18	s004.bmp
96.4945	0	106144	Unfamiliar	13	u039.bmp
99.6518	0	109617	Unfamiliar	14	u039.bmp
102.843	0	113127	Scrambled	19	s116.bmp
105.966	0	116563	Famous	5	f066.bmp
109.09	0	119999	Famous	5	f108.bmp
112.448	0	123693	Famous	6	f108.bmp
115.622	0	127184	Scrambled	19	s065.bmp
118.629	0	130492	Unfamiliar	13	u044.bmp
121.685	0	133854	Unfamiliar	14	u044.bmp
124.776	0	137254	Famous	7	f023.bmp
128.051	0	140856	Unfamiliar	13	u130.bmp
131.258	0	144384	Unfamiliar	14	u130.bmp
134.482	0	147930	Famous	5	f054.bmp
137.573	0	151330	Unfamiliar	13	u051.bmp
140.73	0	154803	Famous	7	f066.bmp
143.971	0	158368	Scrambled	17	s046.bmp
147.027	0	161730	Scrambled	18	s046.bmp
150.268	0	165295	Famous	5	f089.bmp
153.459	0	168805	Scrambled	17	s084.bmp
156.684	0	172352	Unfamiliar	13	u053.bmp
159.79	0	175769	Famous	7	f054.bmp
162.998	0	179298	Scrambled	17	s148.bmp
166.105	0	182715	Scrambled	18	s148.bmp
169.345	0	186280	Unfamiliar	15	u051.bmp
172.436	0	189680	Famous	5	f122.bmp
175.494	0	193043	Scrambled	17	s142.bmp
178.701	0	196571	Scrambled	18	s142.bmp
181.775	0	199952	Famous	7	f089.bmp
184.781	0	203259	Famous	5	f025.bmp
187.989	0	206788	Scrambled	19	s084.bmp
191.23	0	210353	Unfamiliar	13	u112.bmp
194.47	0	213917	Unfamiliar	14	u112.bmp
197.545	0	217299	Unfamiliar	15	u053.bmp
200.802	0	220882	Unfamiliar	13	u143.bmp
203.975	0	224373	Unfamiliar	14	u143.bmp
207.2	0	227920	Scrambled	17	s137.bmp
210.507	0	231558	Famous	7	f122.bmp
213.815	0	235196	Unfamiliar	13	u084.bmp
216.872	0	238559	Famous	5	f010.bmp
220.079	0	242087	Famous	6	f010.bmp
223.254	0	245579	Famous	7	f025.bmp
226.495	0	249144	Unfamiliar	13	u032.bmp
229.652	0	252617	Scrambled	17	s102.bmp
232.759	0	256035	Famous	5	f017.bmp
235.865	0	259452	Famous	6	f017.bmp
238.956	0	262852	Scrambled	19	s137.bmp
242.18	0	266398	Famous	5	f057.bmp
245.355	0	269890	Famous	6	f057.bmp
248.578	0	273436	Unfamiliar	15	u084.bmp
251.602	0	276762	Scrambled	17	s085.bmp
254.876	0	280364	Scrambled	18	s085.bmp
258.034	0	283837	Scrambled	17	s056.bmp
261.207	0	287328	Unfamiliar	15	u032.bmp
264.315	0	290746	Scrambled	17	s146.bmp
267.338	0	294072	Scrambled	18	s146.bmp
270.513	0	297564	Scrambled	19	s102.bmp
273.703	0	301073	Scrambled	17	s001.bmp
276.844	0	304528	Scrambled	18	s001.bmp
279.985	0	307983	Scrambled	17	s143.bmp
283.008	0	311309	Unfamiliar	13	u071.bmp
286.098	0	314708	Unfamiliar	14	u071.bmp
289.155	0	318071	Scrambled	17	s047.bmp
292.313	0	321544	Scrambled	19	s056.bmp
295.336	0	324870	Unfamiliar	13	u064.bmp
298.51	0	328361	Unfamiliar	14	u064.bmp
301.717	0	331889	Scrambled	17	s110.bmp
304.975	0	335473	Scrambled	17	s088.bmp
308.165	0	338982	Scrambled	19	s143.bmp
311.424	0	342566	Unfamiliar	13	u079.bmp
314.597	0	346057	Unfamiliar	13	u120.bmp
317.888	0	349677	Scrambled	19	s047.bmp
321.063	0	353169	Scrambled	17	s061.bmp
324.069	0	356476	Scrambled	18	s061.bmp
327.276	0	360004	Unfamiliar	13	u006.bmp
330.501	0	363551	Scrambled	19	s110.bmp
333.625	0	366987	Unfamiliar	13	u100.bmp
336.598	0	370258	Unfamiliar	14	u100.bmp
339.705	0	373676	Scrambled	19	s088.bmp
342.795	0	377075	Unfamiliar	13	u077.bmp
345.903	0	380493	Unfamiliar	15	u079.bmp
349.127	0	384040	Famous	5	f045.bmp
352.318	0	387550	Famous	6	f045.bmp
355.442	0	390986	Unfamiliar	15	u120.bmp
358.615	0	394477	Famous	5	f055.bmp
361.94	0	398134	Famous	6	f055.bmp
365.147	0	401662	Unfamiliar	13	u022.bmp
368.288	0	405117	Unfamiliar	14	u022.bmp
371.478	0	408626	Unfamiliar	15	u006.bmp
374.603	0	412063	Famous	5	f006.bmp
377.876	0	415664	Unfamiliar	13	u067.bmp
381.085	0	419193	Unfamiliar	15	u077.bmp
384.292	0	422721	Famous	5	f140.bmp
387.415	0	426157	Scrambled	17	s042.bmp
390.623	0	429685	Unfamiliar	13	u033.bmp
393.847	0	433232	Unfamiliar	14	u033.bmp
397.071	0	436778	Scrambled	17	s100.bmp
400.162	0	440178	Famous	7	f006.bmp
403.385	0	443724	Famous	5	f068.bmp
406.509	0	447160	Unfamiliar	15	u067.bmp
409.75	0	450725	Scrambled	17	s033.bmp
412.807	0	454088	Famous	7	f140.bmp
415.981	0	457579	Scrambled	17	s123.bmp
419.072	0	460979	Scrambled	18	s123.bmp
422.363	0	464599	Scrambled	19	s042.bmp
425.586	0	468145	Famous	5	f142.bmp
428.761	0	471637	Famous	6	f142.bmp
432.068	0	475275	Unfamiliar	13	u009.bmp
435.159	0	478675	Unfamiliar	14	u009.bmp
438.416	0	482258	Scrambled	19	s100.bmp
441.557	0	485713	Unfamiliar	13	u137.bmp
444.747	0	489222	Unfamiliar	14	u137.bmp
447.872	0	492659	Famous	7	f068.bmp
451.062	0	496168	Famous	5	f131.bmp
454.119	0	499531	Famous	6	f131.bmp
457.143	0	502857	Scrambled	19	s033.bmp
460.417	0	506459	Scrambled	17	s108.bmp
463.541	0	509895	Unfamiliar	13	u010.bmp
466.798	0	513478	Famous	5	f007.bmp
469.889	0	516878	Famous	5	f079.bmp
473.163	0	520479	Famous	6	f079.bmp
476.204	0	523824	Famous	5	f118.bmp
479.461	0	527407	Famous	6	f118.bmp
482.535	0	530788	Scrambled	17	s121.bmp
485.525	0	534077	Scrambled	19	s108.bmp
