onset	duration	trial_type	response_time	sample	value
71.2695312500	n/a	stimulus	n/a	18245	128
74.5312500000	n/a	response	n/a	19080	2
77.9101562500	n/a	response	n/a	19945	8
242.1250000000	n/a	stimulus	n/a	61984	128
245.5742187500	n/a	response	n/a	62867	2
248.0312500000	n/a	response	n/a	63496	2
281.5742187500	n/a	stimulus	n/a	72083	128
284.9062500000	n/a	response	n/a	72936	2
287.4101562500	n/a	response	n/a	73577	2
343.8984375000	n/a	stimulus	n/a	88038	128
347.1835937500	n/a	response	n/a	88879	2
349.7382812500	n/a	response	n/a	89533	2
414.1250000000	n/a	stimulus	n/a	106016	128
417.9257812500	n/a	response	n/a	106989	2
420.2187500000	n/a	response	n/a	107576	4
476.2656250000	n/a	stimulus	n/a	121924	128
481.7187500000	n/a	response	n/a	123320	8
603.9531250000	n/a	stimulus	n/a	154612	128
607.0742187500	n/a	response	n/a	155411	2
609.3828125000	n/a	response	n/a	156002	2
674.8125000000	n/a	stimulus	n/a	172752	128
677.7148437500	n/a	response	n/a	173495	2
680.0039062500	n/a	response	n/a	174081	2
820.5703125000	n/a	stimulus	n/a	210066	128
823.5390625000	n/a	response	n/a	210826	4
825.6914062500	n/a	response	n/a	211377	2
891.9062500000	n/a	stimulus	n/a	228328	128
894.5742187500	n/a	response	n/a	229011	4
897.1757812500	n/a	response	n/a	229677	2
978.3671875000	n/a	stimulus	n/a	250462	128
981.9218750000	n/a	response	n/a	251372	4
984.2187500000	n/a	response	n/a	251960	2
1044.3828125000	n/a	stimulus	n/a	267362	128
1047.5429687500	n/a	response	n/a	268171	2
1049.7617187500	n/a	response	n/a	268739	4
1198.1054687500	n/a	stimulus	n/a	306715	128
1201.2851562500	n/a	response	n/a	307529	2
1203.7109375000	n/a	response	n/a	308150	2
1364.9843750000	n/a	stimulus	n/a	349436	128
1369.8320312500	n/a	response	n/a	350677	4
1372.3515625000	n/a	response	n/a	351322	2
1491.1250000000	n/a	stimulus	n/a	381728	128
1499.1445312500	n/a	response	n/a	383781	8
1566.1523437500	n/a	stimulus	n/a	400935	128
1569.7187500000	n/a	response	n/a	401848	2
1572.4843750000	n/a	response	n/a	402556	2
1575.3906250000	n/a	response	n/a	403300	2
1707.3906250000	n/a	stimulus	n/a	437092	128
1710.2617187500	n/a	response	n/a	437827	2
1712.7656250000	n/a	response	n/a	438468	2
1788.0781250000	n/a	stimulus	n/a	457748	128
1792.9140625000	n/a	response	n/a	458986	8
1874.1367187500	n/a	stimulus	n/a	479779	128
1879.2929687500	n/a	response	n/a	481099	4
2015.7539062500	n/a	stimulus	n/a	516033	128
2020.8515625000	n/a	response	n/a	517338	8
2023.7656250000	n/a	response	n/a	518084	2
2146.7734375000	n/a	stimulus	n/a	549574	128
2151.7382812500	n/a	response	n/a	550845	4
2260.7773437500	n/a	stimulus	n/a	578759	128
2265.7968750000	n/a	response	n/a	580044	8
2421.0351562500	n/a	stimulus	n/a	619785	128
2424.1054687500	n/a	response	n/a	620571	2
2426.4960937500	n/a	response	n/a	621183	2
2487.0703125000	n/a	stimulus	n/a	636690	128
2490.8750000000	n/a	response	n/a	637664	2
2493.5585937500	n/a	response	n/a	638351	2
2592.7773437500	n/a	stimulus	n/a	663751	128
2596.0625000000	n/a	response	n/a	664592	4
2598.8203125000	n/a	response	n/a	665298	2
