onset	duration	trial_type	Response	Stimulus	response_time
259.591	0.200	auditory standard stimulus presentation	0.000	standard	n/a
262.238	0.200	auditory standard stimulus presentation	0.000	standard	n/a
265.267	0.200	auditory standard stimulus presentation	0.000	standard	n/a
267.716	0.433	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
267.716	0.200	auditory oddball stimulus presentation	1.000	target	n/a
270.544	0.200	auditory standard stimulus presentation	0.000	standard	n/a
273.193	0.200	auditory standard stimulus presentation	0.000	standard	n/a
275.427	0.200	auditory standard stimulus presentation	0.000	standard	n/a
278.471	0.200	auditory standard stimulus presentation	0.000	standard	n/a
280.902	0.200	auditory standard stimulus presentation	0.000	standard	n/a
283.551	0.200	auditory standard stimulus presentation	0.000	standard	n/a
286.594	0.200	auditory standard stimulus presentation	0.000	standard	n/a
288.829	0.200	auditory standard stimulus presentation	0.000	standard	n/a
291.261	0.200	auditory standard stimulus presentation	0.000	standard	n/a
293.908	0.200	auditory standard stimulus presentation	0.000	standard	n/a
296.556	0.200	auditory standard stimulus presentation	0.000	standard	n/a
298.807	0.200	auditory standard stimulus presentation	0.000	standard	n/a
301.636	0.200	auditory oddball stimulus presentation	1.000	target	n/a
301.636	0.442	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
304.481	0.200	auditory standard stimulus presentation	0.000	standard	n/a
307.128	0.200	auditory standard stimulus presentation	0.000	standard	n/a
309.180	0.200	auditory standard stimulus presentation	0.000	standard	n/a
311.629	0.421	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
311.629	0.200	auditory oddball stimulus presentation	1.000	target	n/a
313.682	0.200	auditory standard stimulus presentation	0.000	standard	n/a
315.932	0.200	auditory standard stimulus presentation	0.000	standard	n/a
318.993	0.200	auditory standard stimulus presentation	0.000	standard	n/a
n/a	n/a	n/a	4.661	0	standard
n/a	n/a	n/a	7.077	0	standard
n/a	n/a	n/a	9.326	0	standard
