name	component	type	tracked_point	units	sampling_frequency	placement
Rigid9_eul_x	x	ORNT	Rigid9	rad	410.72545572695	Rigid9
Rigid9_eul_y	y	ORNT	Rigid9	rad	410.72545572695	Rigid9
Rigid9_eul_z	z	ORNT	Rigid9	rad	410.72545572695	Rigid9
Rigid9_cart_x	x	POS	Rigid9	m	410.72545572695	Rigid9
Rigid9_cart_y	y	POS	Rigid9	m	410.72545572695	Rigid9
Rigid9_cart_z	z	POS	Rigid9	m	410.72545572695	Rigid9
Rigid9_Conf	n/a	MISC	Rigid9	n/a	410.72545572695	Rigid9
PhaseSpace9_latency	n/a	LATENCY	n/a	seconds	410.72545572695	n/a
