index	name	hemisphere
0	Background	B
1	Amygdala_centromedial group	B
2	Amygdala_laterobasal group	B
3	Amygdala_superficial group	B
4	Anterior intra-parietal sulcus hIP1	B
5	Anterior intra-parietal sulcus hIP2	B
6	Anterior intra-parietal sulcus hIP3	B
7	Broca's area BA44	B
8	Broca's area BA45	B
9	Hippocampus cornu ammonis	B
10	Hippocampus dentate gyrus	B
11	Hippocampus entorhinal cortex	B
12	Hippocampus hippocampal-amygdaloid transition area	B
13	Hippocampus subiculum	B
14	Inferior parietal lobule PF	B
15	Inferior parietal lobule PFcm	B
16	Inferior parietal lobule PFm	B
17	Inferior parietal lobule PFop	B
18	Inferior parietal lobule PFt	B
19	Inferior parietal lobule PGp	B
20	Inferior parietal lobule Pga	B
21	Insula Id1	B
22	Insula Ig1	B
23	Insula Ig2	B
24	Lateral geniculate body	B
25	Mamillary body	B
26	Medial geniculate body	B
27	Premotor cortex BA6	B
28	Primary auditory cortex TE1.0	B
29	Primary auditory cortex TE1.1	B
30	Primary auditory cortex TE1.2	B
31	Primary motor cortex BA4a	B
32	Primary motor cortex BA4p	B
33	Primary somatosensory cortex BA1	B
34	Primary somatosensory cortex BA2	B
35	Primary somatosensory cortex BA3a	B
36	Primary somatosensory cortex BA3b	B
37	Secondary somatosensory cortex / Parietal operculum OP1	B
38	Secondary somatosensory cortex / Parietal operculum OP2	B
39	Secondary somatosensory cortex / Parietal operculum OP3	B
40	Secondary somatosensory cortex / Parietal operculum OP4	B
41	Superior parietal lobule 5Ci	B
42	Superior parietal lobule 5L	B
43	Superior parietal lobule 5M	B
44	Superior parietal lobule 7A	B
45	Superior parietal lobule 7M	B
46	Superior parietal lobule 7P	B
47	Superior parietal lobule 7PC	B
48	Visual cortex V1 BA17	B
49	Visual cortex V2 BA18	B
50	Visual cortex V3V	B
51	Visual cortex V4	B
52	Visual cortex V5	B
53	Acoustic radiation	B
54	Callosal body	B
55	Cingulum	B
56	Corticospinal tract	B
57	Fornix	B
58	Inferior occipito-frontal fascicle	B
59	Optic radiation	B
60	Superior longitudinal fascicle	B
61	Superior occipito-frontal fascicle	B
62	Uncinate fascicle	B
