name	x	y	z	size	hemisphere	group	type	manufacturer
v'1	-1.3	-39	31	5	L	v'	depth	DIXI
v'2	-5.4	-39	31	5	L	v'	depth	DIXI
v'3	-9.2	-39	31	5	L	v'	depth	DIXI
v'4	-13	-39	31	5	L	v'	depth	DIXI
v'12	-45	-39	29	5	L	v'	depth	DIXI
v'13	-48	-39	29	5	L	v'	depth	DIXI
v'14	-52	-39	29	5	L	v'	depth	DIXI
v'15	-56	-38	29	5	L	v'	depth	DIXI
y'1	-35	2.2	-10	5	L	y'	depth	DIXI
y'2	-34	0.31	-7.7	5	L	y'	depth	DIXI
y'3	-34	-2.3	-3.7	5	L	y'	depth	DIXI
y'4	-34	-5	-0.077	5	L	y'	depth	DIXI
y'5	-34	-6.9	2.9	5	L	y'	depth	DIXI
y'6	-34	-9.6	6.6	5	L	y'	depth	DIXI
y'7	-34	-12	11	5	L	y'	depth	DIXI
y'8	-33	-15	14	5	L	y'	depth	DIXI
y'9	-33	-17	17	5	L	y'	depth	DIXI
y'16	-31	-35	42	5	L	y'	depth	DIXI
y'17	-31	-37	45	5	L	y'	depth	DIXI
y'18	-31	-40	49	5	L	y'	depth	DIXI
t'1	-36	-9.5	-9.1	5	L	t'	depth	DIXI
t'2	-40	-9.3	-9.4	5	L	t'	depth	DIXI
t'3	-44	-9	-9.7	5	L	t'	depth	DIXI
t'4	-47	-8.9	-10	5	L	t'	depth	DIXI
t'5	-51	-8.7	-10	5	L	t'	depth	DIXI
t'6	-55	-8.4	-10	5	L	t'	depth	DIXI
t'7	-58	-8.2	-11	5	L	t'	depth	DIXI
t'8	-62	-8	-11	5	L	t'	depth	DIXI
u'1	-36	-21	5	5	L	u'	depth	DIXI
u'2	-39	-21	4.9	5	L	u'	depth	DIXI
u'3	-43	-21	4.7	5	L	u'	depth	DIXI
u'5	-51	-21	4.1	5	L	u'	depth	DIXI
u'6	-54	-21	3.9	5	L	u'	depth	DIXI
u'7	-58	-21	3.7	5	L	u'	depth	DIXI
u'8	-62	-21	3.6	5	L	u'	depth	DIXI
et'1	-19	-9.4	-35	5	L	et'	depth	DIXI
et'2	-22	-9.2	-35	5	L	et'	depth	DIXI
et'3	-26	-9	-35	5	L	et'	depth	DIXI
et'6	-37	-8.4	-35	5	L	et'	depth	DIXI
et'7	-41	-8.2	-35	5	L	et'	depth	DIXI
et'8	-45	-8	-36	5	L	et'	depth	DIXI
et'9	-49	-7.9	-36	5	L	et'	depth	DIXI
b'1	-20	-20	-19	5	L	b'	depth	DIXI
b'2	-24	-20	-19	5	L	b'	depth	DIXI
b'3	-27	-19	-19	5	L	b'	depth	DIXI
b'4	-32	-19	-19	5	L	b'	depth	DIXI
b'5	-36	-18	-20	5	L	b'	depth	DIXI
b'10	-54	-16	-21	5	L	b'	depth	DIXI
b'11	-57	-16	-21	5	L	b'	depth	DIXI
