index	name	hemisphere	yeo_networks7	yeo_networks17	gm	wm	csf
54	Precuneus anterior	n/a	DorsAttnB	ContC	0.6754451295526557	0.1362442468431387	0.1882291321365019
55	Lingual gyrus	n/a	VisCent	VisCent	0.7438535551663615	0.1931304053324481	0.0630042565665998
56	Superior occipital sulcus	n/a	DorsAttnB	DorsAttnA	0.5995764632204793	0.3054865039224081	0.0939457923282807
57	Superior parietal lobule	n/a	DorsAttnB	DorsAttnA	0.4876095585510654	0.0863164293829004	0.1864089160558805
58	Middle frontal gyrus anterior	n/a	SalVentAttnA	SalVentAttnB	0.6729320874829101	0.2356110290571989	0.0740245617827219
59	Angular gyrus inferior	n/a	DefaultB	DefaultA	0.6902203060500681	0.1948425308650681	0.0919302488700981
60	Cuneus	n/a	VisCent	VisPeri	0.627179410741292	0.2697833373836366	0.1030049129021703
61	Middle temporal gyrus	n/a	DefaultB	DefaultB	0.7265271565310462	0.1495954051145884	0.1073286382435579
62	Superior frontal gyrus	n/a	DefaultB	DefaultB	0.6511819207551668	0.0622429964460329	0.2240668937880465
63	Central sulcus	n/a	SomMotA	SomMotB	0.578501636243708	0.291674172705374	0.1092435133440123
64	Caudate	n/a	No network found	No network found	0.7032945994194562	0.2603862774108158	0.0363317667726751
