onset	duration	trial_type	Response	Stimulus	RT
296.443	0.2	visual standard stimulus presentation	0.0	standard	n/a
298.447	0.2	visual standard stimulus presentation	0.0	standard	n/a
301.043	0.2	visual standard stimulus presentation	0.0	standard	n/a
303.641	0.2	visual standard stimulus presentation	0.0	standard	n/a
306.637	0.2	visual standard stimulus presentation	0.0	standard	n/a
309.632	0.2	visual standard stimulus presentation	0.0	standard	n/a
311.634	0.2	visual oddball stimulus presentation	1.0	target	n/a
311.634	0.592	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
n/a	n/a	n/a	5.16	0	standard
n/a	n/a	n/a	7.179	0	standard
n/a	n/a	n/a	9.992	1	target
