name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
G02	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G03	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G04	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G05	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G06	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G07	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G08	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G09	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G10	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G11	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G12	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G13	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G14	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G15	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G16	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G17	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G18	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G19	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G20	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G21	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G22	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G23	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G24	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G25	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G26	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G27	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G28	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G29	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G30	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G31	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G32	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G33	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G34	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G35	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	lowfreqtransient
G36	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G37	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G38	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G39	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G40	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G41	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G42	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G43	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G44	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G45	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
