onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.108	2.000	feedback	-1.440	1	1	1	L	1.667	0	R
4.587	2.000	feedback	-1.440	2	1	3	L	1.011	1	R
9.187	2.000	feedback	0.560	3	1	14	R	1.418	1	R
13.608	2.000	feedback	0.560	4	1	10	L	1.175	1	L
18.110	2.000	feedback	0.560	5	1	10	L	1.130	1	L
22.678	n/a	n/a	n/a	6	1	0	R	0.867	-	-
27.174	n/a	n/a	n/a	7	1	0	R	0.435	-	-
31.677	n/a	n/a	n/a	8	1	0	R	0.412	-	-
36.117	2.000	feedback	0.560	9	1	5	R	0.763	1	R
40.608	2.000	feedback	-1.440	10	1	10	L	0.811	1	R
45.087	2.000	feedback	0.560	11	1	3	L	1.303	1	L
49.609	2.000	feedback	0.560	12	1	10	L	1.311	1	L
54.109	2.000	feedback	-1.440	13	1	6	L	1.380	1	R
58.676	n/a	n/a	n/a	14	1	0	R	0.950	-	-
63.176	n/a	n/a	n/a	15	1	0	R	0.403	-	-
67.678	n/a	n/a	n/a	16	1	0	R	0.460	-	-
72.112	2.000	feedback	0.560	17	1	10	L	2.127	1	L
76.614	2.000	feedback	0.560	18	1	8	R	0.832	1	R
81.192	2.000	feedback	-1.440	19	1	14	R	1.002	1	L
85.609	2.000	feedback	0.560	20	1	6	L	1.659	1	L
90.119	2.000	feedback	0.560	21	1	8	R	0.841	1	R
94.676	n/a	n/a	n/a	22	1	0	R	0.752	-	-
99.176	n/a	n/a	n/a	23	1	0	R	0.500	-	-
103.677	n/a	n/a	n/a	24	1	0	R	0.359	-	-
108.191	2.000	feedback	0.560	25	1	14	R	0.957	1	R
112.613	2.000	feedback	0.560	26	1	8	R	0.827	1	R
117.109	2.000	feedback	0.560	27	1	10	L	1.294	1	L
121.691	2.000	feedback	-1.440	28	1	14	R	1.035	1	L
126.107	2.000	feedback	0.560	29	1	7	L	1.051	1	L
130.675	n/a	n/a	n/a	30	1	0	R	0.779	-	-
135.174	n/a	n/a	n/a	31	1	0	R	0.498	-	-
139.676	n/a	n/a	n/a	32	1	0	R	0.390	-	-
144.191	2.000	feedback	0.560	33	1	11	R	0.912	1	R
148.588	2.000	feedback	-1.440	34	1	1	L	1.600	0	R
153.085	2.000	feedback	0.560	35	1	4	L	0.991	1	L
157.587	2.000	feedback	0.560	36	1	1	R	0.880	1	R
162.091	2.000	feedback	0.560	37	1	2	R	0.685	1	R
166.678	n/a	n/a	n/a	38	1	0	R	0.706	-	-
171.172	n/a	n/a	n/a	39	1	0	R	0.636	-	-
175.668	n/a	n/a	n/a	40	1	0	R	0.515	-	-
180.087	2.000	feedback	-1.440	41	1	3	R	1.870	0	L
184.690	2.000	feedback	0.560	42	1	11	R	0.751	1	R
189.084	2.000	feedback	-1.440	43	1	4	L	0.774	1	R
193.691	2.000	feedback	0.560	44	1	14	R	0.935	1	R
198.113	2.000	feedback	0.560	45	1	8	R	0.946	1	R
202.679	n/a	n/a	n/a	46	1	0	R	0.586	-	-
207.175	n/a	n/a	n/a	47	1	0	R	0.714	-	-
211.674	n/a	n/a	n/a	48	1	0	R	0.528	-	-
216.109	2.000	feedback	0.560	49	1	10	L	1.371	1	L
220.608	2.000	feedback	0.560	50	1	10	L	1.289	1	L
225.092	2.000	feedback	0.560	51	1	2	R	0.702	1	R
229.616	2.000	feedback	0.560	52	1	5	R	1.624	1	R
234.115	2.000	feedback	0.560	53	1	5	R	0.673	1	R
238.677	n/a	n/a	n/a	54	1	0	R	0.910	-	-
243.178	n/a	n/a	n/a	55	1	0	R	0.417	-	-
247.676	n/a	n/a	n/a	56	1	0	R	0.559	-	-
252.190	2.000	feedback	0.560	57	1	14	R	0.792	1	R
256.690	2.000	feedback	-1.440	58	1	11	R	0.813	1	L
261.108	2.000	feedback	-1.440	59	1	6	R	1.400	0	L
265.619	2.000	feedback	-1.440	60	1	8	R	0.559	1	L
270.110	2.000	feedback	0.560	61	1	6	L	1.013	1	L
274.671	n/a	n/a	n/a	62	1	0	R	0.677	-	-
279.168	n/a	n/a	n/a	63	1	0	R	1.188	-	-
283.670	n/a	n/a	n/a	64	1	0	R	0.630	-	-
288.087	2.000	feedback	-1.440	65	1	1	R	1.066	1	L
292.693	2.000	feedback	0.560	66	1	11	R	0.686	1	R
297.115	2.000	feedback	0.560	67	1	8	R	1.045	1	R
301.606	2.000	feedback	0.560	68	1	10	L	0.801	1	L
306.089	2.000	feedback	-1.440	69	1	1	L	0.849	0	R
310.678	n/a	n/a	n/a	70	1	0	R	0.752	-	-
315.177	n/a	n/a	n/a	71	1	0	R	0.446	-	-
319.675	n/a	n/a	n/a	72	1	0	R	0.563	-	-
324.191	2.000	feedback	0.560	73	1	11	R	0.865	1	R
328.611	2.000	feedback	0.560	74	1	6	L	0.841	1	L
333.085	2.000	feedback	0.560	75	1	4	L	1.025	1	L
337.685	2.000	feedback	0.560	76	1	13	R	0.944	0	R
342.113	2.000	feedback	0.560	77	1	5	R	1.016	1	R
346.677	n/a	n/a	n/a	78	1	0	R	1.226	-	-
351.168	n/a	n/a	n/a	79	1	0	R	0.504	-	-
355.676	n/a	n/a	n/a	80	1	0	R	0.844	-	-
