onset	duration	trial_type	Response	Stimulus	response_time
5.238	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
7.256	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
9.688	0.362	behavioral response time following auditory oddball stimulus onset	n/a	n/a	n/a
9.688	0.200	auditory oddball stimulus presentation	n/a	n/a	n/a
12.519	0.200	auditory standard stimulus presentation	0.000	standard	n/a
15.149	0.200	auditory oddball stimulus presentation	1.000	target	n/a
15.149	0.423	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
18.178	0.200	auditory standard stimulus presentation	0.000	standard	n/a
21.221	0.200	auditory standard stimulus presentation	0.000	standard	n/a
24.266	0.200	auditory standard stimulus presentation	0.000	standard	n/a
26.698	0.200	auditory standard stimulus presentation	0.000	standard	n/a
28.933	0.200	auditory standard stimulus presentation	0.000	standard	n/a
31.960	0.200	auditory standard stimulus presentation	0.000	standard	n/a
34.592	0.200	auditory standard stimulus presentation	0.000	standard	n/a
37.421	0.200	auditory standard stimulus presentation	0.000	standard	n/a
40.465	0.200	auditory standard stimulus presentation	0.000	standard	n/a
43.113	0.383	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
43.113	0.200	auditory oddball stimulus presentation	1.000	target	n/a
45.743	0.200	auditory standard stimulus presentation	0.000	standard	n/a
47.795	0.200	auditory standard stimulus presentation	0.000	standard	n/a
49.830	0.200	auditory standard stimulus presentation	0.000	standard	n/a
52.659	0.200	auditory standard stimulus presentation	0.000	standard	n/a
54.893	0.200	auditory standard stimulus presentation	0.000	standard	n/a
57.921	0.200	auditory standard stimulus presentation	0.000	standard	n/a
60.752	0.200	auditory standard stimulus presentation	0.000	standard	n/a
63.183	0.200	auditory standard stimulus presentation	0.000	standard	n/a
65.417	0.200	auditory standard stimulus presentation	0.000	standard	n/a
67.652	0.200	auditory standard stimulus presentation	0.000	standard	n/a
69.884	0.200	auditory standard stimulus presentation	0.000	standard	n/a
72.731	0.200	auditory oddball stimulus presentation	1.000	target	n/a
72.731	0.343	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
74.782	0.200	auditory standard stimulus presentation	0.000	standard	n/a
77.414	0.200	auditory standard stimulus presentation	0.000	standard	n/a
80.242	0.200	auditory standard stimulus presentation	0.000	standard	n/a
82.873	0.545	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
82.873	0.200	auditory oddball stimulus presentation	1.000	target	n/a
85.902	0.200	auditory standard stimulus presentation	0.000	standard	n/a
88.929	0.200	auditory standard stimulus presentation	0.000	standard	n/a
91.561	0.200	auditory standard stimulus presentation	0.000	standard	n/a
93.992	0.200	auditory standard stimulus presentation	0.000	standard	n/a
96.227	0.200	auditory standard stimulus presentation	0.000	standard	n/a
98.658	0.200	auditory standard stimulus presentation	0.000	standard	n/a
100.728	0.200	auditory standard stimulus presentation	0.000	standard	n/a
