onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.118	2.000	classification-probabilistic	1.000	1.000	10.000	L	1.672	1.000
5.401	2.000	classification-probabilistic	3.000	1.000	6.000	L	2.408	1.000
10.287	2.000	classification-deterministic	5.000	2.000	5.000	-	0.000	-1.000
14.984	2.000	classification-probabilistic	7.000	1.000	1.000	R	1.354	1.000
19.117	2.000	classification-probabilistic	9.000	1.000	8.000	R	0.963	1.000
22.412	2.000	classification-probabilistic	11.000	1.000	14.000	L	1.683	0.000
26.698	2.000	classification-probabilistic	13.000	1.000	1.000	R	1.385	1.000
29.889	2.000	classification-probabilistic	15.000	1.000	8.000	L	1.236	0.000
36.319	2.000	classification-deterministic	17.000	2.000	13.000	L	1.479	1.000
41.277	2.000	classification-deterministic	19.000	2.000	10.000	L	1.197	1.000
44.813	2.000	classification-deterministic	21.000	2.000	3.000	R	0.704	1.000
49.617	2.000	classification-probabilistic	23.000	1.000	5.000	R	1.247	1.000
54.720	2.000	classification-probabilistic	25.000	1.000	10.000	L	0.743	1.000
58.302	2.000	classification-deterministic	27.000	2.000	12.000	R	2.089	1.000
63.597	2.000	classification-deterministic	29.000	2.000	12.000	R	1.018	1.000
66.585	2.000	classification-deterministic	31.000	2.000	2.000	R	0.689	1.000
69.995	2.000	classification-probabilistic	33.000	1.000	10.000	L	0.987	1.000
76.078	2.000	classification-probabilistic	35.000	1.000	14.000	R	1.420	1.000
81.614	2.000	classification-deterministic	37.000	2.000	5.000	R	1.873	1.000
85.383	2.000	classification-probabilistic	39.000	1.000	6.000	L	0.958	1.000
89.708	2.000	classification-probabilistic	41.000	1.000	2.000	R	1.097	1.000
95.817	2.000	classification-probabilistic	43.000	1.000	4.000	L	0.762	1.000
99.303	2.000	classification-probabilistic	45.000	1.000	13.000	L	0.971	1.000
105.585	2.000	classification-deterministic	47.000	2.000	4.000	L	0.842	1.000
112.704	2.000	classification-probabilistic	49.000	1.000	1.000	R	1.178	1.000
116.419	2.000	classification-probabilistic	51.000	1.000	4.000	L	0.774	1.000
121.192	2.000	classification-probabilistic	53.000	1.000	11.000	R	1.316	1.000
126.199	2.000	classification-probabilistic	55.000	1.000	1.000	R	1.143	1.000
132.320	2.000	classification-deterministic	57.000	2.000	4.000	L	0.690	1.000
136.805	2.000	classification-deterministic	59.000	2.000	12.000	R	0.827	1.000
141.584	2.000	classification-deterministic	61.000	2.000	4.000	L	0.693	1.000
144.697	2.000	classification-deterministic	63.000	2.000	1.000	L	0.848	1.000
151.120	2.000	classification-probabilistic	65.000	1.000	10.000	L	0.945	1.000
155.986	2.000	classification-deterministic	67.000	2.000	11.000	R	1.804	1.000
162.320	2.000	classification-deterministic	69.000	2.000	4.000	L	0.592	1.000
166.002	2.000	classification-deterministic	71.000	2.000	7.000	L	1.579	1.000
168.998	2.000	classification-deterministic	73.000	2.000	7.000	L	0.731	1.000
173.624	2.000	classification-deterministic	75.000	2.000	9.000	L	1.007	0.000
177.912	2.000	classification-probabilistic	77.000	1.000	11.000	R	0.931	1.000
183.392	2.000	classification-probabilistic	79.000	1.000	5.000	R	1.046	1.000
186.700	2.000	classification-probabilistic	n/a	n/a	n/a	n/a	n/a	n/a
186.750	n/a	n/a	81.000	1.000	6.000	L	0.776	1.000
191.810	2.000	classification-deterministic	83.000	2.000	4.000	L	0.804	1.000
195.701	2.000	classification-deterministic	85.000	2.000	3.000	L	0.655	0.000
202.125	2.000	classification-probabilistic	87.000	1.000	6.000	L	1.347	1.000
205.803	2.000	classification-deterministic	89.000	2.000	13.000	L	1.731	1.000
212.320	2.000	classification-deterministic	91.000	2.000	12.000	R	0.981	1.000
215.776	2.000	classification-deterministic	93.000	2.000	5.000	L	1.277	0.000
220.194	2.000	classification-probabilistic	95.000	1.000	11.000	R	1.054	1.000
225.416	2.000	classification-deterministic	97.000	2.000	11.000	R	1.026	1.000
229.277	2.000	classification-deterministic	99.000	2.000	8.000	R	1.131	1.000
235.502	2.000	classification-deterministic	101.000	2.000	8.000	R	1.065	1.000
241.624	2.000	classification-deterministic	103.000	2.000	5.000	R	1.131	1.000
245.588	2.000	classification-probabilistic	105.000	1.000	2.000	R	1.122	1.000
249.190	2.000	classification-probabilistic	107.000	1.000	13.000	L	0.678	1.000
256.514	2.000	classification-deterministic	109.000	2.000	5.000	R	0.905	1.000
259.611	2.000	classification-deterministic	111.000	2.000	7.000	L	1.212	1.000
