name	type	x	y	z	template_x	template_y	template_z
Rx2	detector	42.8251186	42.10221425	108.6900948	n/a	n/a	n/a
Rx1	detector	32.13050276	61.89329098	87.76991459	n/a	n/a	n/a
Rx4	detector	23.0205566	19.02090166	131.2191438	n/a	n/a	n/a
Rx3	detector	-8.334657738	44.79994512	124.8033922	n/a	n/a	n/a
Rx6	detector	-44.55900051	69.69500988	69.62685357	n/a	n/a	n/a
Rx5	detector	65.56631646	64.22381337	43.24758313	n/a	n/a	n/a
Rx8	detector	-65.07843709	47.53242806	102.823289	n/a	n/a	n/a
Rx7	detector	35.78813252	73.14523142	61.38694346	n/a	n/a	n/a
Rx9	detector	69.38373658	-63.12843572	39.58319729	n/a	n/a	n/a
Rx11	detector	38.27608093	-75.24305884	60.06528078	n/a	n/a	n/a
Rx10	detector	-44.58530732	-74.05399066	69.29881982	n/a	n/a	n/a
Rx12	detector	-60.24574982	-47.85306588	101.8335978	n/a	n/a	n/a
Tx1a	source	51.76361748	42.02259838	102.6444184	n/a	n/a	n/a
Tx4	source	47.34941215	14.37530814	122.0904539	n/a	n/a	n/a
Tx1b	source	41.4693499	60.71563704	83.98835769	n/a	n/a	n/a
Tx3	source	18.48180456	44.59071284	117.3943924	n/a	n/a	n/a
Tx1c	source	21.93590627	8.803384353	132.2256292	n/a	n/a	n/a
Tx2	source	7.364326313	64.78933818	99.51426324	n/a	n/a	n/a
Tx5	source	-5.050039179	14.66368286	138.5733202	n/a	n/a	n/a
Tx1d	source	-15.58880228	43.03176017	127.1068774	n/a	n/a	n/a
Tx6a	source	-44.00284792	74.10159712	60.20287143	n/a	n/a	n/a
Tx9	source	-71.1002232	59.03582057	72.47308051	n/a	n/a	n/a
Tx6b	source	72.4742901	59.86907238	38.86862162	n/a	n/a	n/a
Tx8	source	37.50138005	77.26038391	30.39268718	n/a	n/a	n/a
Tx6c	source	-69.08273031	40.42443251	107.564164	n/a	n/a	n/a
Tx7	source	61.16264747	57.77394414	72.69925666	n/a	n/a	n/a
Tx10	source	-39.28761361	61.80954082	99.57319107	n/a	n/a	n/a
Tx6d	source	28.52421052	72.39255138	65.69327164	n/a	n/a	n/a
Tx12	source	44.81756797	-77.62640709	30.06387803	n/a	n/a	n/a
Tx13	source	64.88333445	-57.82108888	74.29595592	n/a	n/a	n/a
Tx14	source	-68.47534144	-59.18443797	81.99816832	n/a	n/a	n/a
Tx15	source	-36.26368462	-62.58722891	99.98223681	n/a	n/a	n/a
Tx11a	source	73.97778575	-58.97182774	32.16329576	n/a	n/a	n/a
Tx11b	source	-41.27068969	-74.99344326	57.59365969	n/a	n/a	n/a
Tx11c	source	30.99760019	-74.96088984	66.46489021	n/a	n/a	n/a
Tx11d	source	-62.21825789	-41.44978498	106.3332637	n/a	n/a	n/a
