onset	duration	onset_sample	stim_type	trigger	stim_file
23.93	0	26323	Unfamiliar	13	meg/u101.bmp
27.1709	0	29888	Unfamiliar	14	meg/u101.bmp
30.3782	0	33416	Famous	5	meg/f043.bmp
33.4355	0	36779	Famous	5	meg/f046.bmp
36.6091	0	40270	Unfamiliar	13	meg/u061.bmp
39.85	0	43835	Unfamiliar	14	meg/u061.bmp
43.0073	0	47308	Famous	5	meg/f050.bmp
46.1318	0	50745	Famous	6	meg/f050.bmp
49.3055	0	54236	Scrambled	17	meg/s082.bmp
52.3455	0	57580	Famous	5	meg/f147.bmp
55.67	0	61237	Famous	6	meg/f147.bmp
58.7273	0	64600	Famous	7	meg/f043.bmp
62.0682	0	68275	Famous	5	meg/f130.bmp
65.2591	0	71785	Famous	6	meg/f130.bmp
68.3836	0	75222	Famous	7	meg/f046.bmp
71.5909	0	78750	Unfamiliar	13	meg/u106.bmp
74.8309	0	82314	Unfamiliar	13	meg/u140.bmp
78.0545	0	85860	Unfamiliar	14	meg/u140.bmp
81.2118	0	89333	Scrambled	17	meg/s020.bmp
84.4527	0	92898	Scrambled	18	meg/s020.bmp
87.6936	0	96463	Scrambled	19	meg/s082.bmp
90.8682	0	99955	Famous	5	meg/f066.bmp
94.0582	0	103464	Unfamiliar	13	meg/u091.bmp
97.0991	0	106809	Scrambled	17	meg/s117.bmp
100.273	0	110300	Unfamiliar	15	meg/u106.bmp
103.313	0	113644	Unfamiliar	13	meg/u135.bmp
106.47	0	117117	Unfamiliar	14	meg/u135.bmp
109.761	0	120737	Scrambled	17	meg/s036.bmp
112.935	0	124229	Scrambled	17	meg/s028.bmp
116.126	0	127739	Scrambled	18	meg/s028.bmp
119.3	0	131230	Famous	7	meg/f066.bmp
122.541	0	134795	Scrambled	17	meg/s039.bmp
125.715	0	138286	Unfamiliar	15	meg/u091.bmp
128.839	0	141723	Unfamiliar	13	meg/u017.bmp
132.096	0	145306	Scrambled	19	meg/s117.bmp
135.204	0	148724	Famous	5	meg/f138.bmp
138.461	0	152307	Famous	5	meg/f039.bmp
141.569	0	155726	Famous	6	meg/f039.bmp
144.742	0	159216	Scrambled	19	meg/s036.bmp
147.933	0	162726	Famous	5	meg/f055.bmp
150.99	0	166089	Famous	6	meg/f055.bmp
154.314	0	169745	Famous	5	meg/f113.bmp
157.538	0	173292	Scrambled	19	meg/s039.bmp
160.729	0	176802	Unfamiliar	13	meg/u144.bmp
163.719	0	180091	Unfamiliar	14	meg/u144.bmp
166.693	0	183362	Unfamiliar	15	meg/u017.bmp
169.85	0	186835	Famous	5	meg/f084.bmp
172.907	0	190198	Famous	7	meg/f138.bmp
176.165	0	193781	Scrambled	17	meg/s086.bmp
179.355	0	197291	Scrambled	18	meg/s086.bmp
182.445	0	200690	Scrambled	17	meg/s050.bmp
185.786	0	204365	Famous	5	meg/f079.bmp
188.994	0	207893	Famous	7	meg/f113.bmp
192.035	0	211238	Unfamiliar	13	meg/u142.bmp
195.175	0	214692	Unfamiliar	14	meg/u142.bmp
198.332	0	218165	Scrambled	17	meg/s074.bmp
201.355	0	221491	Famous	7	meg/f084.bmp
204.68	0	225148	Scrambled	17	meg/s142.bmp
207.988	0	228787	Scrambled	18	meg/s142.bmp
211.228	0	232351	Unfamiliar	13	meg/u118.bmp
214.436	0	235880	Unfamiliar	14	meg/u118.bmp
217.426	0	239169	Scrambled	19	meg/s050.bmp
220.6	0	242660	Famous	5	meg/f070.bmp
223.624	0	245986	Famous	6	meg/f070.bmp
226.798	0	249478	Famous	7	meg/f079.bmp
229.938	0	252932	Unfamiliar	13	meg/u049.bmp
233.145	0	256460	Unfamiliar	14	meg/u049.bmp
236.27	0	259897	Famous	5	meg/f047.bmp
239.51	0	263461	Scrambled	19	meg/s074.bmp
242.801	0	267081	Scrambled	17	meg/s054.bmp
245.842	0	270426	Famous	5	meg/f021.bmp
249.049	0	273954	Scrambled	17	meg/s097.bmp
252.123	0	277335	Famous	5	meg/f025.bmp
255.347	0	280882	Famous	6	meg/f025.bmp
258.437	0	284281	Scrambled	17	meg/s106.bmp
261.511	0	287662	Famous	7	meg/f047.bmp
264.501	0	290951	Scrambled	17	meg/s046.bmp
