onset	duration	onset_sample	stim_type	trigger	stim_file
23.7155	0	26087	Unfamiliar	13	meg/u072.bmp
26.9064	0	29597	Unfamiliar	14	meg/u072.bmp
30.2309	0	33254	Famous	5	meg/f124.bmp
33.5218	0	36874	Unfamiliar	13	meg/u063.bmp
36.6791	0	40347	Unfamiliar	14	meg/u063.bmp
39.8864	0	43875	Unfamiliar	13	meg/u085.bmp
43.1609	0	47477	Unfamiliar	14	meg/u085.bmp
46.4518	0	51097	Famous	5	meg/f148.bmp
49.5755	0	54533	Scrambled	17	meg/s144.bmp
52.8327	0	58116	Scrambled	18	meg/s144.bmp
56.0236	0	61626	Famous	5	meg/f105.bmp
59.1645	0	65081	Famous	7	meg/f124.bmp
62.3045	0	68535	Unfamiliar	13	meg/u003.bmp
65.4791	0	72027	Unfamiliar	14	meg/u003.bmp
68.77	0	75647	Unfamiliar	13	meg/u083.bmp
72.0273	0	79230	Scrambled	17	meg/s026.bmp
75.2009	0	82721	Famous	7	meg/f148.bmp
78.3245	0	86157	Scrambled	17	meg/s047.bmp
81.4818	0	89630	Scrambled	18	meg/s047.bmp
84.6727	0	93140	Scrambled	17	meg/s101.bmp
87.8136	0	96595	Scrambled	18	meg/s101.bmp
91.0709	0	100178	Famous	7	meg/f105.bmp
94.2282	0	103651	Famous	5	meg/f081.bmp
97.3355	0	107069	Famous	5	meg/f128.bmp
100.593	0	110652	Unfamiliar	15	meg/u083.bmp
103.716	0	114088	Unfamiliar	13	meg/u114.bmp
106.991	0	117690	Unfamiliar	14	meg/u114.bmp
110.182	0	121200	Scrambled	19	meg/s026.bmp
113.439	0	124783	Unfamiliar	13	meg/u122.bmp
116.68	0	128348	Unfamiliar	14	meg/u122.bmp
119.854	0	131839	Famous	5	meg/f015.bmp
123.028	0	135331	Famous	5	meg/f106.bmp
126.135	0	138749	Famous	7	meg/f081.bmp
129.275	0	142203	Scrambled	17	meg/s084.bmp
132.516	0	145768	Scrambled	18	meg/s084.bmp
135.658	0	149224	Famous	7	meg/f128.bmp
138.865	0	152751	Scrambled	17	meg/s060.bmp
141.972	0	156169	Scrambled	18	meg/s060.bmp
145.095	0	159605	Famous	5	meg/f011.bmp
148.353	0	163188	Scrambled	17	meg/s110.bmp
151.577	0	166735	Famous	7	meg/f015.bmp
154.935	0	170428	Unfamiliar	13	meg/u080.bmp
157.958	0	173754	Famous	7	meg/f106.bmp
161.083	0	177191	Scrambled	17	meg/s141.bmp
164.206	0	180627	Scrambled	18	meg/s141.bmp
167.264	0	183990	Unfamiliar	13	meg/u069.bmp
170.521	0	187573	Scrambled	17	meg/s065.bmp
173.862	0	191248	Scrambled	18	meg/s065.bmp
177.085	0	194794	Famous	7	meg/f011.bmp
180.226	0	198249	Scrambled	17	meg/s057.bmp
183.4	0	201740	Scrambled	18	meg/s057.bmp
186.575	0	205232	Scrambled	19	meg/s110.bmp
189.648	0	208613	Scrambled	17	meg/s100.bmp
192.705	0	211976	Unfamiliar	15	meg/u080.bmp
195.979	0	215577	Famous	5	meg/f131.bmp
199.187	0	219106	Famous	6	meg/f131.bmp
202.361	0	222597	Famous	5	meg/f103.bmp
205.535	0	226088	Famous	6	meg/f103.bmp
208.592	0	229451	Unfamiliar	15	meg/u069.bmp
211.799	0	232979	Scrambled	17	meg/s003.bmp
214.906	0	236397	Famous	5	meg/f112.bmp
218.014	0	239815	Unfamiliar	13	meg/u121.bmp
221.305	0	243435	Scrambled	19	meg/s100.bmp
224.412	0	246853	Unfamiliar	13	meg/u139.bmp
227.653	0	250418	Unfamiliar	14	meg/u139.bmp
230.76	0	253836	Famous	5	meg/f071.bmp
234.051	0	257456	Unfamiliar	13	meg/u046.bmp
237.125	0	260837	Scrambled	19	meg/s003.bmp
240.348	0	264383	Famous	5	meg/f040.bmp
243.555	0	267911	Famous	6	meg/f040.bmp
246.613	0	271274	Famous	7	meg/f112.bmp
249.904	0	274894	Unfamiliar	13	meg/u075.bmp
253.011	0	278312	Unfamiliar	14	meg/u075.bmp
256.268	0	281895	Unfamiliar	15	meg/u121.bmp
259.493	0	285442	Unfamiliar	13	meg/u040.bmp
262.666	0	288933	Famous	5	meg/f110.bmp
265.824	0	292406	Famous	6	meg/f110.bmp
268.981	0	295879	Famous	7	meg/f071.bmp
272.205	0	299426	Unfamiliar	13	meg/u048.bmp
275.379	0	302917	Unfamiliar	14	meg/u048.bmp
278.52	0	306372	Unfamiliar	15	meg/u046.bmp
281.677	0	309845	Unfamiliar	13	meg/u057.bmp
284.767	0	313244	Scrambled	17	meg/s009.bmp
287.992	0	316791	Scrambled	18	meg/s009.bmp
291.182	0	320300	Famous	5	meg/f080.bmp
294.44	0	323884	Unfamiliar	15	meg/u040.bmp
297.53	0	327283	Unfamiliar	13	meg/u078.bmp
300.654	0	330719	Famous	5	meg/f101.bmp
303.945	0	334339	Scrambled	17	meg/s077.bmp
307.069	0	337776	Scrambled	18	meg/s077.bmp
310.059	0	341065	Unfamiliar	15	meg/u057.bmp
313.3	0	344630	Famous	5	meg/f034.bmp
316.591	0	348250	Scrambled	17	meg/s075.bmp
319.782	0	351760	Scrambled	18	meg/s075.bmp
322.855	0	355141	Famous	7	meg/f080.bmp
325.895	0	358485	Famous	5	meg/f014.bmp
329.019	0	361921	Unfamiliar	15	meg/u078.bmp
332.144	0	365358	Scrambled	17	meg/s126.bmp
335.2	0	368720	Famous	7	meg/f101.bmp
338.458	0	372304	Scrambled	17	meg/s109.bmp
341.632	0	375795	Scrambled	18	meg/s109.bmp
344.722	0	379194	Scrambled	17	meg/s121.bmp
347.829	0	382612	Famous	7	meg/f034.bmp
351.004	0	386104	Famous	5	meg/f097.bmp
354.211	0	389632	Unfamiliar	13	meg/u098.bmp
357.418	0	393160	Unfamiliar	14	meg/u098.bmp
360.542	0	396596	Famous	7	meg/f014.bmp
363.683	0	400051	Famous	5	meg/f145.bmp
366.99	0	403689	Famous	6	meg/f145.bmp
370.165	0	407181	Scrambled	19	meg/s126.bmp
373.455	0	410801	Famous	5	meg/f109.bmp
376.813	0	414494	Famous	6	meg/f109.bmp
380.054	0	418059	Famous	5	meg/f020.bmp
383.161	0	421477	Famous	6	meg/f020.bmp
386.402	0	425042	Scrambled	19	meg/s121.bmp
389.675	0	428643	Famous	5	meg/f033.bmp
392.8	0	432080	Famous	7	meg/f097.bmp
395.806	0	435387	Famous	5	meg/f073.bmp
398.981	0	438879	Unfamiliar	13	meg/u042.bmp
402.155	0	442370	Unfamiliar	14	meg/u042.bmp
405.162	0	445678	Scrambled	17	meg/s073.bmp
408.419	0	449261	Scrambled	18	meg/s073.bmp
411.61	0	452771	Unfamiliar	13	meg/u088.bmp
414.884	0	456372	Scrambled	17	meg/s145.bmp
418.125	0	459937	Scrambled	18	meg/s145.bmp
