name	component	type	tracked_point	units	sampling_frequency
lToe_POS_x	x	POS	lToe	m	199.861495844875
lToe_POS_y	y	POS	lToe	m	199.861495844875
lToe_POS_z	z	POS	lToe	m	199.861495844875
lHeel_POS_x	x	POS	lHeel	m	199.861495844875
lHeel_POS_y	y	POS	lHeel	m	199.861495844875
lHeel_POS_z	z	POS	lHeel	m	199.861495844875
lAnk_POS_x	x	POS	lAnk	m	199.861495844875
lAnk_POS_y	y	POS	lAnk	m	199.861495844875
lAnk_POS_z	z	POS	lAnk	m	199.861495844875
lSk1_POS_x	x	POS	lSk1	m	199.861495844875
lSk1_POS_y	y	POS	lSk1	m	199.861495844875
lSk1_POS_z	z	POS	lSk1	m	199.861495844875
lSk2_POS_x	x	POS	lSk2	m	199.861495844875
lSk2_POS_y	y	POS	lSk2	m	199.861495844875
lSk2_POS_z	z	POS	lSk2	m	199.861495844875
lSk3_POS_x	x	POS	lSk3	m	199.861495844875
lSk3_POS_y	y	POS	lSk3	m	199.861495844875
lSk3_POS_z	z	POS	lSk3	m	199.861495844875
lSk4_POS_x	x	POS	lSk4	m	199.861495844875
lSk4_POS_y	y	POS	lSk4	m	199.861495844875
lSk4_POS_z	z	POS	lSk4	m	199.861495844875
lTh1_POS_x	x	POS	lTh1	m	199.861495844875
lTh1_POS_y	y	POS	lTh1	m	199.861495844875
lTh1_POS_z	z	POS	lTh1	m	199.861495844875
lTh2_POS_x	x	POS	lTh2	m	199.861495844875
lTh2_POS_y	y	POS	lTh2	m	199.861495844875
lTh2_POS_z	z	POS	lTh2	m	199.861495844875
lTh3_POS_x	x	POS	lTh3	m	199.861495844875
lTh3_POS_y	y	POS	lTh3	m	199.861495844875
lTh3_POS_z	z	POS	lTh3	m	199.861495844875
lTh4_POS_x	x	POS	lTh4	m	199.861495844875
lTh4_POS_y	y	POS	lTh4	m	199.861495844875
lTh4_POS_z	z	POS	lTh4	m	199.861495844875
rToe_POS_x	x	POS	rToe	m	199.861495844875
rToe_POS_y	y	POS	rToe	m	199.861495844875
rToe_POS_z	z	POS	rToe	m	199.861495844875
rHeel_POS_x	x	POS	rHeel	m	199.861495844875
rHeel_POS_y	y	POS	rHeel	m	199.861495844875
rHeel_POS_z	z	POS	rHeel	m	199.861495844875
rAnk_POS_x	x	POS	rAnk	m	199.861495844875
rAnk_POS_y	y	POS	rAnk	m	199.861495844875
rAnk_POS_z	z	POS	rAnk	m	199.861495844875
rSk1_POS_x	x	POS	rSk1	m	199.861495844875
rSk1_POS_y	y	POS	rSk1	m	199.861495844875
rSk1_POS_z	z	POS	rSk1	m	199.861495844875
rSk2_POS_x	x	POS	rSk2	m	199.861495844875
rSk2_POS_y	y	POS	rSk2	m	199.861495844875
rSk2_POS_z	z	POS	rSk2	m	199.861495844875
rSk3_POS_x	x	POS	rSk3	m	199.861495844875
rSk3_POS_y	y	POS	rSk3	m	199.861495844875
rSk3_POS_z	z	POS	rSk3	m	199.861495844875
rSk4_POS_x	x	POS	rSk4	m	199.861495844875
rSk4_POS_y	y	POS	rSk4	m	199.861495844875
rSk4_POS_z	z	POS	rSk4	m	199.861495844875
rTh1_POS_x	x	POS	rTh1	m	199.861495844875
rTh1_POS_y	y	POS	rTh1	m	199.861495844875
rTh1_POS_z	z	POS	rTh1	m	199.861495844875
rTh2_POS_x	x	POS	rTh2	m	199.861495844875
