name	component	type	tracked_point	units	sampling_frequency
leftThigh_GYRO_x	x	GYRO	leftThigh	rad/s	199.87460815047
leftThigh_GYRO_y	y	GYRO	leftThigh	rad/s	199.87460815047
leftThigh_GYRO_z	z	GYRO	leftThigh	rad/s	199.87460815047
leftShank_GYRO_x	x	GYRO	leftShank	rad/s	199.87460815047
leftShank_GYRO_y	y	GYRO	leftShank	rad/s	199.87460815047
leftShank_GYRO_z	z	GYRO	leftShank	rad/s	199.87460815047
leftFoot_GYRO_x	x	GYRO	leftFoot	rad/s	199.87460815047
leftFoot_GYRO_y	y	GYRO	leftFoot	rad/s	199.87460815047
leftFoot_GYRO_z	z	GYRO	leftFoot	rad/s	199.87460815047
rightThigh_GYRO_x	x	GYRO	rightThigh	rad/s	199.87460815047
rightThigh_GYRO_y	y	GYRO	rightThigh	rad/s	199.87460815047
rightThigh_GYRO_z	z	GYRO	rightThigh	rad/s	199.87460815047
rightShank_GYRO_x	x	GYRO	rightShank	rad/s	199.87460815047
rightShank_GYRO_y	y	GYRO	rightShank	rad/s	199.87460815047
rightShank_GYRO_z	z	GYRO	rightShank	rad/s	199.87460815047
rightFoot_GYRO_x	x	GYRO	rightFoot	rad/s	199.87460815047
rightFoot_GYRO_y	y	GYRO	rightFoot	rad/s	199.87460815047
rightFoot_GYRO_z	z	GYRO	rightFoot	rad/s	199.87460815047
leftAnkle_GYRO_x	x	GYRO	leftAnkle	rad/s	199.87460815047
leftAnkle_GYRO_y	y	GYRO	leftAnkle	rad/s	199.87460815047
leftAnkle_GYRO_z	z	GYRO	leftAnkle	rad/s	199.87460815047
rightAnkle_GYRO_x	x	GYRO	rightAnkle	rad/s	199.87460815047
rightAnkle_GYRO_y	y	GYRO	rightAnkle	rad/s	199.87460815047
rightAnkle_GYRO_z	z	GYRO	rightAnkle	rad/s	199.87460815047
pocket_GYRO_x	x	GYRO	pocket	rad/s	199.87460815047
pocket_GYRO_y	y	GYRO	pocket	rad/s	199.87460815047
pocket_GYRO_z	z	GYRO	pocket	rad/s	199.87460815047
head_MAGN_x	x	MAGN	head	T	199.87460815047
head_MAGN_y	y	MAGN	head	T	199.87460815047
head_MAGN_z	z	MAGN	head	T	199.87460815047
sternum_MAGN_x	x	MAGN	sternum	T	199.87460815047
sternum_MAGN_y	y	MAGN	sternum	T	199.87460815047
sternum_MAGN_z	z	MAGN	sternum	T	199.87460815047
leftUpperArm_MAGN_x	x	MAGN	leftUpperArm	T	199.87460815047
leftUpperArm_MAGN_y	y	MAGN	leftUpperArm	T	199.87460815047
leftUpperArm_MAGN_z	z	MAGN	leftUpperArm	T	199.87460815047
leftForeArm_MAGN_x	x	MAGN	leftForeArm	T	199.87460815047
leftForeArm_MAGN_y	y	MAGN	leftForeArm	T	199.87460815047
leftForeArm_MAGN_z	z	MAGN	leftForeArm	T	199.87460815047
rightUpperArm_MAGN_x	x	MAGN	rightUpperArm	T	199.87460815047
rightUpperArm_MAGN_y	y	MAGN	rightUpperArm	T	199.87460815047
rightUpperArm_MAGN_z	z	MAGN	rightUpperArm	T	199.87460815047
rightForeArm_MAGN_x	x	MAGN	rightForeArm	T	199.87460815047
rightForeArm_MAGN_y	y	MAGN	rightForeArm	T	199.87460815047
rightForeArm_MAGN_z	z	MAGN	rightForeArm	T	199.87460815047
pelvis_MAGN_x	x	MAGN	pelvis	T	199.87460815047
pelvis_MAGN_y	y	MAGN	pelvis	T	199.87460815047
pelvis_MAGN_z	z	MAGN	pelvis	T	199.87460815047
leftThigh_MAGN_x	x	MAGN	leftThigh	T	199.87460815047
leftThigh_MAGN_y	y	MAGN	leftThigh	T	199.87460815047
leftThigh_MAGN_z	z	MAGN	leftThigh	T	199.87460815047
leftShank_MAGN_x	x	MAGN	leftShank	T	199.87460815047
leftShank_MAGN_y	y	MAGN	leftShank	T	199.87460815047
leftShank_MAGN_z	z	MAGN	leftShank	T	199.87460815047
leftFoot_MAGN_x	x	MAGN	leftFoot	T	199.87460815047
leftFoot_MAGN_y	y	MAGN	leftFoot	T	199.87460815047
leftFoot_MAGN_z	z	MAGN	leftFoot	T	199.87460815047
rightThigh_MAGN_x	x	MAGN	rightThigh	T	199.87460815047
rightThigh_MAGN_y	y	MAGN	rightThigh	T	199.87460815047
rightThigh_MAGN_z	z	MAGN	rightThigh	T	199.87460815047
rightShank_MAGN_x	x	MAGN	rightShank	T	199.87460815047
rightShank_MAGN_y	y	MAGN	rightShank	T	199.87460815047
rightShank_MAGN_z	z	MAGN	rightShank	T	199.87460815047
rightFoot_MAGN_x	x	MAGN	rightFoot	T	199.87460815047
rightFoot_MAGN_y	y	MAGN	rightFoot	T	199.87460815047
rightFoot_MAGN_z	z	MAGN	rightFoot	T	199.87460815047
leftAnkle_MAGN_x	x	MAGN	leftAnkle	T	199.87460815047
leftAnkle_MAGN_y	y	MAGN	leftAnkle	T	199.87460815047
leftAnkle_MAGN_z	z	MAGN	leftAnkle	T	199.87460815047
rightAnkle_MAGN_x	x	MAGN	rightAnkle	T	199.87460815047
rightAnkle_MAGN_y	y	MAGN	rightAnkle	T	199.87460815047
rightAnkle_MAGN_z	z	MAGN	rightAnkle	T	199.87460815047
pocket_MAGN_x	x	MAGN	pocket	T	199.87460815047
pocket_MAGN_y	y	MAGN	pocket	T	199.87460815047
pocket_MAGN_z	z	MAGN	pocket	T	199.87460815047
