name	type	units	sampling_frequency	tracked_point	component	orientation_component
lToe_POS_x	POS	m	199.88358556461	lToe	x	x
lToe_POS_y	POS	m	199.88358556461	lToe	y	y
lToe_POS_z	POS	m	199.88358556461	lToe	z	z
lHeel_POS_x	POS	m	199.88358556461	lHeel	x	x
lHeel_POS_y	POS	m	199.88358556461	lHeel	y	y
lHeel_POS_z	POS	m	199.88358556461	lHeel	z	z
lAnk_POS_x	POS	m	199.88358556461	lAnk	x	x
lAnk_POS_y	POS	m	199.88358556461	lAnk	y	y
lAnk_POS_z	POS	m	199.88358556461	lAnk	z	z
lSk1_POS_x	POS	m	199.88358556461	lSk1	x	x
lSk1_POS_y	POS	m	199.88358556461	lSk1	y	y
lSk1_POS_z	POS	m	199.88358556461	lSk1	z	z
lSk2_POS_x	POS	m	199.88358556461	lSk2	x	x
lSk2_POS_y	POS	m	199.88358556461	lSk2	y	y
lSk2_POS_z	POS	m	199.88358556461	lSk2	z	z
lSk3_POS_x	POS	m	199.88358556461	lSk3	x	x
lSk3_POS_y	POS	m	199.88358556461	lSk3	y	y
lSk3_POS_z	POS	m	199.88358556461	lSk3	z	z
lSk4_POS_x	POS	m	199.88358556461	lSk4	x	x
lSk4_POS_y	POS	m	199.88358556461	lSk4	y	y
lSk4_POS_z	POS	m	199.88358556461	lSk4	z	z
lTh1_POS_x	POS	m	199.88358556461	lTh1	x	x
lTh1_POS_y	POS	m	199.88358556461	lTh1	y	y
lTh1_POS_z	POS	m	199.88358556461	lTh1	z	z
lTh2_POS_x	POS	m	199.88358556461	lTh2	x	x
lTh2_POS_y	POS	m	199.88358556461	lTh2	y	y
lTh2_POS_z	POS	m	199.88358556461	lTh2	z	z
lTh3_POS_x	POS	m	199.88358556461	lTh3	x	x
lTh3_POS_y	POS	m	199.88358556461	lTh3	y	y
lTh3_POS_z	POS	m	199.88358556461	lTh3	z	z
lTh4_POS_x	POS	m	199.88358556461	lTh4	x	x
lTh4_POS_y	POS	m	199.88358556461	lTh4	y	y
lTh4_POS_z	POS	m	199.88358556461	lTh4	z	z
rToe_POS_x	POS	m	199.88358556461	rToe	x	x
rToe_POS_y	POS	m	199.88358556461	rToe	y	y
rToe_POS_z	POS	m	199.88358556461	rToe	z	z
rHeel_POS_x	POS	m	199.88358556461	rHeel	x	x
