onset	duration	sample	value	sync_event
0	65192	0	break cnt	0
37.208	1	9302	93	0
38.752	1	9688	4	1
39.268	1	9817	8	1
42.176	1	10544	4	1
42.688	1	10672	8	1
45.596	1	11399	4	1
46.108	1	11527	8	1
49.016	1	12254	4	1
49.528	1	12382	8	1
52.436	1	13109	4	1
52.948	1	13237	8	1
55.856	1	13964	4	1
56.368	1	14092	8	1
59.276	1	14819	4	1
59.788	1	14947	8	1
62.696	1	15674	4	1
63.208	1	15802	8	1
66.116	1	16529	4	1
66.628	1	16657	8	1
69.536	1	17384	4	1
70.048	1	17512	8	1
72.956	1	18239	4	1
73.468	1	18367	8	1
76.376	1	19094	4	1
76.888	1	19222	8	1
79.796	1	19949	4	1
80.308	1	20077	8	1
83.216	1	20804	4	1
83.728	1	20932	8	1
86.636	1	21659	4	1
87.148	1	21787	8	1
90.056	1	22514	4	1
90.568	1	22642	8	1
93.476	1	23369	4	1
93.988	1	23497	8	1
96.896	1	24224	4	1
97.408	1	24352	8	1
100.316	1	25079	4	1
100.824	1	25206	8	1
103.736	1	25934	4	1
104.244	1	26061	8	1
107.156	1	26789	4	1
107.668	1	26917	8	1
110.576	1	27644	4	1
111.084	1	27771	8	1
113.996	1	28499	4	1
114.504	1	28626	8	1
117.416	1	29354	4	1
117.928	1	29482	8	1
120.836	1	30209	4	1
121.344	1	30336	8	1
124.256	1	31064	4	1
124.764	1	31191	8	1
127.676	1	31919	4	1
128.184	1	32046	8	1
131.096	1	32774	4	1
131.608	1	32902	8	1
134.516	1	33629	4	1
135.024	1	33756	8	1
137.936	1	34484	4	1
138.444	1	34611	8	1
141.356	1	35339	4	1
141.864	1	35466	8	1
144.776	1	36194	4	1
145.284	1	36321	8	1
148.196	1	37049	4	1
148.704	1	37176	8	1
151.616	1	37904	4	1
152.124	1	38031	8	1
155.036	1	38759	4	1
155.544	1	38886	8	1
158.456	1	39614	4	1
158.964	1	39741	8	1
161.876	1	40469	4	1
162.384	1	40596	8	1
165.296	1	41324	4	1
165.804	1	41451	8	1
168.716	1	42179	4	1
169.224	1	42306	8	1
172.136	1	43034	4	1
172.644	1	43161	8	1
175.556	1	43889	4	1
176.064	1	44016	8	1
178.976	1	44744	4	1
179.484	1	44871	8	1
182.396	1	45599	4	1
182.904	1	45726	8	1
185.816	1	46454	4	1
186.324	1	46581	8	1
189.236	1	47309	4	1
189.744	1	47436	8	1
192.656	1	48164	4	1
193.164	1	48291	8	1
196.076	1	49019	4	1
196.584	1	49146	8	1
199.496	1	49874	4	1
200.004	1	50001	8	1
202.916	1	50729	4	1
203.424	1	50856	8	1
206.336	1	51584	4	1
206.844	1	51711	8	1
209.756	1	52439	4	1
210.264	1	52566	8	1
213.176	1	53294	4	1
213.684	1	53421	8	1
216.592	1	54148	4	1
217.104	1	54276	8	1
220.012	1	55003	4	1
220.524	1	55131	8	1
223.432	1	55858	4	1
223.944	1	55986	8	1
226.852	1	56713	4	1
227.364	1	56841	8	1
230.272	1	57568	4	1
230.784	1	57696	8	1
233.692	1	58423	4	1
234.204	1	58551	8	1
237.112	1	59278	4	1
237.624	1	59406	8	1
240.532	1	60133	4	1
241.044	1	60261	8	1
243.952	1	60988	4	1
244.464	1	61116	8	1
247.372	1	61843	4	1
247.884	1	61971	8	1
250.792	1	62698	4	1
251.304	1	62826	8	1
254.212	1	63553	4	1
254.724	1	63681	8	1
260.768	60259	65192	break cnt	0
