name	type	units
E1	EEG	microV
E2	EEG	microV
E3	EEG	microV
E4	EEG	microV
E5	EEG	microV
E6	EEG	microV
E7	EEG	microV
E8	EEG	microV
E9	EEG	microV
E10	EEG	microV
E11	EEG	microV
E12	EEG	microV
E13	EEG	microV
E14	EEG	microV
E15	EEG	microV
E16	EEG	microV
E17	EEG	microV
E18	EEG	microV
E19	EEG	microV
E20	EEG	microV
E21	EEG	microV
E22	EEG	microV
E23	EEG	microV
E24	EEG	microV
E25	EEG	microV
E26	EEG	microV
E27	EEG	microV
E28	EEG	microV
E29	EEG	microV
E30	EEG	microV
E31	EEG	microV
E32	EEG	microV
E33	EEG	microV
E34	EEG	microV
E35	EEG	microV
E36	EEG	microV
E37	EEG	microV
E38	EEG	microV
E39	EEG	microV
E40	EEG	microV
E41	EEG	microV
E42	EEG	microV
E43	EEG	microV
E44	EEG	microV
E45	EEG	microV
E46	EEG	microV
E47	EEG	microV
E48	EEG	microV
E49	EEG	microV
E50	EEG	microV
E51	EEG	microV
E52	EEG	microV
E53	EEG	microV
E54	EEG	microV
E55	EEG	microV
E56	EEG	microV
E57	EEG	microV
E58	EEG	microV
E59	EEG	microV
E60	EEG	microV
E61	EEG	microV
E62	EEG	microV
E63	EEG	microV
E64	EEG	microV
E65	EEG	microV
E66	EEG	microV
E67	EEG	microV
E68	EEG	microV
E69	EEG	microV
E70	EEG	microV
E71	EEG	microV
E72	EEG	microV
E73	EEG	microV
E74	EEG	microV
E75	EEG	microV
E76	EEG	microV
E77	EEG	microV
E78	EEG	microV
E79	EEG	microV
E80	EEG	microV
E81	EEG	microV
E82	EEG	microV
E83	EEG	microV
E84	EEG	microV
E85	EEG	microV
E86	EEG	microV
E87	EEG	microV
E88	EEG	microV
E89	EEG	microV
E90	EEG	microV
E91	EEG	microV
E92	EEG	microV
E93	EEG	microV
E94	EEG	microV
E95	EEG	microV
E96	EEG	microV
E97	EEG	microV
E98	EEG	microV
E99	EEG	microV
E100	EEG	microV
E101	EEG	microV
E102	EEG	microV
E103	EEG	microV
E104	EEG	microV
E105	EEG	microV
E106	EEG	microV
E107	EEG	microV
E108	EEG	microV
E109	EEG	microV
E110	EEG	microV
E111	EEG	microV
E112	EEG	microV
E113	EEG	microV
E114	EEG	microV
E115	EEG	microV
E116	EEG	microV
E117	EEG	microV
E118	EEG	microV
E119	EEG	microV
E120	EEG	microV
E121	EEG	microV
E122	EEG	microV
E123	EEG	microV
E124	EEG	microV
E125	EEG	microV
E126	EEG	microV
E127	EEG	microV
E128	EEG	microV
E129	EEG	microV
