onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	reported_gs	correct_gs	included_trial	reason_for_exclusion
414.663009700016	0	9	finger press	4	4	n/a	n/a	n/a	1	n/a
415.286882000015	0	9	finger press	3	3	n/a	n/a	n/a	1	n/a
415.878876300005	0	9	finger press	2	2	n/a	n/a	n/a	1	n/a
416.550914899999	0	9	finger press	1	1	n/a	n/a	n/a	1	n/a
417.270988900011	0	9	finger press	2	2	n/a	n/a	n/a	1	n/a
417.600000000006	5	9	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
425.880000000005	22.04	10	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
447.914107400022	10.6546854999906	10	stimulus	n/a	n/a	QGQGQGQQ	3	3	1	n/a
448.422935700015	0	10	finger press	4	4	n/a	n/a	n/a	1	n/a
449.070569800009	0	10	finger press	3	3	n/a	n/a	n/a	1	n/a
449.766935899999	0	10	finger press	4	4	n/a	n/a	n/a	1	n/a
450.462881500018	0	10	finger press	1	1	n/a	n/a	n/a	1	n/a
451.198970500001	0	10	finger press	4	4	n/a	n/a	n/a	1	n/a
451.903510300006	0	10	finger press	1	1	n/a	n/a	n/a	1	n/a
452.574980800011	0	10	finger press	2	2	n/a	n/a	n/a	1	n/a
453.286849600001	0	10	finger press	4	4	n/a	n/a	n/a	1	n/a
453.926960600016	0	10	finger press	3	3	n/a	n/a	n/a	1	n/a
454.558932800021	0	10	finger press	2	2	n/a	n/a	n/a	1	n/a
455.334879700007	0	10	finger press	1	1	n/a	n/a	n/a	1	n/a
456.0705992	0	10	finger press	2	2	n/a	n/a	n/a	1	n/a
458.559999999998	5	10	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
467.440000000002	23.04	11	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
490.477059800003	9.2179468999966	11	stimulus	n/a	n/a	CQQOQOCC	1	0	1	n/a
491.014906299999	0	11	finger press	4	4	n/a	n/a	n/a	1	n/a
491.646924000001	0	11	finger press	3	3	n/a	n/a	n/a	1	n/a
492.366875300009	0	11	finger press	4	4	n/a	n/a	n/a	1	n/a
493.046811700013	0	11	finger press	1	1	n/a	n/a	n/a	1	n/a
493.702983399999	0	11	finger press	4	4	n/a	n/a	n/a	1	n/a
494.358672400005	0	11	finger press	1	1	n/a	n/a	n/a	1	n/a
494.991000900016	0	11	finger press	2	2	n/a	n/a	n/a	1	n/a
495.71887870002	0	11	finger press	4	4	n/a	n/a	n/a	1	n/a
496.406668900017	0	11	finger press	3	3	n/a	n/a	n/a	1	n/a
496.998839300009	0	11	finger press	2	2	n/a	n/a	n/a	1	n/a
497.67090170001	0	11	finger press	1	1	n/a	n/a	n/a	1	n/a
498.382787500013	0	11	finger press	2	2	n/a	n/a	n/a	1	n/a
499.700000000012	5	11	stimulus	n/a	n/a	white X	n/a	n/a	1	n/a
