onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	included_trial	reason_for_exclusion
10.9599999999919	24.04	1	stimulus	n/a	n/a	white X	0	test trial
35	9.52881310001248	1	stimulus	n/a	n/a	red X	0	test trial
36.1000000000058	0	1	foot step	4	4	n/a	0	test trial
36.7600000000093	0	1	foot step	3	3	n/a	0	test trial
37.5100000000093	0	1	foot step	4	4	n/a	0	test trial
38.1199999999953	0	1	foot step	1	1	n/a	0	test trial
38.8099999999977	0	1	foot step	4	4	n/a	0	test trial
39.4899999999907	0	1	foot step	1	1	n/a	0	test trial
40.1499999999942	0	1	foot step	2	2	n/a	0	test trial
41.3800000000047	0	1	foot step	4	4	n/a	0	test trial
42.0100000000093	0	1	foot step	3	3	n/a	0	test trial
42.6900000000023	0	1	foot step	2	2	n/a	0	test trial
43.429999999993	0	1	foot step	1	1	n/a	0	test trial
44.4899999999907	0	1	foot step	2	2	n/a	0	test trial
44.5199999999895	5	1	stimulus	n/a	n/a	white X	0	test trial
60.679999999993	23.02	2	stimulus	n/a	n/a	white X	1	n/a
83.6981168000202	9.516968299984	2	stimulus	n/a	n/a	red X	1	n/a
84.7481168000086	0	2	foot step	4	4	n/a	1	n/a
85.4781168000191	0	2	foot step	3	3	n/a	1	n/a
86.1981168000202	0	2	foot step	4	4	n/a	1	n/a
86.868116800033	0	2	foot step	1	1	n/a	1	n/a
87.5681168000156	0	2	foot step	4	4	n/a	1	n/a
88.2681168000272	0	2	foot step	1	1	n/a	1	n/a
88.868116800033	0	2	foot step	2	2	n/a	1	n/a
89.5781168000249	0	2	foot step	4	4	n/a	1	n/a
90.2881168000167	0	2	foot step	3	3	n/a	1	n/a
90.9781168000191	0	2	foot step	2	2	n/a	1	n/a
91.6581168000121	0	2	foot step	1	1	n/a	1	n/a
92.3781168000132	0	2	foot step	2	2	n/a	1	n/a
93.2000000000116	5	2	stimulus	n/a	n/a	white X	1	n/a
106.040000000008	21.02	3	stimulus	n/a	n/a	white X	1	n/a
127.065037699998	9.52713530001347	3	stimulus	n/a	n/a	red X	1	n/a
128.125037699996	0	3	foot step	4	4	n/a	1	n/a
128.805037699989	0	3	foot step	3	3	n/a	1	n/a
129.495037699991	0	3	foot step	4	4	n/a	1	n/a
130.175037699984	0	3	foot step	1	1	n/a	1	n/a
130.885037700005	0	3	foot step	4	4	n/a	1	n/a
131.585037699988	0	3	foot step	1	1	n/a	1	n/a
132.205037700012	0	3	foot step	2	2	n/a	1	n/a
132.875037699996	0	3	foot step	4	4	n/a	1	n/a
133.545037700009	0	3	foot step	3	3	n/a	1	n/a
134.215037699993	0	3	foot step	2	2	n/a	1	n/a
134.905037699995	0	3	foot step	1	1	n/a	1	n/a
135.675037699984	0	3	foot step	2	2	n/a	1	n/a
136.579999999987	5	3	stimulus	n/a	n/a	white X	1	n/a
146.720000000001	23.02	4	stimulus	n/a	n/a	white X	1	n/a
169.735191500018	9.52051979998942	4	stimulus	n/a	n/a	red X	1	n/a
170.955191500019	0	4	foot step	4	4	n/a	1	n/a
171.625191500032	0	4	foot step	3	3	n/a	1	n/a
172.325191500015	0	4	foot step	4	4	n/a	1	n/a
172.985191500018	0	4	foot step	1	1	n/a	1	n/a
173.605191500013	0	4	foot step	4	4	n/a	1	n/a
174.295191500016	0	4	foot step	1	1	n/a	1	n/a
174.895191500022	0	4	foot step	2	2	n/a	1	n/a
175.855191500013	0	4	foot step	4	4	n/a	1	n/a
176.465191500029	0	4	foot step	3	3	n/a	1	n/a
177.67519150002	0	4	foot step	2	2	n/a	1	n/a
