onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.119	n/a	n/a	20	5	8.950	1	1	1.536
4.000	3.000	parametric gain	-0.069	n/a	n/a	22	17	-15.570	2	1	1.906
8.000	3.000	parametric gain	-0.369	n/a	n/a	10	16	-25.360	4	0	1.210
12.000	3.000	parametric gain	0.331	n/a	n/a	38	18	-1.780	3	0	1.443
16.000	3.000	parametric gain	-0.119	n/a	n/a	20	14	-10.940	4	0	1.724
24.000	3.000	parametric gain	-0.269	n/a	n/a	14	13	-14.730	3	0	1.620
28.000	3.000	parametric gain	0.381	n/a	n/a	40	8	22.320	4	0	1.282
32.000	3.000	parametric gain	0.181	n/a	n/a	32	18	-7.780	3	0	1.748
36.000	3.000	parametric gain	-0.019	n/a	n/a	24	8	6.320	1	1	1.659
40.000	3.000	parametric gain	0.281	n/a	n/a	36	14	5.060	3	0	1.924
44.000	3.000	parametric gain	0.081	n/a	n/a	28	6	14.740	2	1	2.501
48.000	3.000	parametric gain	-0.219	n/a	n/a	16	14	-14.940	4	0	1.428
56.000	3.000	parametric gain	-0.269	n/a	n/a	14	9	-5.890	2	1	2.145
60.000	3.000	parametric gain	-0.119	n/a	n/a	20	13	-8.730	0	-1	0.000
64.000	3.000	parametric gain	0.131	n/a	n/a	30	18	-9.780	3	0	0.001
72.000	3.000	parametric gain	-0.269	n/a	n/a	14	15	-19.150	4	0	1.661
76.000	3.000	parametric gain	-0.319	n/a	n/a	12	12	-14.520	4	0	1.156
84.000	3.000	parametric gain	-0.019	n/a	n/a	24	11	-0.310	3	0	1.390
88.000	3.000	parametric gain	-0.319	n/a	n/a	12	10	-10.100	4	0	2.004
94.000	3.000	parametric gain	-0.219	n/a	n/a	16	6	2.740	1	1	1.373
98.000	3.000	parametric gain	0.331	n/a	n/a	38	20	-6.200	3	0	1.667
102.000	3.000	parametric gain	0.081	n/a	n/a	28	10	5.900	3	0	1.942
106.000	3.000	parametric gain	-0.119	n/a	n/a	20	7	4.530	1	1	1.317
110.000	3.000	parametric gain	0.331	n/a	n/a	38	9	18.110	1	1	1.014
120.000	3.000	parametric gain	0.031	n/a	n/a	26	12	-0.520	3	0	1.767
132.000	3.000	parametric gain	-0.369	n/a	n/a	10	14	-20.940	4	0	2.551
136.000	3.000	parametric gain	-0.319	n/a	n/a	12	13	-16.730	4	0	1.302
146.000	3.000	parametric gain	-0.019	n/a	n/a	24	15	-9.150	3	0	2.264
150.000	3.000	parametric gain	0.181	n/a	n/a	32	15	-1.150	0	-1	0.000
154.000	3.000	parametric gain	0.281	n/a	n/a	36	15	2.850	2	1	0.001
162.000	3.000	parametric gain	0.281	n/a	n/a	36	18	-3.780	2	1	2.744
166.000	3.000	parametric gain	-0.319	n/a	n/a	12	18	-27.780	4	0	1.168
176.000	3.000	parametric gain	-0.119	n/a	n/a	20	9	0.110	1	1	1.232
180.000	3.000	parametric gain	-0.219	n/a	n/a	16	8	-1.680	3	0	2.271
184.000	3.000	parametric gain	-0.319	n/a	n/a	12	20	-32.200	4	0	1.975
194.000	3.000	parametric gain	-0.069	n/a	n/a	22	19	-19.990	4	0	1.569
200.000	3.000	parametric gain	0.281	n/a	n/a	36	9	16.110	1	1	2.673
204.000	3.000	parametric gain	0.031	n/a	n/a	26	6	12.740	2	1	1.615
208.000	3.000	parametric gain	0.131	n/a	n/a	30	5	18.950	1	1	1.288
212.000	3.000	parametric gain	0.281	n/a	n/a	36	7	20.530	1	1	1.455
216.000	3.000	parametric gain	-0.169	n/a	n/a	18	10	-4.100	3	0	1.911
220.000	3.000	parametric gain	0.131	n/a	n/a	30	9	10.110	1	1	1.383
226.000	3.000	parametric gain	0.131	n/a	n/a	30	12	3.480	3	0	2.705
236.000	3.000	parametric gain	-0.269	n/a	n/a	14	8	-3.680	0	-1	0.000
240.000	3.000	parametric gain	-0.119	n/a	n/a	20	19	-21.990	3	0	0.001
244.000	3.000	parametric gain	0.081	n/a	n/a	28	14	-2.940	0	-1	0.000
250.000	3.000	parametric gain	-0.219	n/a	n/a	16	17	-21.570	3	0	0.001
258.000	3.000	parametric gain	0.031	n/a	n/a	26	8	8.320	1	1	1.834
262.000	3.000	parametric gain	-0.369	n/a	n/a	10	17	-27.570	0	-1	0.000
274.000	3.000	parametric gain	-0.319	n/a	n/a	12	5	0.950	4	0	0.001
282.000	3.000	parametric gain	0.381	n/a	n/a	40	6	26.740	1	1	1.106
286.000	3.000	parametric gain	0.281	n/a	n/a	36	13	7.270	2	1	1.490
294.000	3.000	parametric gain	-0.369	n/a	n/a	10	9	-9.890	4	0	1.763
298.000	3.000	parametric gain	0.231	n/a	n/a	34	18	-5.780	0	-1	0.000
304.000	3.000	parametric gain	0.131	n/a	n/a	30	15	-3.150	3	0	0.001
316.000	3.000	parametric gain	-0.169	n/a	n/a	18	9	-1.890	3	0	2.938
322.000	3.000	parametric gain	0.031	n/a	n/a	26	20	-18.200	4	0	2.108
326.000	3.000	parametric gain	0.281	n/a	n/a	36	20	-8.200	4	0	2.002
330.000	3.000	parametric gain	-0.069	n/a	n/a	22	15	-11.150	4	0	2.611
334.000	3.000	parametric gain	0.331	n/a	n/a	38	8	20.320	1	1	2.419
342.000	3.000	parametric gain	0.081	n/a	n/a	28	16	-7.360	4	0	2.325
348.000	3.000	parametric gain	0.231	n/a	n/a	34	12	7.480	3	0	2.676
358.000	3.000	parametric gain	0.081	n/a	n/a	28	15	-5.150	3	0	2.829
364.000	3.000	parametric gain	-0.019	n/a	n/a	24	17	-13.570	0	-1	0.000
368.000	3.000	parametric gain	0.081	n/a	n/a	28	11	3.690	3	0	0.001
372.000	3.000	parametric gain	-0.219	n/a	n/a	16	9	-3.890	3	0	2.861
378.000	3.000	parametric gain	-0.069	n/a	n/a	22	13	-6.730	3	0	2.229
384.000	3.000	parametric gain	0.381	n/a	n/a	40	11	15.690	2	1	2.278
390.000	3.000	parametric gain	0.081	n/a	n/a	28	8	10.320	0	-1	0.000
396.000	3.000	parametric gain	0.281	n/a	n/a	36	16	0.640	2	1	0.001
400.000	3.000	parametric gain	-0.119	n/a	n/a	20	10	-2.100	3	0	2.135
404.000	3.000	parametric gain	-0.369	n/a	n/a	10	18	-29.780	4	0	1.733
408.000	3.000	parametric gain	0.381	n/a	n/a	40	9	20.110	0	-1	0.000
412.000	3.000	parametric gain	0.181	n/a	n/a	32	7	16.530	1	1	0.001
422.000	3.000	parametric gain	0.381	n/a	n/a	40	16	4.640	0	-1	0.000
426.000	3.000	parametric gain	0.131	n/a	n/a	30	17	-7.570	2	1	0.001
432.000	3.000	parametric gain	-0.019	n/a	n/a	24	5	12.950	1	1	1.991
436.000	3.000	parametric gain	-0.219	n/a	n/a	16	7	0.530	2	1	2.336
440.000	3.000	parametric gain	-0.069	n/a	n/a	22	18	-17.780	4	0	1.566
444.000	3.000	parametric gain	0.031	n/a	n/a	26	19	-15.990	4	0	2.047
448.000	3.000	parametric gain	-0.019	n/a	n/a	24	20	-20.200	4	0	1.335
452.000	3.000	parametric gain	0.231	n/a	n/a	34	6	20.740	2	1	2.070
460.000	3.000	parametric gain	-0.019	n/a	n/a	24	16	-11.360	0	-1	0.000
468.000	3.000	parametric gain	-0.069	n/a	n/a	22	6	8.740	2	1	0.001
474.000	3.000	parametric gain	-0.319	n/a	n/a	12	7	-3.470	3	0	2.448
