name	type	units	low_cutoff	high_cutoff	notch	status
1	ECOG	µV	200	0.15	n/a	good
2	ECOG	µV	200	0.15	n/a	good
3	ECOG	µV	200	0.15	n/a	good
4	ECOG	µV	200	0.15	n/a	good
5	ECOG	µV	200	0.15	n/a	good
6	ECOG	µV	200	0.15	n/a	good
7	ECOG	µV	200	0.15	n/a	good
8	ECOG	µV	200	0.15	n/a	good
9	ECOG	µV	200	0.15	n/a	good
10	ECOG	µV	200	0.15	n/a	good
11	ECOG	µV	200	0.15	n/a	good
12	ECOG	µV	200	0.15	n/a	good
13	ECOG	µV	200	0.15	n/a	good
14	ECOG	µV	200	0.15	n/a	good
15	ECOG	µV	200	0.15	n/a	good
16	ECOG	µV	200	0.15	n/a	good
17	ECOG	µV	200	0.15	n/a	good
18	ECOG	µV	200	0.15	n/a	good
19	ECOG	µV	200	0.15	n/a	good
20	ECOG	µV	200	0.15	n/a	good
21	ECOG	µV	200	0.15	n/a	good
22	ECOG	µV	200	0.15	n/a	good
23	ECOG	µV	200	0.15	n/a	good
24	ECOG	µV	200	0.15	n/a	good
25	ECOG	µV	200	0.15	n/a	good
26	ECOG	µV	200	0.15	n/a	good
27	ECOG	µV	200	0.15	n/a	good
28	ECOG	µV	200	0.15	n/a	good
29	ECOG	µV	200	0.15	n/a	good
30	ECOG	µV	200	0.15	n/a	good
31	ECOG	µV	200	0.15	n/a	good
32	ECOG	µV	200	0.15	n/a	good
33	ECOG	µV	200	0.15	n/a	good
34	ECOG	µV	200	0.15	n/a	good
35	ECOG	µV	200	0.15	n/a	good
36	ECOG	µV	200	0.15	n/a	good
37	ECOG	µV	200	0.15	n/a	good
38	ECOG	µV	200	0.15	n/a	good
39	ECOG	µV	200	0.15	n/a	good
40	ECOG	µV	200	0.15	n/a	good
41	ECOG	µV	200	0.15	n/a	good
42	ECOG	µV	200	0.15	n/a	good
43	ECOG	µV	200	0.15	n/a	good
44	ECOG	µV	200	0.15	n/a	good
45	ECOG	µV	200	0.15	n/a	good
46	ECOG	µV	200	0.15	n/a	good
47	ECOG	µV	200	0.15	n/a	good
48	ECOG	µV	200	0.15	n/a	good
49	ECOG	µV	200	0.15	n/a	good
50	ECOG	µV	200	0.15	n/a	good
51	ECOG	µV	200	0.15	n/a	good
52	ECOG	µV	200	0.15	n/a	good
53	ECOG	µV	200	0.15	n/a	good
54	ECOG	µV	200	0.15	n/a	good
55	ECOG	µV	200	0.15	n/a	good
56	ECOG	µV	200	0.15	n/a	good
57	ECOG	µV	200	0.15	n/a	good
58	ECOG	µV	200	0.15	n/a	good
59	ECOG	µV	200	0.15	n/a	good
