onset	duration	trial_type	Response	Stimulus	RT
265.202	0.2	auditory standard stimulus presentation	0.0	standard	n/a
267.652	0.2	auditory standard stimulus presentation	0.0	standard	n/a
269.885	0.2	auditory standard stimulus presentation	0.0	standard	n/a
272.12	0.2	auditory standard stimulus presentation	0.0	standard	n/a
274.964	0.2	auditory standard stimulus presentation	0.0	standard	n/a
277.01599999999996	0.2	auditory standard stimulus presentation	0.0	standard	n/a
279.068	0.2	auditory standard stimulus presentation	0.0	standard	n/a
281.501	0.2	auditory standard stimulus presentation	0.0	standard	n/a
283.552	0.2	auditory standard stimulus presentation	0.0	standard	n/a
286.64599999999996	n/a	n/a	0.0	target	n/a
289.29400000000004	0.2	auditory standard stimulus presentation	0.0	standard	n/a
292.14	0.2	auditory standard stimulus presentation	0.0	standard	n/a
294.375	0.2	auditory standard stimulus presentation	0.0	standard	n/a
296.625	0.2	auditory standard stimulus presentation	0.0	standard	n/a
299.471	0.2	auditory standard stimulus presentation	0.0	standard	n/a
302.3	n/a	n/a	0.0	target	n/a
304.334	0.2	auditory standard stimulus presentation	0.0	standard	n/a
306.371	0.2	auditory standard stimulus presentation	0.0	standard	n/a
309.018	0.2	auditory standard stimulus presentation	0.0	standard	n/a
311.268	0.2	auditory standard stimulus presentation	0.0	standard	n/a
313.899	0.2	auditory standard stimulus presentation	0.0	standard	n/a
316.53	0.2	auditory standard stimulus presentation	0.0	standard	n/a
318.58099999999996	0.2	auditory standard stimulus presentation	0.0	standard	n/a
n/a	n/a	n/a	5.192	0	standard
n/a	n/a	n/a	8.204	0	standard
