onset	duration	sample	type	value
323.474690589951	0	323477	Markers	Stim-25-R-walk-169-blue-1-kongruent
323.995688480977	0	323998	Markers	WiimoteButtonB pressed
323.996688476929	0	323999	Markers	BUT-RIGHT-ButtonB-Press
324.172687764492	0	324175	Markers	WiimoteButtonB released
324.309687209925	0	324312	Markers	WiimoteButtonB pressed
324.309687209925	0	324312	Markers	BUT-RIGHT-ButtonB-Press
324.534686299139	0	324537	Markers	WiimoteButtonB released
325.024684315651	0	325027	Markers	Reaction: 0.522-right-blue-correct
325.026684307555	0	325029	Markers	End-Trial-3.148
325.060684169925	0	325063	Markers	Trial Start: No.11-angle:60-right-right-kongruent-yellow-FA:no
326.457678514959	0	326460	Markers	Stim-60-R-walk-209-yellow-1-kongruent
327.064676057862	0	327067	Markers	WiimoteButtonB pressed
327.064676057862	0	327067	Markers	BUT-RIGHT-ButtonB-Press
327.299675106597	0	327302	Markers	WiimoteButtonB released
328.008672236611	0	328011	Markers	Reaction: 0.607-right-yellow-correct
328.010672228515	0	328013	Markers	End-Trial-2.95
328.044672090885	0	328047	Markers	Trial Start: No.12-angle:40-right-right-kongruent-blue-FA:no
329.404666585692	0	329407	Markers	Stim-NOTshown
329.927664468622	0	329930	Markers	Stim-NOTshown
330.4496623556	0	330452	Markers	Stim-NOTshown
330.970660246625	0	330973	Markers	Stim-NOTshown
331.490658141699	0	331493	Markers	Stim-NOTshown
332.010656036772	0	332013	Markers	Stim-NOTshown
332.53265392375	0	332535	Markers	Stim-NOTshown
333.054651810727	0	333057	Markers	Stim-40-R-walk-259-blue--1-kongruent
333.53564986367	0	333538	Markers	WiimoteButtonB pressed
333.536649859622	0	333539	Markers	BUT-RIGHT-ButtonB-Press
333.707649167425	0	333710	Markers	WiimoteButtonB released
333.841648625002	0	333844	Markers	WiimoteButtonB pressed
333.842648620954	0	333845	Markers	BUT-RIGHT-ButtonB-Press
334.066647714216	0	334069	Markers	WiimoteButtonB released
334.606645528331	0	334609	Markers	Reaction: 0.482-right-blue-correct
334.607645524283	0	334610	Markers	End-Trial-6.563
334.641645386653	0	334644	Markers	Trial Start: No.13-angle:40-left-left-kongruent-blue-FA:no
336.068639610249	0	336071	Markers	Stim-40-L-walk-186-blue--1-kongruent
336.477637954643	0	336480	Markers	WiimoteButtonB pressed
336.478637950595	0	336481	Markers	BUT-LEFT-ButtonB-Press
336.682637124816	0	336685	Markers	WiimoteButtonB released
336.796636663352	0	336799	Markers	WiimoteButtonB pressed
336.797636659304	0	336800	Markers	BUT-LEFT-ButtonB-Press
336.970635959011	0	336973	Markers	WiimoteButtonB released
337.619633331901	0	337622	Markers	Reaction: 0.41-left-blue-correct
337.621633323805	0	337624	Markers	End-Trial-2.98
337.655633186175	0	337658	Markers	Trial Start: No.14-angle:60-right-right-kongruent-blue-FA:no
339.217626863299	0	339220	Markers	Stim-60-R-walk-099-blue--1-kongruent
339.606625288652	0	339609	Markers	WiimoteButtonB pressed
339.606625288652	0	339609	Markers	BUT-RIGHT-ButtonB-Press
339.777624596455	0	339780	Markers	WiimoteButtonB released
339.914624041888	0	339917	Markers	WiimoteButtonB pressed
339.914624041888	0	339917	Markers	BUT-RIGHT-ButtonB-Press
340.085623349691	0	340088	Markers	WiimoteButtonB released
340.768620584951	0	340771	Markers	Reaction: 0.389-right-blue-correct
342.547613383674	0	342550	Markers	WiimoteButtonB pressed
342.576613266283	0	342579	Markers	WiimoteButtonB pressed
342.700612764339	0	342703	Markers	WiimoteButtonB released
342.719612687429	0	342722	Markers	WiimoteButtonB released
346.134598863728	0	346137	Markers	WiimoteButtonB pressed
346.358597956991	0	346361	Markers	WiimoteButtonB released
349.100586857551	0	349103	Markers	WiimoteButtonB pressed
349.326585942717	0	349329	Markers	WiimoteButtonB released
