name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
MEG 0522	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0521	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0532	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0533	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0531	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0542	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0543	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0541	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0613	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0612	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0611	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0622	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0623	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0621	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0633	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0632	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0631	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0642	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0643	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0641	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0713	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0712	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0711	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0723	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0722	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0721	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0733	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0732	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0731	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0743	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0742	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0741	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0813	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0812	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0811	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0822	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0823	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0821	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0913	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0912	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0911	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0923	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0922	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0921	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0932	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0933	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0931	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 0942	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0943	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 0941	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1013	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1012	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1011	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1023	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
