onset	duration	trial_type	Response	Stimulus	response_time
293.665	0.200	visual standard stimulus presentation	0.000	standard	n/a
295.867	0.418	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
295.867	0.200	visual oddball stimulus presentation	1.000	target	n/a
298.066	0.200	visual standard stimulus presentation	0.000	standard	n/a
300.665	0.200	visual standard stimulus presentation	0.000	standard	n/a
303.263	n/a	n/a	0.000	standard	n/a
305.661	n/a	n/a	0.000	standard	n/a
308.458	0.200	visual standard stimulus presentation	0.000	standard	n/a
311.453	0.200	visual standard stimulus presentation	0.000	standard	n/a
314.249	0.200	visual oddball stimulus presentation	1.000	target	n/a
314.249	0.439	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
316.251	0.200	visual oddball stimulus presentation	1.000	target	n/a
316.251	0.436	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
n/a	n/a	n/a	5.013	0	standard
n/a	n/a	n/a	8.024	0	standard
