index	name	hemisphere
0	Background	B
1	Left Frontal Pole	L
2	Right Frontal Pole	R
3	Left Insular Cortex	L
4	Right Insular Cortex	R
5	Left Superior Frontal Gyrus	L
6	Right Superior Frontal Gyrus	R
7	Left Middle Frontal Gyrus	L
8	Right Middle Frontal Gyrus	R
9	Left Inferior Frontal Gyrus, pars triangularis	L
10	Right Inferior Frontal Gyrus, pars triangularis	R
11	Left Inferior Frontal Gyrus, pars opercularis	L
12	Right Inferior Frontal Gyrus, pars opercularis	R
13	Left Precentral Gyrus	L
14	Right Precentral Gyrus	R
15	Left Temporal Pole	L
16	Right Temporal Pole	R
17	Left Superior Temporal Gyrus, anterior division	L
18	Right Superior Temporal Gyrus, anterior division	R
19	Left Superior Temporal Gyrus, posterior division	L
20	Right Superior Temporal Gyrus, posterior division	R
21	Left Middle Temporal Gyrus, anterior division	L
22	Right Middle Temporal Gyrus, anterior division	R
23	Left Middle Temporal Gyrus, posterior division	L
24	Right Middle Temporal Gyrus, posterior division	R
25	Left Middle Temporal Gyrus, temporooccipital part	L
26	Right Middle Temporal Gyrus, temporooccipital part	R
27	Left Inferior Temporal Gyrus, anterior division	L
28	Right Inferior Temporal Gyrus, anterior division	R
29	Left Inferior Temporal Gyrus, posterior division	L
30	Right Inferior Temporal Gyrus, posterior division	R
31	Left Inferior Temporal Gyrus, temporooccipital part	L
32	Right Inferior Temporal Gyrus, temporooccipital part	R
33	Left Postcentral Gyrus	L
34	Right Postcentral Gyrus	R
35	Left Superior Parietal Lobule	L
36	Right Superior Parietal Lobule	R
37	Left Supramarginal Gyrus, anterior division	L
38	Right Supramarginal Gyrus, anterior division	R
39	Left Supramarginal Gyrus, posterior division	L
40	Right Supramarginal Gyrus, posterior division	R
41	Left Angular Gyrus	L
42	Right Angular Gyrus	R
43	Left Lateral Occipital Cortex, superior division	L
44	Right Lateral Occipital Cortex, superior division	R
45	Left Lateral Occipital Cortex, inferior division	L
46	Right Lateral Occipital Cortex, inferior division	R
47	Left Intracalcarine Cortex	L
48	Right Intracalcarine Cortex	R
49	Left Frontal Medial Cortex	L
50	Right Frontal Medial Cortex	R
51	Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	L
52	Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	R
53	Left Subcallosal Cortex	L
54	Right Subcallosal Cortex	R
55	Left Paracingulate Gyrus	L
56	Right Paracingulate Gyrus	R
57	Left Cingulate Gyrus, anterior division	L
58	Right Cingulate Gyrus, anterior division	R
59	Left Cingulate Gyrus, posterior division	L
60	Right Cingulate Gyrus, posterior division	R
61	Left Precuneous Cortex	L
62	Right Precuneous Cortex	R
63	Left Cuneal Cortex	L
64	Right Cuneal Cortex	R
65	Left Frontal Orbital Cortex	L
66	Right Frontal Orbital Cortex	R
67	Left Parahippocampal Gyrus, anterior division	L
68	Right Parahippocampal Gyrus, anterior division	R
69	Left Parahippocampal Gyrus, posterior division	L
70	Right Parahippocampal Gyrus, posterior division	R
71	Left Lingual Gyrus	L
72	Right Lingual Gyrus	R
73	Left Temporal Fusiform Cortex, anterior division	L
74	Right Temporal Fusiform Cortex, anterior division	R
75	Left Temporal Fusiform Cortex, posterior division	L
76	Right Temporal Fusiform Cortex, posterior division	R
77	Left Temporal Occipital Fusiform Cortex	L
78	Right Temporal Occipital Fusiform Cortex	R
79	Left Occipital Fusiform Gyrus	L
80	Right Occipital Fusiform Gyrus	R
81	Left Frontal Opercular Cortex	L
82	Right Frontal Opercular Cortex	R
83	Left Central Opercular Cortex	L
84	Right Central Opercular Cortex	R
85	Left Parietal Opercular Cortex	L
86	Right Parietal Opercular Cortex	R
87	Left Planum Polare	L
88	Right Planum Polare	R
89	Left Heschl's Gyrus (includes H1 and H2)	L
90	Right Heschl's Gyrus (includes H1 and H2)	R
91	Left Planum Temporale	L
92	Right Planum Temporale	R
93	Left Supracalcarine Cortex	L
94	Right Supracalcarine Cortex	R
95	Left Occipital Pole	L
96	Right Occipital Pole	R
