name	x	y	z	size	type
G1	421.0	85.0	n/a	4	surface
G2	387.0	79.0	n/a	4	surface
G3	351.0	80.0	n/a	4	surface
G4	316.0	84.0	n/a	4	surface
G5	277.0	82.0	n/a	4	surface
G6	242.0	81.0	n/a	4	surface
G7	206.0	90.0	n/a	4	surface
G8	172.0	100.0	n/a	4	surface
G9	421.0	116.0	n/a	4	surface
G10	386.0	115.0	n/a	4	surface
G11	350.0	102.0	n/a	4	surface
G12	316.0	109.0	n/a	4	surface
G13	277.0	110.0	n/a	4	surface
G14	241.0	117.0	n/a	4	surface
G15	207.0	120.0	n/a	4	surface
G16	171.0	120.0	n/a	4	surface
G17	420.0	148.0	n/a	4	surface
G18	387.0	143.0	n/a	4	surface
G19	349.0	143.0	n/a	4	surface
G20	318.0	146.0	n/a	4	surface
G21	278.0	142.0	n/a	4	surface
G22	240.0	148.0	n/a	4	surface
G23	206.0	146.0	n/a	4	surface
G24	170.0	154.0	n/a	4	surface
G25	388.0	162.0	n/a	4	surface
G26	390.0	174.0	n/a	4	surface
G27	350.0	175.0	n/a	4	surface
G28	313.0	172.0	n/a	4	surface
G29	283.0	174.0	n/a	4	surface
G30	245.0	182.0	n/a	4	surface
G31	207.0	195.0	n/a	4	surface
G32	175.0	193.0	n/a	4	surface
G33	390.0	201.0	n/a	4	surface
G34	390.0	209.0	n/a	4	surface
G35	352.0	204.0	n/a	4	surface
G36	320.0	206.0	n/a	4	surface
G37	284.0	207.0	n/a	4	surface
G38	250.0	209.0	n/a	4	surface
G39	208.0	214.0	n/a	4	surface
G40	176.0	211.0	n/a	4	surface
G41	427.0	235.0	n/a	4	surface
G42	392.0	241.0	n/a	4	surface
G43	356.0	237.0	n/a	4	surface
G44	324.0	243.0	n/a	4	surface
G45	290.0	247.0	n/a	4	surface
G46	249.0	250.0	n/a	4	surface
G47	217.0	250.0	n/a	4	surface
G48	188.0	266.0	n/a	4	surface
TG49	398.0	310.0	n/a	4	surface
TG50	367.0	312.0	n/a	4	surface
TG51	333.0	306.0	n/a	4	surface
TG52	294.0	301.0	n/a	4	surface
TG53	261.0	297.0	n/a	4	surface
TG54	226.0	291.0	n/a	4	surface
TG55	200.0	278.0	n/a	4	surface
TG56	165.0	276.0	n/a	4	surface
TG57	396.0	334.0	n/a	4	surface
TG58	361.0	344.0	n/a	4	surface
TG59	326.0	340.0	n/a	4	surface
TG60	291.0	336.0	n/a	4	surface
TG61	256.0	328.0	n/a	4	surface
TG62	221.0	324.0	n/a	4	surface
TG63	186.0	314.0	n/a	4	surface
TG64	159.0	309.0	n/a	4	surface
