onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.01	6.0	symphonic	1	1	0	0	symphonic_004.wav	symphonic	6	0	0.008700000000089858	839.6727
12.0	6.0	ambient	1	1	6	6	ambient_004.wav	ambient	6	0	0.002899999999954161	851.673
24.0	6.0	symphonic	1	1	12	12	symphonic_002.wav	symphonic	6	0	0.0035000000000309233	863.6726
36.01	6.0	rocknroll	1	1	18	18	rocknroll_002.wav	rocknroll	8	1	0.011899999999968712	875.6725
50.01	6.0	symphonic	1	1	25	25	symphonic_003.wav	symphonic	8	1	0.011799999999993815	889.6732
64.0	6.0	metal	1	1	32	32	metal_001.wav	metal	6	0	0.0036999999999807187	903.6728
76.02	6.0	country	1	1	38	38	country_000.wav	country	8	1	0.015399999999999638	915.6726
90.0	6.0	rocknroll	1	1	45	45	rocknroll_001.wav	rocknroll	6	0	0.002600000000029468	929.6734
102.0	6.0	country	1	1	51	51	country_002.wav	country	6	0	0.0035000000000309233	941.6726
114.0	6.0	symphonic	1	1	57	57	symphonic_000.wav	symphonic	6	0	0.0024000000000796717	953.6727
126.0	6.0	country	1	1	63	63	country_003.wav	country	4	0	0.0029999999999290594	965.6729
136.01	6.0	ambient	1	1	68	68	ambient_000.wav	ambient	8	1	0.009500000000002728	975.6729
150.0	6.0	ambient	1	1	75	75	ambient_003.wav	ambient	6	0	0.002600000000029468	989.673
162.0	6.0	country	1	1	81	81	country_001.wav	country	6	0	0.002499999999940883	1001.6734
174.0	6.0	country	1	1	87	87	country_004.wav	country	6	0	0.003799999999955617	1013.6726
186.0	6.0	metal	1	1	93	93	metal_002.wav	metal	6	0	0.0025000000000545697	1025.6734
198.0	6.0	ambient	1	1	99	99	ambient_001.wav	ambient	6	0	0.002499999999827196	1037.6726
210.0	6.0	metal	1	1	105	105	metal_004.wav	metal	6	0	0.002600000000029468	1049.673
222.0	6.0	rocknroll	1	1	111	111	rocknroll_004.wav	rocknroll	6	0	0.002499999999827196	1061.6726
234.0	6.0	ambient	1	1	117	117	ambient_002.wav	ambient	4	0	0.002499999999827196	1073.6726
244.0	6.0	rocknroll	1	1	122	122	rocknroll_003.wav	rocknroll	6	0	0.002900000000181535	1083.6725
256.0	6.0	rocknroll	1	1	128	128	rocknroll_000.wav	rocknroll	4	0	0.0032999999998537533	1095.6727
266.0	6.0	metal	1	1	133	133	metal_000.wav	metal	4	0	0.0035000000000309233	1105.6728
276.01	6.0	metal	1	1	138	138	metal_003.wav	metal	8	1	0.011500000000069122	1115.6725
290.0	6.0	symphonic	1	1	145	145	symphonic_001.wav	symphonic	4	0	0.002899999999954161	1129.6726
